Year,ISO3,ADM0_EN,ADM0_FR,ADM0_PCODE,ADM1_FR,ADM1_EN,ADM1_PCODE,ADM2_FR,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Anse d'Hainault,Anse d'Hainault,HT0821,24890,24209,49099,3777,2875,2806,2674,2505,2170,1771,1383,960,693,689,582,687,435,393,203,287,3790,2978,2681,2529,2458,1961,1953,1517,947,695,549,458,555,409,338,199,192,7567,5853,5487,5203,4963,4131,3724,2900,1907,1388,1238,1040,1242,844,731,402,479
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Beaumont,Beaumont,HT0833,18161,17219,35380,2320,1973,1836,1893,1656,1768,1370,1192,798,616,565,549,521,469,277,211,147,2263,1917,1719,1836,1594,1509,1514,1317,854,508,498,386,477,307,251,166,103,4583,3890,3555,3729,3250,3277,2884,2509,1652,1124,1063,935,998,776,528,377,250
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Bonbon,Bonbon,HT0813,5312,5341,10653,770,618,586,495,469,463,344,239,185,179,185,180,205,158,93,83,60,775,626,599,546,509,360,378,280,186,167,157,153,176,183,116,73,57,1545,1244,1185,1041,978,823,722,519,371,346,342,333,381,341,209,156,117
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Chambellan,Chambellan,HT0815,18425,16943,35368,2683,2175,2223,2152,1769,1434,1136,1009,686,657,514,513,481,379,267,183,164,2399,2089,2151,2004,1643,1178,1087,1029,618,568,458,428,450,346,228,141,126,5082,4264,4374,4156,3412,2612,2223,2038,1304,1225,972,941,931,725,495,324,290
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Corail,Corail,HT0831,14412,13880,28292,2128,1696,1663,1425,1191,1072,876,824,604,489,456,452,438,395,322,209,172,2017,1639,1601,1480,1180,1068,1028,825,578,446,365,356,359,363,240,195,140,4145,3335,3264,2905,2371,2140,1904,1649,1182,935,821,808,797,758,562,404,312
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Dame Marie,Dame Marie,HT0822,20918,20289,41207,2331,2239,2231,2324,2134,1828,1646,1387,808,709,675,650,683,545,336,197,195,2349,2259,2236,2248,2156,1714,1810,1360,850,639,576,515,563,454,254,167,139,4680,4498,4467,4572,4290,3542,3456,2747,1658,1348,1251,1165,1246,999,590,364,334
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Jérémie,Jeremie,HT0811,79771,75528,155299,8999,8071,8397,9193,8435,7463,6628,4858,3171,2607,2400,2159,2238,2202,1353,784,813,8705,7633,7961,8572,7907,7439,6800,5298,3032,2249,1867,1683,1783,1799,1281,839,680,17704,15704,16358,17765,16342,14902,13428,10156,6203,4856,4267,3842,4021,4001,2634,1623,1493
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Les Irois,Les Irois,HT0823,11966,12790,24756,1837,1538,1190,1008,1218,1086,920,745,513,337,338,285,357,230,154,94,116,1906,1626,1329,1232,1194,1133,1101,856,610,333,326,260,313,208,174,89,100,3743,3164,2519,2240,2412,2219,2021,1601,1123,670,664,545,670,438,328,183,216
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Moron,Moron,HT0814,18558,18128,36686,2700,2151,2014,1959,1799,1389,1233,955,717,617,654,643,534,467,315,253,158,2584,2128,1984,1944,1751,1511,1297,1064,688,554,526,538,488,431,317,205,118,5284,4279,3998,3903,3550,2900,2530,2019,1405,1171,1180,1181,1022,898,632,458,276
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Pestel,Pestel,HT0834,23905,24670,48575,3181,2866,2497,2120,1978,2167,1841,1525,973,844,763,755,674,613,516,325,267,3182,2835,2625,2359,2258,2223,2070,1891,1109,868,644,559,610,502,466,249,220,6363,5701,5122,4479,4236,4390,3911,3416,2082,1712,1407,1314,1284,1115,982,574,487
2024,HTI,Haiti,Haïti,HT,Grande'Anse,Grande'Anse,HT08,Roseaux,Roseaux,HT0832,20798,20791,41589,3039,2351,2004,1786,1583,1648,1358,1306,830,808,784,709,836,724,505,288,239,2877,2346,2177,1930,1588,1520,1656,1496,834,697,613,652,682,715,509,283,216,5916,4697,4181,3716,3171,3168,3014,2802,1664,1505,1397,1361,1518,1439,1014,571,455
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Anse-à-Veau,Anse-a-Veau,HT1021,19076,18831,37907,2534,2139,1942,1855,1801,1596,1350,1157,866,749,593,578,550,568,324,229,245,2420,2189,2017,1940,1882,1495,1452,1371,812,646,536,463,487,429,310,200,182,4954,4328,3959,3795,3683,3091,2802,2528,1678,1395,1129,1041,1037,997,634,429,427
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Arnaud,Arnaud,HT1024,11732,11747,23479,1585,1325,1227,1160,1093,968,817,701,527,454,359,346,334,343,198,141,154,1536,1371,1283,1225,1158,920,890,838,504,401,332,286,303,266,192,126,116,3121,2696,2510,2385,2251,1888,1707,1539,1031,855,691,632,637,609,390,267,270
2024,HTI,Haiti,Haïti,HT,Nippes,Nippes,HT10,Baradères,Baraderes,HT1031,22267,23355,45622,2932,2709,2470,2050,1820,1683,1477,1486,1085,982,770,639,719,569,425,227,224,3024,2753,2547,2272,1964,1770,1743,1676,1100,955,787,710,689,528,417,236,184,5956,5462,5017,4322,3784,3453,3220,3162,2185,1937,1557,1349,1408,1097,842,463,408
