"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2016-17","School","608","Bartow County","0296","Kingston Elementary School","PK,KK,01,02,03,04,05",475,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0301","Adairsville Middle School","06,07,08",756,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0377","Hamilton Crossing Elementary School","PK,KK,01,02,03,04,05",527,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","0396","Taylorsville Elementary School","PK,KK,01,02,03,04,05",504,"14","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","86","10","71","Too Few Students","Too Few Students"
"2016-17","School","608","Bartow County","2052","Emerson Elementary School","PK,KK,01,02,03,04,05",389,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13328,"260","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","7","24","9","10","4","205","79","162","62","98","38"
"2016-17","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",782,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",790,"50","Too Few Students","Too Few Students","Too Few Students","Too Few Students","33","66","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","24","31","62","19","38"
"2016-17","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",831,"31","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","36","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","45","20","65","11","36"
"2016-17","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",660,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3063,"85","Too Few Students","Too Few Students","Too Few Students","Too Few Students","48","57","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","31","52","61","33","39"
"2016-17","School","610","Berrien County","0101","Berrien High School","09,10,11,12",797,"25","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","76","20","80","Too Few Students","Too Few Students"
"2016-17","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",63,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","88","11","69","Too Few Students","Too Few Students"
"2016-17","School","610","Berrien County","0194","Berrien Middle School","06,07,08",736,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",738,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",688,"43","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","61","29","67","14","33"
"2016-17","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3022,"93","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","13","12","13","Too Few Students","Too Few Students","66","71","69","74","24","26"
"2016-17","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",454,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",490,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","94","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","65","Too Few Students","Too Few Students"
"2016-17","School","611","Bibb County","0105","Howard High School","09,10,11,12",1256,"97","Too Few Students","Too Few Students","Too Few Students","Too Few Students","67","69","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","27","62","64","35","36"
"2016-17","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",756,"28","Too Few Students","Too Few Students","Too Few Students","Too Few Students","26","93","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","68","Too Few Students","Too Few Students"
"2016-17","School","611","Bibb County","0109","Bruce Elementary","PK,KK,01,02,03,04,05",445,"15","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","611","Bibb County","0117","Academy For Classical Education","KK,01,02,03,04,05,06,07,08,09,10",1394,"10","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","611","Bibb County","0186","Central High School","09,10,11,12",1143,"105","Too Few Students","Too Few Students","Too Few Students","Too Few Students","101","96","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","63","60","42","40"
"2016-17","School","611","Bibb County","0198","Westside High","09,10,11,12",1128,"93","Too Few Students","Too Few Students","Too Few Students","Too Few Students","82","88","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","60","65","33","36"
"2016-17","School","611","Bibb County","0203","Vineville Academy","PK,KK,01,02,03,04,05",513,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2016-17","School","611","Bibb County","0204","Rutland High School","09,10,11,12",1053,"71","Too Few Students","Too Few Students","Too Few Students","Too Few Students","41","58","Too Few Students","Too Few Students","Too Few Students","Too Few Students","22","31","44","62","27","38"
"2016-17","School","611","Bibb County","0205","Howard Middle School","06,07,08",926,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","59"
"2016-17","School","611","Bibb County","0286","Northeast High School","09,10,11,12",743,"67","Too Few Students","Too Few Students","Too Few Students","Too Few Students","67","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","47","70","20","30"
"2016-17","School","611","Bibb County","0298","Miller Magnet Middle School","06,07,08",763,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
