"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2010-11","636","Columbia County","ALL","All Column Values","School Administration",6286266.08,2531001.4,8817267.48,4.76,3.47,5.05,4.19
"2010-11","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",77361814.15,30391273,107753087.15,58.23,42.35,61.76,51.18
"2010-11","637","Cook County","ALL","All Column Values","General Administration",579162.43,216073.17,795235.6,3.01,2.68,3.16,2.72
"2010-11","637","Cook County","ALL","All Column Values","School Administration",850694.38,327423.15,1178117.53,4.46,3.96,4.68,4.04
"2010-11","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",10687627.22,3902832.96,14590460.18,55.23,49.1,57.99,49.99
"2010-11","638","Coweta County","ALL","All Column Values","General Administration",1382485.33,517998.74,1900484.07,1.04,0.89,1.11,0.95
"2010-11","638","Coweta County","ALL","All Column Values","School Administration",7020414.83,2826757.61,9847172.44,5.37,4.59,5.73,4.93
"2010-11","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",75428473.8,28211641.76,103640115.56,56.53,48.34,60.35,51.9
"2010-11","639","Crawford County","ALL","All Column Values","General Administration",355930.96,127153.83,483084.79,3.15,2.83,3.29,2.88
"2010-11","639","Crawford County","ALL","All Column Values","School Administration",591174.38,265325.88,856500.26,5.59,5.02,5.84,5.1
"2010-11","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6572711.2,2632575.96,9205287.16,60.07,53.91,62.72,54.86
"2010-11","640","Crisp County","ALL","All Column Values","General Administration",368913.54,109925.49,478839.03,1.28,1.1,1.3,1.2
"2010-11","640","Crisp County","ALL","All Column Values","School Administration",1222542.8,513883.03,1736425.83,4.65,3.98,4.73,4.36
"2010-11","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",15634610.73,5998119.39,21632730.12,57.92,49.53,58.87,54.32
"2010-11","641","Dade County","ALL","All Column Values","General Administration",193083.49,109377.78,302461.27,1.51,1.29,1.6,1.34
"2010-11","641","Dade County","ALL","All Column Values","School Administration",665269.05,276249.1,941518.15,4.71,4.01,4.97,4.17
"2010-11","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",7848912.41,3246708.66,11095621.07,55.46,47.25,58.59,49.11
"2010-11","642","Dawson County","ALL","All Column Values","General Administration",280429.46,106408.65,386838.11,1.1,0.91,1.16,0.78
"2010-11","642","Dawson County","ALL","All Column Values","School Administration",1345332.39,526620.42,1871952.81,5.32,4.39,5.61,3.77
"2010-11","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",13427427.37,5682083.39,19109510.76,54.32,44.79,57.29,38.47
"2010-11","643","Decatur County","ALL","All Column Values","General Administration",478428.93,118153.05,596581.98,1.31,1.11,1.34,1.12
"2010-11","643","Decatur County","ALL","All Column Values","School Administration",1624971.09,541512.94,2166484.03,4.75,4.04,4.85,4.06
"2010-11","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",19404601.27,6671430.75,26076032.02,57.15,48.6,58.36,48.92
"2010-11","644","DeKalb County","ALL","All Column Values","General Administration",5795521.19,2273101.86,8068623.05,0.85,0.73,0.88,0.69
"2010-11","644","DeKalb County","ALL","All Column Values","School Administration",33912374.81,11895248.26,45807623.07,4.81,4.12,5.02,3.89
"2010-11","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",356417183.83,123429807.34,479846991.17,50.39,43.13,52.59,40.78
"2010-11","645","Dodge County","ALL","All Column Values","General Administration",387728.88,121139.7,508868.58,1.84,1.57,1.98,1.71
