"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2017-18","631","Clayton County","ALL","All Column Values","General Administration",3409797.01,1507858.58,4917655.59,1.01,0.84,0.98,0.82
"2017-18","631","Clayton County","ALL","All Column Values","School Administration",17388325.89,7593624.56,24981950.45,5.12,4.27,4.96,4.17
"2017-18","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",186934248.61,79912556.97,266846805.58,54.67,45.56,53.01,44.53
"2017-18","632","Clinch County","ALL","All Column Values","General Administration",376570.75,205290.54,581861.29,3.78,3.43,4.41,3.91
"2017-18","632","Clinch County","ALL","All Column Values","School Administration",405477.42,237914.79,643392.21,4.18,3.79,4.88,4.32
"2017-18","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4868648.71,2482157.4,7350806.11,47.75,43.28,55.75,49.34
"2017-18","633","Cobb County","ALL","All Column Values","General Administration",5167472.37,3714706.08,8882178.45,0.79,0.67,0.82,0.69
"2017-18","633","Cobb County","ALL","All Column Values","School Administration",40054256.36,21144377.55,61198633.91,5.45,4.65,5.64,4.78
"2017-18","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",464423609.99,208458368.88,672881978.87,59.88,51.12,62.02,52.56
"2017-18","634","Coffee County","ALL","All Column Values","General Administration",557489.91,282741.74,840231.65,1.16,1.01,1.21,0.97
"2017-18","634","Coffee County","ALL","All Column Values","School Administration",1846693.82,1136693.45,2983387.27,4.12,3.58,4.31,3.44
"2017-18","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",25763016.07,12867419.77,38630435.84,53.32,46.3,55.83,44.57
"2017-18","635","Colquitt County","ALL","All Column Values","General Administration",796310.23,361401.63,1157711.86,1.27,1.01,1.3,1.04
"2017-18","635","Colquitt County","ALL","All Column Values","School Administration",2931240.63,1223725.93,4154966.56,4.56,3.64,4.67,3.74
"2017-18","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",34528457.53,15499923.23,50028380.76,54.96,43.77,56.22,45.02
"2017-18","636","Columbia County","ALL","All Column Values","General Administration",234663.22,435369.38,670032.6,0.28,0.25,0.29,0.24
"2017-18","636","Columbia County","ALL","All Column Values","School Administration",7528042.1,4070126.95,11598169.05,4.91,4.26,5.01,4.13
"2017-18","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",95675326.56,43734153.63,139409480.19,59.06,51.25,60.22,49.64
"2017-18","637","Cook County","ALL","All Column Values","General Administration",441814.36,228725.31,670539.67,2.32,2.03,2.41,2.11
"2017-18","637","Cook County","ALL","All Column Values","School Administration",667081.68,383393.2,1050474.88,3.64,3.17,3.78,3.3
"2017-18","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",10856519.74,4510096.66,15366616.4,53.24,46.41,55.26,48.31
"2017-18","638","Coweta County","ALL","All Column Values","General Administration",463326.92,394203.36,857530.28,0.41,0.35,0.42,0.36
"2017-18","638","Coweta County","ALL","All Column Values","School Administration",7889661.52,4113319.26,12002980.78,5.68,4.9,5.84,5.09
"2017-18","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",85501747.03,39415700.72,124917447.75,59.16,50.96,60.74,52.95
"2017-18","639","Crawford County","ALL","All Column Values","General Administration",465601.14,214334.54,679935.68,4.33,3.87,4.4,3.94
"2017-18","639","Crawford County","ALL","All Column Values","School Administration",571791.8,353191.84,924983.64,5.9,5.26,5.99,5.36
"2017-18","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6284996.4,2793447.68,9078444.08,57.86,51.61,58.77,52.64
"2017-18","640","Crisp County","ALL","All Column Values","General Administration",523124.96,247490.46,770615.42,1.89,1.61,1.96,1.73
"2017-18","640","Crisp County","ALL","All Column Values","School Administration",1215129.12,733751.48,1948880.6,4.78,4.08,4.95,4.37
"2017-18","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",14383332.7,7270866.69,21654199.39,53.14,45.36,54.96,48.59
"2017-18","641","Dade County","ALL","All Column Values","General Administration",262464.6,169281.11,431745.71,2.13,1.79,2.21,1.83
"2017-18","641","Dade County","ALL","All Column Values","School Administration",697425.89,396362.24,1093788.13,5.39,4.53,5.6,4.64
"2017-18","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",7651893.58,3905883.18,11557776.76,56.91,47.84,59.17,49.02
"2017-18","642","Dawson County","ALL","All Column Values","General Administration",373145.45,248507.07,621652.52,1.56,1.25,1.5,1.2
"2017-18","642","Dawson County","ALL","All Column Values","School Administration",1624699.36,738146.08,2362845.44,5.94,4.74,5.71,4.55
"2017-18","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",14047075.65,7291085.06,21338160.71,53.67,42.8,51.53,41.13
"2017-18","643","Decatur County","ALL","All Column Values","General Administration",400259,117439.62,517698.62,1.03,0.89,1.12,0.92
"2017-18","643","Decatur County","ALL","All Column Values","School Administration",1859661.84,816379.51,2676041.35,5.31,4.58,5.81,4.77
"2017-18","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",17484812.76,8238551.3,25723364.06,51.06,43.99,55.83,45.89
