"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2018-19","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",722,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",672,"86","Too Few Students","Too Few Students","Too Few Students","Too Few Students","49","57","Too Few Students","Too Few Students","Too Few Students","Too Few Students","29","34","57","66","29","34"
"2018-19","School","609","Ben Hill County","0291","Fitzgerald High School","09,10,11,12",824,"34","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","47","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","38","27","79","Too Few Students","Too Few Students"
"2018-19","School","609","Ben Hill County","0296","Ben Hill County Middle School","06,07,08",728,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","District","609","Ben Hill County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2946,"130","Too Few Students","Too Few Students","Too Few Students","Too Few Students","70","54","11","9","Too Few Students","Too Few Students","47","36","90","69","40","31"
"2018-19","School","610","Berrien County","0101","Berrien High School","09,10,11,12",804,"17","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","71","11","65","Too Few Students","Too Few Students"
"2018-19","School","610","Berrien County","0106","Berrien Academy Performance Learning Center","09,10,11,12",66,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","610","Berrien County","0194","Berrien Middle School","06,07,08",761,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","610","Berrien County","0195","Berrien Elementary School","03,04,05",698,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","610","Berrien County","5050","Berrien Primary School","PK,KK,01,02",681,"40","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","30","75","25","63","15","38"
"2018-19","District","610","Berrien County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",3010,"70","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","54","77","43","61","27","39"
"2018-19","School","611","Bibb County","0103","Skyview Elementary School","PK,KK,01,02,03,04,05",415,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","611","Bibb County","0104","Burdell Elementary School","PK,KK,01,02,03,04,05",453,"33","Too Few Students","Too Few Students","Too Few Students","Too Few Students","30","91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","20","61","13","39"
"2018-19","School","611","Bibb County","0105","Howard High School","09,10,11,12",1200,"79","Too Few Students","Too Few Students","Too Few Students","Too Few Students","64","81","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","14","45","57","34","43"
"2018-19","School","611","Bibb County","0108","Ballard Hudson Middle School","06,07,08",701,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","13","100","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","85","Too Few Students","Too Few Students"
"2018-19","School","611","Bibb County","0109","Bruce Elementary School","PK,KK,01,02,03,04,05",389,"22","Too Few Students","Too Few Students","Too Few Students","Too Few Students","21","96","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","55","10","46"
"2018-19","School","611","Bibb County","0117","Academy For Classical Education","KK,01,02,03,04,05,06,07,08,09,10,11,12",1708,"40","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","30","Too Few Students","Too Few Students","Too Few Students","Too Few Students","24","60","27","68","13","33"
"2018-19","School","611","Bibb County","0186","Central High School","09,10,11,12",1044,"157","Too Few Students","Too Few Students","Too Few Students","Too Few Students","144","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","6","83","53","74","47"
"2018-19","School","611","Bibb County","0198","Westside High School","09,10,11,12",1161,"142","Too Few Students","Too Few Students","Too Few Students","Too Few Students","126","89","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","7","76","54","66","47"
"2018-19","School","611","Bibb County","0203","Vineville Academy","PK,KK,01,02,03,04,05",512,"13","Too Few Students","Too Few Students","Too Few Students","Too Few Students","12","92","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2018-19","School","611","Bibb County","0204","Rutland High School","09,10,11,12",948,"51","Too Few Students","Too Few Students","Too Few Students","Too Few Students","29","57","Too Few Students","Too Few Students","Too Few Students","Too Few Students","18","35","30","59","21","41"
"2018-19","School","611","Bibb County","0205","Howard Middle School","06,07,08",1009,"21","Too Few Students","Too Few Students","Too Few Students","Too Few Students","19","91","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","71","Too Few Students","Too Few Students"
"2018-19","School","611","Bibb County","0286","Northeast High School","09,10,11,12",729,"41","Too Few Students","Too Few Students","Too Few Students","Too Few Students","40","98","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","29","71","12","29"
