"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2014-15","626","Chattahoochee County","ALL","All Column Values","School Administration",399541.08,149041.47,548582.55,6,5.24,6.13,5.25
"2014-15","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3641145.57,1270317.52,4911463.09,53.75,46.96,54.87,47
"2014-15","627","Chattooga County","ALL","All Column Values","General Administration",321822.02,100379.61,422201.63,1.74,1.19,1.8,0.99
"2014-15","627","Chattooga County","ALL","All Column Values","School Administration",810368.29,407821.52,1218189.81,5.02,3.42,5.18,2.86
"2014-15","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",8361373.34,3624473.51,11985846.85,49.37,33.65,50.98,28.17
"2014-15","628","Cherokee County","ALL","All Column Values","General Administration",1690276.67,983000.46,2673277.13,0.77,0.58,0.78,0.6
"2014-15","628","Cherokee County","ALL","All Column Values","School Administration",9553584.91,4722253.92,14275838.83,4.1,3.07,4.18,3.22
"2014-15","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",145945395.16,57836231.91,203781627.07,58.57,43.88,59.61,45.91
"2014-15","629","Clarke County","ALL","All Column Values","General Administration",1088015.88,515519.78,1603535.66,1.15,0.92,1.16,0.83
"2014-15","629","Clarke County","ALL","All Column Values","School Administration",4287094.82,1917182.83,6204277.65,4.46,3.58,4.49,3.19
"2014-15","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",50095626.05,22856229.46,72951855.51,52.42,42.05,52.8,37.54
"2014-15","630","Clay County","ALL","All Column Values","General Administration",170964.88,47401.85,218366.73,5.59,5.01,5.77,5.02
"2014-15","630","Clay County","ALL","All Column Values","School Administration",145858.71,89459.04,235317.75,6.03,5.4,6.22,5.4
"2014-15","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",1142481.51,455114.35,1597595.86,40.93,36.68,42.2,36.69
"2014-15","631","Clayton County","ALL","All Column Values","General Administration",1782490.48,576197.78,2358688.26,0.56,0.46,0.57,0.49
"2014-15","631","Clayton County","ALL","All Column Values","School Administration",13181394.3,5112757.72,18294152.02,4.35,3.59,4.42,3.81
"2014-15","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",158780598.4,60028374.88,218808973.28,52,42.97,52.82,45.52
"2014-15","632","Clinch County","ALL","All Column Values","General Administration",375117.26,256351.83,631469.09,5.39,4.15,5.21,4
"2014-15","632","Clinch County","ALL","All Column Values","School Administration",501708.81,262095.53,763804.34,6.52,5.02,6.3,4.84
"2014-15","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4632475.51,2014578.27,6647053.78,56.74,43.68,54.85,42.1
"2014-15","633","Cobb County","ALL","All Column Values","General Administration",4428197.98,2378625.72,6806823.7,0.72,0.6,0.72,0.6
"2014-15","633","Cobb County","ALL","All Column Values","School Administration",28763207.78,14064100.13,42827307.91,4.52,3.79,4.5,3.75
"2014-15","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",410286369.01,170167328.37,580453697.38,61.23,51.34,60.97,50.76
"2014-15","634","Coffee County","ALL","All Column Values","General Administration",557059.99,255442.41,812502.4,1.26,0.9,1.25,1.05
"2014-15","634","Coffee County","ALL","All Column Values","School Administration",1859426.61,947513.53,2806940.14,4.35,3.1,4.31,3.64
