"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2012-13","District","606","Banks County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",2808,"34","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","30","88","24","71","10","29"
"2012-13","School","607","Barrow County","0101","Apalachee High School","09,10,11,12",1680,"64","Too Few Students","Too Few Students","Too Few Students","Too Few Students","10","16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","44","69","47","73","17","27"
"2012-13","School","607","Barrow County","0105","County Line Elementary School","PK,KK,01,02,03,04,05",875,"19","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","58","15","79","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0106","Haymon-Morris Middle School","06,07,08",676,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0113","College and Career Preparatory Academy","09,10,11,12",121,"24","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","63","15","63","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0189","Kennedy Elementary School","PK,KK,01,02,03,04,05",736,"36","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","31","Too Few Students","Too Few Students","14","39","20","56","16","44"
"2012-13","School","607","Barrow County","0193","Bramlett Elementary School","PK,KK,01,02,03,04,05",668,"18","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","15","83","11","61","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0198","Westside Middle School","06,07,08",674,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0205","Bethlehem Elementary School","PK,KK,01,02,03,04,05",771,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0289","Russell Middle School","06,07,08",766,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2012-13","School","607","Barrow County","0298","Yargo Elementary School","PK,KK,01,02,03,04,05",672,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
