"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","TEST_CMPNT_TYP_NM","NUMBER_OF_STUDENTS_TESTED","NUMBER_TESTS_TAKEN","NOTESTS_3ORHIGHER"
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","U.S. History",9,,
"2017-18","609","Ben Hill County","0291","Fitzgerald High School","World History",7,,
"2017-18","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",29,34,11
"2017-18","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Economics: Micro",8,,
"2017-18","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",9,,
"2017-18","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",1,,
"2017-18","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",9,,
"2017-18","609","Ben Hill County","SCHOOL_ALL","SCHOOL_ALL","World History",7,,
"2017-18","610","Berrien County","0101","Berrien High School","ALL Subjects",43,44,18
"2017-18","610","Berrien County","0101","Berrien High School","Art: Studio Drawing",2,,
"2017-18","610","Berrien County","0101","Berrien High School","Eng. Language & Comp",16,16,9
"2017-18","610","Berrien County","0101","Berrien High School","Environmental Science",9,,
"2017-18","610","Berrien County","0101","Berrien High School","U.S. History",17,17,4
"2017-18","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","ALL Subjects",43,44,18
"2017-18","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Art: Studio Drawing",2,,
"2017-18","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Eng. Language & Comp",16,16,9
"2017-18","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","Environmental Science",9,,
"2017-18","610","Berrien County","SCHOOL_ALL","SCHOOL_ALL","U.S. History",17,17,4
"2017-18","611","Bibb County","0105","Howard High School","ALL Subjects",253,450,142
"2017-18","611","Bibb County","0105","Howard High School","Art: Studio 2-D Design",6,,
"2017-18","611","Bibb County","0105","Howard High School","Biology",12,12,5
"2017-18","611","Bibb County","0105","Howard High School","Calculus A",20,20,9
"2017-18","611","Bibb County","0105","Howard High School","Calculus BC",14,14,8
"2017-18","611","Bibb County","0105","Howard High School","Chemistry",22,22,
"2017-18","611","Bibb County","0105","Howard High School","Computer Science A",6,,
