"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2011-12","622","Carroll County","ALL","All Column Values","General Administration",764992.81,329330.72,1094323.53,0.94,0.78,0.95,0.71
"2011-12","622","Carroll County","ALL","All Column Values","School Administration",4254802.47,1922021.69,6176824.16,5.3,4.43,5.38,4.01
"2011-12","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",46193774.07,18435972.55,64629746.62,55.5,46.3,56.27,42
"2011-12","623","Catoosa County","ALL","All Column Values","General Administration",208964.52,201342.4,410306.92,0.47,0.23,0.45,0.28
"2011-12","623","Catoosa County","ALL","All Column Values","School Administration",3519213.39,1561312.71,5080526.1,5.84,2.88,5.61,3.44
"2011-12","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",40979492.82,15809354.47,56788847.29,65.22,32.23,62.66,38.49
"2011-12","624","Charlton County","ALL","All Column Values","General Administration",181509.18,89517.65,271026.83,1.91,1.67,1.98,1.71
"2011-12","624","Charlton County","ALL","All Column Values","School Administration",694588.07,279699.24,974287.31,6.88,5.99,7.13,6.13
"2011-12","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5049747.43,2127869.79,7177617.22,50.7,44.14,52.55,45.16
"2011-12","625","Chatham County","ALL","All Column Values","General Administration",3183512.72,1015352.58,4198865.3,1.32,1.08,1.3,1
"2011-12","625","Chatham County","ALL","All Column Values","School Administration",9889538.19,4305514.61,14195052.8,4.47,3.64,4.4,3.37
"2011-12","625","Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",139139404.03,53755795.21,192895199.24,60.69,49.44,59.75,45.75
"2011-12","626","Chattahoochee County","ALL","All Column Values","General Administration",457352.37,163540.17,620892.54,7.12,5.98,6.83,5.19
"2011-12","626","Chattahoochee County","ALL","All Column Values","School Administration",372552.54,121114.03,493666.57,5.66,4.75,5.43,4.13
"2011-12","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3750720.7,1199587.83,4950308.53,56.8,47.67,54.48,41.4
"2011-12","627","Chattooga County","ALL","All Column Values","General Administration",311048,105242.46,416290.46,1.85,1.61,1.9,1.67
"2011-12","627","Chattooga County","ALL","All Column Values","School Administration",809127.96,330887.86,1140015.82,5.08,4.42,5.2,4.57
"2011-12","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",8834476.21,3352335.78,12186811.99,54.27,47.23,55.58,48.89
"2011-12","628","Cherokee County","ALL","All Column Values","General Administration",1266983.22,609302.5,1876285.72,0.57,0.49,0.59,0.46
"2011-12","628","Cherokee County","ALL","All Column Values","School Administration",9607903.92,4538461.67,14146365.59,4.29,3.7,4.46,3.46
"2011-12","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",136905849.1,50559427.88,187465276.98,56.85,49,59.14,45.87
"2011-12","629","Clarke County","ALL","All Column Values","General Administration",1240339.33,494576.66,1734915.99,1.3,1.08,1.26,1.03
"2011-12","629","Clarke County","ALL","All Column Values","School Administration",4383702.37,1921808.78,6305511.15,4.74,3.93,4.56,3.76
"2011-12","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",52243812.91,21177061.15,73420874.06,55.19,45.71,53.14,43.76
"2011-12","630","Clay County","ALL","All Column Values","General Administration",76805.5,32836.64,109642.14,2.8,2.48,3.13,2.6
"2011-12","630","Clay County","ALL","All Column Values","School Administration",126033.53,51624.3,177657.83,4.53,4.02,5.07,4.21
"2011-12","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",1155848.03,371651.3,1527499.33,38.97,34.53,43.59,36.24
"2011-12","631","Clayton County","ALL","All Column Values","General Administration",1918386.16,433157.25,2351543.41,0.58,0.49,0.6,0.49
"2011-12","631","Clayton County","ALL","All Column Values","School Administration",12394267.48,4110322.61,16504590.09,4.07,3.44,4.22,3.43
"2011-12","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",172041952.45,55659413.38,227701365.83,56.21,47.49,58.16,47.35
"2011-12","632","Clinch County","ALL","All Column Values","General Administration",331909.92,179085.99,510995.91,4.32,3.85,4.19,3.49
