"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2013-14","School","607","Barrow County","0298","Yargo Elementary School","PK,KK,01,02,03,04,05",718,"11","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","1050","Auburn Elementary School","PK,KK,01,02,03,04,05",719,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","3052","Winder-Barrow High School","09,10,11,12",1795,"73","Too Few Students","Too Few Students","Too Few Students","Too Few Students","11","15","11","15","Too Few Students","Too Few Students","42","58","51","70","22","30"
"2013-14","School","607","Barrow County","4050","Holsenbeck Elementary School","PK,KK,01,02,03,04,05",906,"11","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","607","Barrow County","5050","Statham Elementary School","PK,KK,01,02,03,04,05",837,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",12785,"215","Too Few Students","Too Few Students","Too Few Students","Too Few Students","36","17","39","18","Too Few Students","Too Few Students","120","56","142","66","73","34"
"2013-14","School","608","Bartow County","0101","Woodland Middle School at Euharlee","06,07,08",843,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0104","Clear Creek Elementary School","PK,KK,01,02,03,04,05",546,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0105","Adairsville High School","09,10,11,12",941,"75","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","70","93","43","57","32","43"
"2013-14","School","608","Bartow County","0106","Pine Log Elementary","PK,KK,01,02,03,04,05",389,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0107","Euharlee Elementary School","PK,KK,01,02,03,04,05",564,"12","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0114","New Cass High School","09,10,11,12",1555,"109","Too Few Students","Too Few Students","Too Few Students","Too Few Students","14","13","12","11","Too Few Students","Too Few Students","78","72","64","59","45","41"
"2013-14","School","608","Bartow County","0115","Cloverleaf Elementary","PK,KK,01,02,03,04,05",706,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0175","White Elementary School","PK,KK,01,02,03,04,05",557,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0177","Adairsville Elementary School","PK,KK,01,02,03,04,05",658,"16","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","16","100","10","63","Too Few Students","Too Few Students"
"2013-14","School","608","Bartow County","0186","Mission Road Elementary School","PK,KK,01,02,03,04,05",443,"Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students","Too Few Students"
