"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2016-17","630","Clay County","ALL","All Column Values","School Administration",211609.46,129570.85,341180.31,8.2,7.45,9.42,8.08
"2016-17","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",1036572.49,385971.32,1422543.81,34.2,31.07,39.3,33.68
"2016-17","631","Clayton County","ALL","All Column Values","General Administration",2516327.75,1121010.05,3637337.8,0.82,0.67,0.75,0.63
"2016-17","631","Clayton County","ALL","All Column Values","School Administration",15838526.98,6416253.17,22254780.15,5,4.13,4.61,3.89
"2016-17","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",173305108.41,67697113.54,241002221.95,54.2,44.7,49.88,42.07
"2016-17","632","Clinch County","ALL","All Column Values","General Administration",317094.64,183426.74,500521.38,3.55,3.18,3.93,3.33
"2016-17","632","Clinch County","ALL","All Column Values","School Administration",391886.21,248257.44,640143.65,4.54,4.07,5.03,4.25
"2016-17","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4707756.03,2275828.4,6983584.43,49.52,44.37,54.85,46.41
"2016-17","633","Cobb County","ALL","All Column Values","General Administration",4560845.26,3178029.73,7738874.99,0.71,0.6,0.72,0.6
"2016-17","633","Cobb County","ALL","All Column Values","School Administration",39440872.31,19018818.42,58459690.73,5.38,4.55,5.47,4.53
"2016-17","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",453384986.82,193907257.77,647292244.59,59.54,50.33,60.55,50.15
"2016-17","634","Coffee County","ALL","All Column Values","General Administration",552281.28,257758.48,810039.76,1.07,0.94,1.18,0.97
"2016-17","634","Coffee County","ALL","All Column Values","School Administration",1884191.74,1053091.31,2937283.05,3.89,3.41,4.28,3.51
"2016-17","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",25378226.53,11804376.45,37182602.98,49.21,43.18,54.23,44.43
"2016-17","635","Colquitt County","ALL","All Column Values","General Administration",524832.54,287755.43,812587.97,0.92,0.69,0.93,0.72
"2016-17","635","Colquitt County","ALL","All Column Values","School Administration",2880475.92,1118340.4,3998816.32,4.53,3.39,4.59,3.53
"2016-17","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",34229835.78,14184750.41,48414586.19,54.88,40.98,55.52,42.69
"2016-17","636","Columbia County","ALL","All Column Values","General Administration",234506.46,375603.94,610110.4,0.28,0.23,0.28,0.22
"2016-17","636","Columbia County","ALL","All Column Values","School Administration",7403151.01,3617454.05,11020605.06,5.01,4.12,5.11,3.89
"2016-17","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",91399023.39,38991402.7,130390426.09,59.28,48.74,60.44,46.08
"2016-17","637","Cook County","ALL","All Column Values","General Administration",368475.51,164004.43,532479.94,2.01,1.73,2.07,1.8
"2016-17","637","Cook County","ALL","All Column Values","School Administration",723725.06,307760.67,1031485.73,3.89,3.36,4,3.49
"2016-17","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",10530097.51,4008150.1,14538247.61,54.77,47.29,56.39,49.12
"2016-17","638","Coweta County","ALL","All Column Values","General Administration",580464.14,378720.86,959185,0.48,0.41,0.49,0.41
"2016-17","638","Coweta County","ALL","All Column Values","School Administration",7684835.73,3687559.5,11372395.23,5.71,4.88,5.83,4.8
"2016-17","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",82103228.33,35319083.27,117422311.6,58.96,50.42,60.22,49.61
"2016-17","639","Crawford County","ALL","All Column Values","General Administration",469545,208083.35,677628.35,4.44,3.96,4.65,4.13
"2016-17","639","Crawford County","ALL","All Column Values","School Administration",484814.54,264798.59,749613.13,4.91,4.38,5.15,4.57
"2016-17","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6186606.13,2534734.92,8721341.05,57.12,50.92,59.89,53.15
"2016-17","640","Crisp County","ALL","All Column Values","General Administration",448001.92,203770.73,651772.65,1.61,1.37,1.65,1.41
"2016-17","640","Crisp County","ALL","All Column Values","School Administration",1212152.69,675207.23,1887359.92,4.68,3.97,4.77,4.08
"2016-17","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",14507461.41,6773626.34,21281087.75,52.73,44.72,53.79,46
"2016-17","641","Dade County","ALL","All Column Values","General Administration",276702.4,155533.54,432235.94,2.27,1.84,2.22,1.81
"2016-17","641","Dade County","ALL","All Column Values","School Administration",735792.85,366884.5,1102677.35,5.8,4.7,5.66,4.62
"2016-17","641","Dade County","ALL","All Column Values","Teachers and Paraprofessionals",7862353.03,3562113.11,11424466.14,60.12,48.73,58.62,47.87
"2016-17","642","Dawson County","ALL","All Column Values","General Administration",329972.25,198768.14,528740.39,1.41,1.13,1.39,1.12
"2016-17","642","Dawson County","ALL","All Column Values","School Administration",1475768.64,658047.05,2133815.69,5.71,4.55,5.63,4.54
"2016-17","642","Dawson County","ALL","All Column Values","Teachers and Paraprofessionals",13689710.25,6574101.09,20263811.34,54.2,43.22,53.43,43.1
"2016-17","643","Decatur County","ALL","All Column Values","General Administration",398126.69,96881,495007.69,1.02,0.88,1.1,0.91
"2016-17","643","Decatur County","ALL","All Column Values","School Administration",1875878.99,705458.64,2581337.63,5.34,4.58,5.72,4.76
"2016-17","643","Decatur County","ALL","All Column Values","Teachers and Paraprofessionals",17847753.55,7298511.06,25146264.61,52.05,44.6,55.74,46.39
"2016-17","644","DeKalb County","ALL","All Column Values","General Administration",4199238.59,3278365.95,7477604.54,0.71,0.54,0.71,0.59
"2016-17","644","DeKalb County","ALL","All Column Values","School Administration",33772876.2,15360228.6,49133104.8,4.63,3.55,4.67,3.9
"2016-17","644","DeKalb County","ALL","All Column Values","Teachers and Paraprofessionals",398556604.58,157407283.53,555963888.11,52.43,40.15,52.86,44.09
"2016-17","645","Dodge County","ALL","All Column Values","General Administration",269932.55,119985.78,389918.33,1.32,1.16,1.35,1.13
"2016-17","645","Dodge County","ALL","All Column Values","School Administration",770116.2,372829.43,1142945.63,3.88,3.39,3.97,3.32
"2016-17","645","Dodge County","ALL","All Column Values","Teachers and Paraprofessionals",12231018.39,5322224.77,17553243.16,59.58,52.02,61,51.05
"2016-17","646","Dooly County","ALL","All Column Values","General Administration",297822.01,134416.7,432238.71,3.33,2.85,3.13,2.53
"2016-17","646","Dooly County","ALL","All Column Values","School Administration",587064.13,312248.82,899312.95,6.94,5.94,6.51,5.27
"2016-17","646","Dooly County","ALL","All Column Values","Teachers and Paraprofessionals",4385158.44,1987722.21,6372880.65,49.17,42.09,46.15,37.38
