"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2011","633","Cobb County","1052","Belmont Hills Elementary School",3
"2011","633","Cobb County","1056","East Cobb Middle School",9
"2011","633","Cobb County","1058","East Side Elementary School",9
"2011","633","Cobb County","1060","Garrett Middle School",11
"2011","633","Cobb County","1066","Norton Park Elementary School",3
"2011","633","Cobb County","1067","Powers Ferry Elementary School",3
"2011","633","Cobb County","1068","Sky View Elementary School",1
"2011","633","Cobb County","1069","Wheeler High School",1
"2011","633","Cobb County","2050","Argyle Elementary School",6
"2011","633","Cobb County","2062","King Springs Elementary School",1
"2011","633","Cobb County","2066","Osborne High School",1
"2011","633","Cobb County","2560","Griffin Middle School",6
"2011","633","Cobb County","3054","Clay Elementary School",2
"2011","633","Cobb County","3056","South Cobb High School",1
"2011","633","Cobb County","3058","Fair Oaks Elementary School",4
"2011","633","Cobb County","3060","Harmony-Leland Elementary School",1
"2011","633","Cobb County","3062","LaBelle Elementary School",1
"2011","633","Cobb County","3067","Russell Elementary School",1
"2011","633","Cobb County","3556","Compton Elementary School",1
"2011","633","Cobb County","4050","Awtrey Middle School",3
"2011","633","Cobb County","4056","Daniell Middle School",14
"2011","633","Cobb County","4068","Teasley Elementary School",3
"2011","633","Cobb County","4560","Hollydale Elementary School",3
"2011","633","Cobb County","5050","Bells Ferry Elementary School",2
"2011","633","Cobb County","5052","Brumby Elementary School",13
"2011","633","Cobb County","5056","Due West Elementary School",1
"2011","633","Cobb County","5058","Floyd Middle School",1
"2011","633","Cobb County","5067","Sedalia Park Elementary School",6
"2011","633","Cobb County","5068","Eastvalley Elementary School",3
"2011","633","Cobb County","ALL","All Schools",230
"2011","634","Coffee County","0100","Indian Creek Elementary",1
"2011","634","Coffee County","0182","Satilla Elementary School",2
"2011","634","Coffee County","3052","West Green Elementary School",3
"2011","634","Coffee County","ALL","All Schools",6
"2011","635","Colquitt County","0111","Willie J. Williams Middle School",1
"2011","635","Colquitt County","0187","Odom Elementary School",1
"2011","635","Colquitt County","0278","Norman Park Elementary School",1
"2011","635","Colquitt County","3052","Gray Middle School",1
"2011","635","Colquitt County","4050","Cox Elementary School",2
"2011","635","Colquitt County","5054","Sunset Elementary School",1
"2011","635","Colquitt County","ALL","All Schools",7
"2011","636","Columbia County","0103","Grovetown Middle School",4
"2011","636","Columbia County","0173","Westmont Elementary School",1
"2011","636","Columbia County","0192","Stevens Creek Elementary School",7
"2011","636","Columbia County","0290","Lakeside Middle School",9
"2011","636","Columbia County","5050","Grovetown Elementary School",4
"2011","636","Columbia County","ALL","All Schools",25
"2011","637","Cook County","0101","Cook County Middle School",1
"2011","637","Cook County","0104","Cook Elementary School",1
"2011","637","Cook County","ALL","All Schools",2
"2011","638","Coweta County","0103","Willis Road Elementary",1
"2011","638","Coweta County","0192","Newnan Crossing Elementary School",4
"2011","638","Coweta County","0201","Welch Elementary School",4
"2011","638","Coweta County","0389","East Coweta High School",2
"2011","638","Coweta County","0395","Arnall Middle School",5
"2011","638","Coweta County","1054","Ruth Hill Elementary School",1
"2011","638","Coweta County","1056","Evans Middle School",1
"2011","638","Coweta County","ALL","All Schools",18
"2011","640","Crisp County","0197","Crisp County Middle School",1
"2011","640","Crisp County","ALL","All Schools",1
