sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore,four_year_graduation_rate,CollegeEnrollment
616203,616,Bulloch County,Southeast Bulloch High School,203,B,84.2,88.699997,
6162050,616,Bulloch County,Julia P. Bryant Elementary School,2050,B,81.90000000000001,,
6162054,616,Bulloch County,Statesboro High School,2054,C,70.7,82.599998,
616299,616,Bulloch County,Langston Chapel Middle School,299,D,69.60000000000001,,
616300,616,Bulloch County,Southeast Bulloch Middle School,300,B,85.10000000000001,,
6163054,616,Bulloch County,Stilson Elementary School,3054,C,75.2,,
616399,616,Bulloch County,Portal Elementary School,399,C,78.5,,
6164052,616,Bulloch County,Portal Middle/High School,4052,D,68.7,87.5,
6165050,616,Bulloch County,Mattie Lively Elementary School,5050,D,62.2,,
6165054,616,Bulloch County,Sallie Zetterower Elementary School,5054,D,67.90000000000001,,
617104,617,Burke County,Blakeney Elementary,104,C,71.90000000000001,,
617188,617,Burke County,Burke County Middle School,188,F,54.1,,
617196,617,Burke County,S G A Elementary School,196,D,64.3,,
6172056,617,Burke County,Waynesboro Primary School,2056,C,72,,
617288,617,Burke County,Burke County High School,288,C,72.90000000000001,89.300003,
618100,618,Butts County,Henderson Middle School,100,D,63,,
618104,618,Butts County,Hampton L. Daughtry Elementary School,104,D,62.2,,
618108,618,Butts County,Stark Elementary School,108,D,65.60000000000001,,
618111,618,Butts County,Jackson Elementary School,111,D,66.3,,
618190,618,Butts County,Jackson High School,190,D,65.3,80.800003,
619113,619,Calhoun County,Calhoun County High School,113,D,69.2,89.400002,
619179,619,Calhoun County,Calhoun County Elementary School,179,F,48.90000000000001,,
619213,619,Calhoun County,Calhoun County Middle School,213,F,59.40000000000001,,
620100,620,Camden County,Mamie Lou Gross Elementary School,100,F,59.6,,
620105,620,Camden County,Saint Marys Middle School,105,A,90.10000000000001,,
620110,620,Camden County,Saint Marys Elementary School,110,B,85.90000000000001,,
620182,620,Camden County,Camden Middle School,182,C,76.7,,
620187,620,Camden County,Crooked River Elementary School,187,C,74.5,,
620189,620,Camden County,Matilda Harris Elementary School,189,B,85.60000000000001,,
620192,620,Camden County,Woodbine Elementary School,192,B,84.10000000000001,,
620193,620,Camden County,Kingsland Elementary School,193,C,73.3,,
620195,620,Camden County,David L Rainer Elementary School,195,B,81.10000000000001,,
620197,620,Camden County,Sugarmill Elementary,197,C,73.90000000000001,,
620295,620,Camden County,Camden County High School,295,B,88.80000000000001,92.599998,
620495,620,Camden County,Mary Lee Clark Elementary School,495,C,74.10000000000001,,
621101,621,Candler County,Metter High School ,101,C,73.60000000000001,91.199997,
621102,621,Candler County,Metter Middle School,102,C,70.60000000000001,,
621302,621,Candler County,Metter Elementary School,302,C,72.8,,
621303,621,Candler County,Metter Career Academy,303,,,,
622100,622,Carroll County,Sharp Creek Elementary School,100,D,65.3,,
622101,622,Carroll County,Bowdon Middle School,101,C,75.2,,
622102,622,Carroll County,Temple Middle School,102,D,69.60000000000001,,
6221054,622,Carroll County,Temple Elementary School,1054,F,55.90000000000001,,
622115,622,Carroll County,Providence Elementary School,115,B,83.60000000000001,,
622176,622,Carroll County,Mount Zion Elementary School,176,D,64.2,,
622177,622,Carroll County,Central Middle School,177,B,83.80000000000001,,
622189,622,Carroll County,Temple High School,189,C,79.5,92.099998,
622198,622,Carroll County,Bay Springs Middle School,198,D,68.7,,
6222050,622,Carroll County,Bowdon Elementary School,2050,C,77.10000000000001,,
6222052,622,Carroll County,Central High School,2052,C,75.8,90.099998,
622208,622,Carroll County,Mt. Zion Middle School ,208,C,75.8,,
622212,622,Carroll County,Mt. Zion High School,212,C,79.80000000000001,96.699997,
622305,622,Carroll County,Villa Rica Middle,305,D,60.7,,
6223050,622,Carroll County,Bowdon High School,3050,C,75.8,92.199997,
622377,622,Carroll County,Roopville Elementary School,377,B,84.5,,
622405,622,Carroll County,Ithica Elementary ,405,C,76.7,,
622477,622,Carroll County,Whitesburg Elementary School,477,A,92.2,,
6225050,622,Carroll County,Central Elementary School,5050,D,69.8,,
6225052,622,Carroll County,Sand Hill Elementary School,5052,C,70.2,,
6225054,622,Carroll County,Villa Rica High School,5054,C,76.7,91.300003,
622605,622,Carroll County,Glanton-Hindsman Elementary,605,C,75.60000000000001,,
622705,622,Carroll County,Villa Rica Elementary School,705,C,78.60000000000001,,
623100,623,Catoosa County,Ringgold Primary School,100,B,80.90000000000001,,
623102,623,Catoosa County,Battlefield Primary,102,C,79.90000000000001,,
623103,623,Catoosa County,Battlefield Elementary School,103,C,74.7,,
623105,623,Catoosa County,Woodstation Elementary School,105,C,75.40000000000001,,
6231050,623,Catoosa County,Boynton Elementary School,1050,B,82.7,,
6231052,623,Catoosa County,Lakeview-Fort Oglethorpe High School,1052,D,69.7,82.300003,
6231054,623,Catoosa County,West Side Elementary School,1054,F,57.6,,
623109,623,Catoosa County,Heritage High School,109,B,80.40000000000001,91.300003,
623185,623,Catoosa County,Tiger Creek Elementary School,185,F,58.1,,
623205,623,Catoosa County,Heritage Middle School,205,A,93,,
6232552,623,Catoosa County,Lakeview Middle School,2552,C,74.60000000000001,,
6233050,623,Catoosa County,Cloud Springs Elementary School,3050,D,69.7,,
6233052,623,Catoosa County,Ringgold Elementary School,3052,C,75.5,,
6234052,623,Catoosa County,Ringgold High School,4052,B,82.10000000000001,90.300003,
6235050,623,Catoosa County,Graysville Elementary School,5050,C,78,,
6235052,623,Catoosa County,Ringgold Middle School,5052,C,78.7,,
624112,624,Charlton County,Bethune Middle School,112,D,69.5,,
624199,624,Charlton County,Folkston Elementary School,199,F,50,,
624287,624,Charlton County,Charlton County High School,287,D,62.2,86.5,
6244050,624,Charlton County,St. George Elementary School,4050,D,65.2,,
625101,625,Savannah-Chatham County,Johnson High School,101,C,72,84.199997,
6251052,625,Savannah-Chatham County,Otis J Brock III Elementary School,1052,C,71,,
6251056,625,Savannah-Chatham County,Gadsden Elementary School,1056,F,56.1,,
6251058,625,Savannah-Chatham County,Heard Elementary School,1058,D,68,,
6251060,625,Savannah-Chatham County,Howard Elementary School,1060,B,87.90000000000001,,
6251070,625,Savannah-Chatham County,White Bluff Elementary School,1070,C,74.40000000000001,,
625109,625,Savannah-Chatham County,Coastal Empire Montessori Charter School,109,D,64.10000000000001,,
625115,625,Savannah-Chatham County,Woodville-Tompkins Technical and Career High School,115,B,84.90000000000001,100,
625116,625,Savannah-Chatham County,Pulaski Elementary SChool,116,D,67.5,,
625117,625,Savannah-Chatham County,New Hampstead High School,117,C,70.60000000000001,88.699997,
625118,625,Savannah-Chatham County,Oglethorpe Charter School,118,C,72.3,,
625124,625,Savannah-Chatham County,The STEM Academy at Bartlett,124,C,79.2,,
625125,625,Savannah-Chatham County,Tybee Island Maritime Academy School,125,A,90.80000000000001,,
625128,625,Savannah-Chatham County,Savannah Classical Academy Charter School,128,B,80.60000000000001,,
625192,625,Savannah-Chatham County,Esther F. Garrison School for the Arts,192,C,78.30000000000001,,
625194,625,Savannah-Chatham County,Georgetown School,194,C,73.60000000000001,,
625197,625,Savannah-Chatham County,Garden City Elementary School,197,B,81.80000000000001,,
625199,625,Savannah-Chatham County,West Chatham Middle School,199,C,77.2,,
625200,625,Savannah-Chatham County,West Chatham Elementary School,200,C,73.5,,
625201,625,Savannah-Chatham County,DeRenne Middle School,201,F,54.5,,
6252052,625,Savannah-Chatham County,Beach High School,2052,F,59.6,80.800003,
6252056,625,Savannah-Chatham County,Gould Elementary School,2056,D,69.60000000000001,,
6252060,625,Savannah-Chatham County,Hubert Middle School,2060,F,51.6,,
6252062,625,Savannah-Chatham County,Largo-Tibet Elementary School,2062,D,60.40000000000001,,
6252068,625,Savannah-Chatham County,Andrea B Williams Elementary School,2068,D,65.60000000000001,,
625210,625,Savannah-Chatham County,The School of Liberal Studies at Savannah High,210,F,48.3,77.300003,
625211,625,Savannah-Chatham County,Godley Station School,211,C,70.10000000000001,,
625298,625,Savannah-Chatham County,Marshpoint Elementary School,298,C,79.10000000000001,,
625299,625,Savannah-Chatham County,Southwest Middle School,299,D,63.6,,
625300,625,Savannah-Chatham County,Southwest Elementary School,300,D,69.8,,
625301,625,Savannah-Chatham County,Myers Middle School ,301,F,54.7,,
6253056,625,Savannah-Chatham County,Groves High School,3056,D,64.10000000000001,76.5,
6253060,625,Savannah-Chatham County,Isle of Hope School,3060,D,65.60000000000001,,
6253064,625,Savannah-Chatham County,Pooler Elementary School,3064,C,76.2,,
625311,625,Savannah-Chatham County,Coastal Middle School,311,C,75.60000000000001,,
6254052,625,Savannah-Chatham County,Bloomingdale Elementary School,4052,D,68.60000000000001,,
6254054,625,Savannah-Chatham County,Ellis Elementary School,4054,C,76.40000000000001,,
6254056,625,Savannah-Chatham County,Haven Elementary School,4056,D,62.2,,
6254058,625,Savannah-Chatham County,Hesse School,4058,D,69.60000000000001,,
6254068,625,Savannah-Chatham County,Port Wentworth Elementary School,4068,D,62.1,,
6254070,625,Savannah-Chatham County,Windsor Forest Elementary School,4070,D,69.8,,
625411,625,Savannah-Chatham County,Islands High School,411,C,76.2,86.300003,
625499,625,Savannah-Chatham County,Savannah Arts Academy,499,A,97.10000000000001,97.5,
