"SCHOOL_YEAR","DETAIL_LEVEL","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","ACDMC_LVL_CD","TOTAL_STUDENTS_TESTED","STUDENTS_WITH_LEXILE","LEXILE_ON_OR_ABOVE_MIDPOINT","NO_LEXILE_SCORE","AVG_LEXILE_SCORE"
2021,"District Level","626","Chattahoochee County","All","All","03","40","40","11","TFS","546.3"
2021,"District Level","626","Chattahoochee County","All","All","04","34","34","11","TFS","754.1"
2021,"District Level","626","Chattahoochee County","All","All","05","40","40","19","TFS","914.5"
2021,"District Level","626","Chattahoochee County","All","All","06","54","54","24","TFS","939.5"
2021,"District Level","626","Chattahoochee County","All","All","07","49","49","24","TFS","1037.3"
2021,"District Level","626","Chattahoochee County","All","All","08","50","50","22","TFS","1102.4"
2021,"District Level","627","Chattooga County","All","All","03","157","157","49","TFS","570.8"
2021,"District Level","627","Chattooga County","All","All","04","155","155","29","TFS","701.8"
2021,"District Level","627","Chattooga County","All","All","05","182","182","79","TFS","883.1"
2021,"District Level","627","Chattooga County","All","All","06","184","184","46","TFS","881.9"
2021,"District Level","627","Chattooga County","All","All","07","187","187","80","TFS","1044.6"
2021,"District Level","627","Chattooga County","All","All","08","193","192","64","TFS","1023.7"
2021,"District Level","628","Cherokee County","All","All","03","2757","2755","1429","TFS","672.9"
2021,"District Level","628","Cherokee County","All","All","04","2726","2724","1281","TFS","823.7"
2021,"District Level","628","Cherokee County","All","All","05","2767","2764","1722","TFS","952.7"
2021,"District Level","628","Cherokee County","All","All","06","2863","2859","1650","TFS","1014.5"
2021,"District Level","628","Cherokee County","All","All","07","2910","2904","1941","TFS","1150.6"
2021,"District Level","628","Cherokee County","All","All","08","2772","2656","1733","116","1181.8"
2021,"District Level","629","Clarke County","All","All","03","744","742","208","TFS","525.3"
2021,"District Level","629","Clarke County","All","All","04","777","772","204","TFS","702.5"
2021,"District Level","629","Clarke County","All","All","05","697","697","254","TFS","850.1"
2021,"District Level","629","Clarke County","All","All","06","545","531","135","14","836.5"
2021,"District Level","629","Clarke County","All","All","07","453","435","139","18","965.4"
2021,"District Level","629","Clarke County","All","All","08","587","389","145","198","1022"
2021,"District Level","630","Clay County","All","All","03","11","11","TFS","TFS","461.4"
2021,"District Level","630","Clay County","All","All","04","13","13","TFS","TFS","606.2"
2021,"District Level","630","Clay County","All","All","05","12","12","TFS","TFS","797.9"
2021,"District Level","630","Clay County","All","All","06","26","26","TFS","TFS","754.2"
2021,"District Level","630","Clay County","All","All","07","14","14","TFS","TFS","922.1"
2021,"District Level","630","Clay County","All","All","08","17","17","TFS","TFS","1008.2"
2021,"District Level","631","Clayton County","All","All","03","1114","1101","225","17","500.4"
2021,"District Level","631","Clayton County","All","All","04","1161","1141","231","21","672.8"
2021,"District Level","631","Clayton County","All","All","05","1084","1069","342","15","816.8"
2021,"District Level","631","Clayton County","All","All","06","821","800","249","21","886.8"
2021,"District Level","631","Clayton County","All","All","07","695","668","294","27","1029.5"
2021,"District Level","631","Clayton County","All","All","08","1657","634","234","1023","1028.4"
2021,"District Level","632","Clinch County","All","All","03","81","81","26","TFS","592.1"
2021,"District Level","632","Clinch County","All","All","04","85","85","28","TFS","744"
2021,"District Level","632","Clinch County","All","All","05","82","82","43","TFS","920.5"
2021,"District Level","632","Clinch County","All","All","06","90","90","34","TFS","925.3"
2021,"District Level","632","Clinch County","All","All","07","82","82","41","TFS","1080.1"
2021,"District Level","632","Clinch County","All","All","08","70","70","27","TFS","1045"
2021,"District Level","633","Cobb County","All","All","03","6558","6492","3278","79","661.9"
2021,"District Level","633","Cobb County","All","All","04","6485","6440","3079","45","830"
2021,"District Level","633","Cobb County","All","All","05","6692","6650","4094","42","955"
2021,"District Level","633","Cobb County","All","All","06","5658","5527","3023","133","1001.4"
2021,"District Level","633","Cobb County","All","All","07","5663","5479","3421","184","1126.3"
