"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","NATIONAL_AVG_SCORE_VAL","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","616","Bulloch County","4052","Portal Middle/High School","All Students","Reading",1305158,50161,170,19,494,487,488,419
"2015-16","616","Bulloch County","4052","Portal Middle/High School","All Students","Writing",1305158,50161,170,19,482,423,413,376
"2015-16","617","Burke County","0288","Burke County High School","All Students","Combined",1305158,50161,71,71,1484,1395,1286,1286
"2015-16","617","Burke County","0288","Burke County High School","All Students","Mathematics",1305158,50161,71,71,508,485,453,453
"2015-16","617","Burke County","0288","Burke County High School","All Students","Reading",1305158,50161,71,71,494,487,446,446
"2015-16","617","Burke County","0288","Burke County High School","All Students","Writing",1305158,50161,71,71,482,423,388,388
"2015-16","618","Butts County","0190","Jackson High School","All Students","Combined",1305158,50161,57,57,1484,1395,1298,1298
"2015-16","618","Butts County","0190","Jackson High School","All Students","Mathematics",1305158,50161,57,57,508,485,454,454
"2015-16","618","Butts County","0190","Jackson High School","All Students","Reading",1305158,50161,57,57,494,487,464,464
"2015-16","618","Butts County","0190","Jackson High School","All Students","Writing",1305158,50161,57,57,482,423,380,380
"2015-16","619","Calhoun County","0113","Calhoun County High School","All Students","Combined",1305158,50161,20,20,1484,1395,1193,1193
"2015-16","619","Calhoun County","0113","Calhoun County High School","All Students","Mathematics",1305158,50161,20,20,508,485,437,437
"2015-16","619","Calhoun County","0113","Calhoun County High School","All Students","Reading",1305158,50161,20,20,494,487,434,434
"2015-16","619","Calhoun County","0113","Calhoun County High School","All Students","Writing",1305158,50161,20,20,482,423,322,322
"2015-16","620","Camden County","0295","Camden County High School","All Students","Combined",1305158,50161,210,210,1484,1395,1427,1427
"2015-16","620","Camden County","0295","Camden County High School","All Students","Mathematics",1305158,50161,210,210,508,485,496,496
"2015-16","620","Camden County","0295","Camden County High School","All Students","Reading",1305158,50161,210,210,494,487,501,501
"2015-16","620","Camden County","0295","Camden County High School","All Students","Writing",1305158,50161,210,210,482,423,430,430
"2015-16","621","Candler County","0101","Metter High School","All Students","Combined",1305158,50161,63,63,1484,1395,1245,1245
"2015-16","621","Candler County","0101","Metter High School","All Students","Mathematics",1305158,50161,63,63,508,485,440,440
"2015-16","621","Candler County","0101","Metter High School","All Students","Reading",1305158,50161,63,63,494,487,432,432
"2015-16","621","Candler County","0101","Metter High School","All Students","Writing",1305158,50161,63,63,482,423,373,373
"2015-16","622","Carroll County","0113","Open Campus High School","All Students","Combined",1305158,50161,236,1,1484,1395,1378,
"2015-16","622","Carroll County","0113","Open Campus High School","All Students","Mathematics",1305158,50161,236,1,508,485,460,
"2015-16","622","Carroll County","0113","Open Campus High School","All Students","Reading",1305158,50161,236,1,494,487,482,
"2015-16","622","Carroll County","0113","Open Campus High School","All Students","Writing",1305158,50161,236,1,482,423,436,
"2015-16","622","Carroll County","0189","Temple High School","All Students","Combined",1305158,50161,236,30,1484,1395,1378,1375
"2015-16","622","Carroll County","0189","Temple High School","All Students","Mathematics",1305158,50161,236,30,508,485,460,458
"2015-16","622","Carroll County","0189","Temple High School","All Students","Reading",1305158,50161,236,30,494,487,482,483
"2015-16","622","Carroll County","0189","Temple High School","All Students","Writing",1305158,50161,236,30,482,423,436,434
"2015-16","622","Carroll County","0212","Mt. Zion High School","All Students","Combined",1305158,50161,236,8,1484,1395,1378,
"2015-16","622","Carroll County","0212","Mt. Zion High School","All Students","Mathematics",1305158,50161,236,8,508,485,460,
"2015-16","622","Carroll County","0212","Mt. Zion High School","All Students","Reading",1305158,50161,236,8,494,487,482,
"2015-16","622","Carroll County","0212","Mt. Zion High School","All Students","Writing",1305158,50161,236,8,482,423,436,
"2015-16","622","Carroll County","2052","Central High School","All Students","Combined",1305158,50161,236,84,1484,1395,1378,1346
"2015-16","622","Carroll County","2052","Central High School","All Students","Mathematics",1305158,50161,236,84,508,485,460,451
"2015-16","622","Carroll County","2052","Central High School","All Students","Reading",1305158,50161,236,84,494,487,482,470
"2015-16","622","Carroll County","2052","Central High School","All Students","Writing",1305158,50161,236,84,482,423,436,425
"2015-16","622","Carroll County","3050","Bowdon High School","All Students","Combined",1305158,50161,236,8,1484,1395,1378,
"2015-16","622","Carroll County","3050","Bowdon High School","All Students","Mathematics",1305158,50161,236,8,508,485,460,
"2015-16","622","Carroll County","3050","Bowdon High School","All Students","Reading",1305158,50161,236,8,494,487,482,
"2015-16","622","Carroll County","3050","Bowdon High School","All Students","Writing",1305158,50161,236,8,482,423,436,
"2015-16","622","Carroll County","5054","Villa Rica High School","All Students","Combined",1305158,50161,236,105,1484,1395,1378,1402
"2015-16","622","Carroll County","5054","Villa Rica High School","All Students","Mathematics",1305158,50161,236,105,508,485,460,466
"2015-16","622","Carroll County","5054","Villa Rica High School","All Students","Reading",1305158,50161,236,105,494,487,482,490
"2015-16","622","Carroll County","5054","Villa Rica High School","All Students","Writing",1305158,50161,236,105,482,423,436,446
"2015-16","623","Catoosa County","0109","Heritage High School","All Students","Combined",1305158,50161,69,40,1484,1395,1534,1537
"2015-16","623","Catoosa County","0109","Heritage High School","All Students","Mathematics",1305158,50161,69,40,508,485,516,516
"2015-16","623","Catoosa County","0109","Heritage High School","All Students","Reading",1305158,50161,69,40,494,487,543,547
"2015-16","623","Catoosa County","0109","Heritage High School","All Students","Writing",1305158,50161,69,40,482,423,475,474
"2015-16","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","All Students","Combined",1305158,50161,69,20,1484,1395,1534,1542
"2015-16","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","All Students","Mathematics",1305158,50161,69,20,508,485,516,505
"2015-16","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","All Students","Reading",1305158,50161,69,20,494,487,543,535
"2015-16","623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","All Students","Writing",1305158,50161,69,20,482,423,475,502
"2015-16","623","Catoosa County","4052","Ringgold High School","All Students","Combined",1305158,50161,69,9,1484,1395,1534,
"2015-16","623","Catoosa County","4052","Ringgold High School","All Students","Mathematics",1305158,50161,69,9,508,485,516,
"2015-16","623","Catoosa County","4052","Ringgold High School","All Students","Reading",1305158,50161,69,9,494,487,543,
"2015-16","623","Catoosa County","4052","Ringgold High School","All Students","Writing",1305158,50161,69,9,482,423,475,
"2015-16","624","Charlton County","0287","Charlton County High School","All Students","Combined",1305158,50161,22,22,1484,1395,1492,1492
"2015-16","624","Charlton County","0287","Charlton County High School","All Students","Mathematics",1305158,50161,22,22,508,485,492,492
"2015-16","624","Charlton County","0287","Charlton County High School","All Students","Reading",1305158,50161,22,22,494,487,512,512
"2015-16","624","Charlton County","0287","Charlton County High School","All Students","Writing",1305158,50161,22,22,482,423,487,487
"2015-16","625","Savannah-Chatham County","0101","Johnson High School","All Students","Combined",1305158,50161,911,65,1484,1395,1338,1215
"2015-16","625","Savannah-Chatham County","0101","Johnson High School","All Students","Mathematics",1305158,50161,911,65,508,485,456,400
"2015-16","625","Savannah-Chatham County","0101","Johnson High School","All Students","Reading",1305158,50161,911,65,494,487,467,410
"2015-16","625","Savannah-Chatham County","0101","Johnson High School","All Students","Writing",1305158,50161,911,65,482,423,414,406
