LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,NATIONAL_AVG_SCORE_VAL,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2013-14,614,Brooks County,110,Brooks County High School,All Students,English,1845787,44186,43,43,20.3,19.8,15.7,15.7
2013-14,614,Brooks County,110,Brooks County High School,All Students,Mathematics,1845787,44187,43,43,20.9,20.1,16.8,16.8
2013-14,614,Brooks County,110,Brooks County High School,All Students,Reading,1845787,44185,43,43,21.3,21.1,17.4,17.4
2013-14,614,Brooks County,110,Brooks County High School,All Students,Science,1845787,44185,43,43,20.8,20.4,17.4,17.4
2013-14,614,Brooks County,110,Brooks County High School,All Students,Writing Subscore,976031,28370,23,23,7.1,7,6.4,6.4
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,Combined English Writing,976031,28370,106,86,20.6,20.2,21.9,22.5
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,Composite,1845787,44185,156,124,21,20.5,22.1,23
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,English,1845787,44186,156,124,20.3,19.8,21.7,22.6
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,Mathematics,1845787,44187,156,124,20.9,20.1,21.4,22.3
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,Reading,1845787,44185,156,124,21.3,21.1,23,24
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,Science,1845787,44185,156,124,20.8,20.4,21.8,22.5
2013-14,615,Bryan County,182,Richmond Hill High School,All Students,Writing Subscore,976031,28370,106,86,7.1,7,7.5,7.5
2013-14,615,Bryan County,502,Bryan County High School,All Students,Combined English Writing,976031,28370,106,20,20.6,20.2,21.9,19.1
2013-14,615,Bryan County,502,Bryan County High School,All Students,Composite,1845787,44185,156,32,21,20.5,22.1,18.6
2013-14,615,Bryan County,502,Bryan County High School,All Students,English,1845787,44186,156,32,20.3,19.8,21.7,18
2013-14,615,Bryan County,502,Bryan County High School,All Students,Mathematics,1845787,44187,156,32,20.9,20.1,21.4,17.6
2013-14,615,Bryan County,502,Bryan County High School,All Students,Reading,1845787,44185,156,32,21.3,21.1,23,19.1
2013-14,615,Bryan County,502,Bryan County High School,All Students,Science,1845787,44185,156,32,20.8,20.4,21.8,19.2
2013-14,615,Bryan County,502,Bryan County High School,All Students,Writing Subscore,976031,28370,106,20,7.1,7,7.5,7.1
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,Combined English Writing,976031,28370,148,38,20.6,20.2,18.5,19.9
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,Composite,1845787,44185,231,58,21,20.5,19.8,21.4
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,English,1845787,44186,231,58,20.3,19.8,18.9,21.2
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,Mathematics,1845787,44187,231,58,20.9,20.1,19.6,21.3
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,Reading,1845787,44185,231,58,21.3,21.1,20.2,21.5
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,Science,1845787,44185,231,58,20.8,20.4,19.8,21.2
2013-14,616,Bulloch County,203,Southeast Bulloch High School,All Students,Writing Subscore,976031,28370,148,38,7.1,7,6.5,6.5
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,Combined English Writing,976031,28370,148,104,20.6,20.2,18.5,17.9
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,Composite,1845787,44185,231,153,21,20.5,19.8,19.2
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,English,1845787,44186,231,153,20.3,19.8,18.9,18.2
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,Mathematics,1845787,44187,231,153,20.9,20.1,19.6,19.1
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,Reading,1845787,44185,231,153,21.3,21.1,20.2,19.8
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,Science,1845787,44185,231,153,20.8,20.4,19.8,19.3
2013-14,616,Bulloch County,2054,Statesboro High School,All Students,Writing Subscore,976031,28370,148,104,7.1,7,6.5,6.4
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,Combined English Writing,976031,28370,148,TFS,20.6,20.2,18.5,
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,Composite,1845787,44185,231,20,21,20.5,19.8,19.1
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,English,1845787,44186,231,20,20.3,19.8,18.9,17.5
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,Mathematics,1845787,44187,231,20,20.9,20.1,19.6,18.4
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,Reading,1845787,44185,231,20,21.3,21.1,20.2,20.1
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,Science,1845787,44185,231,20,20.8,20.4,19.8,19.9
2013-14,616,Bulloch County,4052,Portal Middle/High School,All Students,Writing Subscore,976031,28370,148,TFS,7.1,7,6.5,
2013-14,617,Burke County,288,Burke County High School,All Students,Combined English Writing,976031,28370,47,47,20.6,20.2,17.7,17.7
2013-14,617,Burke County,288,Burke County High School,All Students,Composite,1845787,44185,63,63,21,20.5,18.2,18.2
2013-14,617,Burke County,288,Burke County High School,All Students,English,1845787,44186,63,63,20.3,19.8,17.3,17.3
2013-14,617,Burke County,288,Burke County High School,All Students,Mathematics,1845787,44187,63,63,20.9,20.1,18.4,18.4
2013-14,617,Burke County,288,Burke County High School,All Students,Reading,1845787,44185,63,63,21.3,21.1,18.5,18.5
2013-14,617,Burke County,288,Burke County High School,All Students,Science,1845787,44185,63,63,20.8,20.4,18.1,18.1
2013-14,617,Burke County,288,Burke County High School,All Students,Writing Subscore,976031,28370,47,47,7.1,7,6.5,6.5
2013-14,618,Butts County,190,Jackson High School,All Students,Combined English Writing,976031,28370,43,43,20.6,20.2,18.9,18.9
2013-14,618,Butts County,190,Jackson High School,All Students,Composite,1845787,44185,67,67,21,20.5,19.2,19.2
2013-14,618,Butts County,190,Jackson High School,All Students,English,1845787,44186,67,67,20.3,19.8,18.9,18.9
2013-14,618,Butts County,190,Jackson High School,All Students,Mathematics,1845787,44187,67,67,20.9,20.1,18.3,18.3
2013-14,618,Butts County,190,Jackson High School,All Students,Reading,1845787,44185,67,67,21.3,21.1,19.7,19.7
2013-14,618,Butts County,190,Jackson High School,All Students,Science,1845787,44185,67,67,20.8,20.4,19.4,19.4
2013-14,618,Butts County,190,Jackson High School,All Students,Writing Subscore,976031,28370,43,43,7.1,7,6.9,6.9
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,Combined English Writing,976031,28370,TFS,TFS,20.6,20.2,,
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,Composite,1845787,44185,10,10,21,20.5,16.9,16.9
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,English,1845787,44186,10,10,20.3,19.8,15.4,15.4
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,Mathematics,1845787,44187,10,10,20.9,20.1,17.4,17.4
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,Reading,1845787,44185,10,10,21.3,21.1,16.1,16.1
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,Science,1845787,44185,10,10,20.8,20.4,18.4,18.4
2013-14,619,Calhoun County,113,Calhoun County High School,All Students,Writing Subscore,976031,28370,TFS,TFS,7.1,7,,
