SCHOOL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,direct_cert_perc
2014,631,Clayton County,0105,Thurgood Marshall Elementary School,56
2014,631,Clayton County,0106,Jonesboro Middle School,56
2014,631,Clayton County,0107,Sequoyah Middle School,57
2014,631,Clayton County,0109,Mount Zion Primary,58
2014,631,Clayton County,0114,Elite Scholars Academy School,20
2014,631,Clayton County,0115,Charles R. Drew High School,44
2014,631,Clayton County,0116,Eddie White Academy,45
2014,631,Clayton County,0117,Morrow Middle School,48
2014,631,Clayton County,0173,Kilpatrick Elementary School,59
2014,631,Clayton County,0174,Mundys Mill Middle School,49
2014,631,Clayton County,0175,Brown Elementary School,54
2014,631,Clayton County,0176,Mount Zion Elementary School,54
2014,631,Clayton County,0177,Adamson Middle School,41
2014,631,Clayton County,0181,Pointe South Elementary School,59
2014,631,Clayton County,0190,Lovejoy High School,37
2014,631,Clayton County,0191,Lovejoy Middle School,52
2014,631,Clayton County,0195,River's Edge Elementary School,37
2014,631,Clayton County,0197,Kendrick Middle School,48
2014,631,Clayton County,0199,Hawthorne Elementary School,59
2014,631,Clayton County,0200,Roberta T. Smith Elementary School,53
2014,631,Clayton County,0203,Harper Elementary School,71
2014,631,Clayton County,0204,"Martin Luther King, Jr. Elementary School",65
2014,631,Clayton County,0205,Kemp Primary,53
2014,631,Clayton County,0207,Rex Mill Middle School,46
2014,631,Clayton County,0276,Oliver Elementary School,60
2014,631,Clayton County,0277,Pointe South Middle School,57
2014,631,Clayton County,0290,Mount Zion High School,37
2014,631,Clayton County,0295,Lake Ridge Elementary School,55
2014,631,Clayton County,0304,James Jackson Elementary School,43
2014,631,Clayton County,0305,Kemp Elem School,53
2014,631,Clayton County,0307,Unidos Dual Language Charter School,41
2014,631,Clayton County,0377,Riverdale High School,38
2014,631,Clayton County,1050,Anderson Elementary School,59
2014,631,Clayton County,1052,East Clayton Elementary School,41
2014,631,Clayton County,1054,Forest Park High School,39
2014,631,Clayton County,1056,Jonesboro High School,35
2014,631,Clayton County,1058,Lee Street Elementary School,71
2014,631,Clayton County,1060,Northcutt Elementary School,67
2014,631,Clayton County,1062,Tara Elementary School,68
2014,631,Clayton County,1550,Arnold Elementary School,45
2014,631,Clayton County,2052,North Clayton High School,52
2014,631,Clayton County,2054,Forest Park Middle School,56
2014,631,Clayton County,2058,Morrow Elementary School,47
2014,631,Clayton County,2060,Riverdale Elementary School,65
2014,631,Clayton County,2062,West Clayton Elementary School,72
2014,631,Clayton County,2554,Fountain Elementary School,60
2014,631,Clayton County,3050,Babb Middle School,46
2014,631,Clayton County,3052,North Clayton Middle School,61
2014,631,Clayton County,3054,Haynie Elementary School,55
2014,631,Clayton County,3060,Riverdale Middle School,52
2014,631,Clayton County,4050,Church Street Elementary School,58
2014,631,Clayton County,4056,Lake City Elementary School,48
2014,631,Clayton County,4058,Morrow High School,37
2014,631,Clayton County,4060,Suder Elementary School,53
2014,631,Clayton County,5052,Edmonds Elementary School,65
2014,631,Clayton County,5054,Huie Elementary School,66
2014,631,Clayton County,5056,William M. McGarrah Elementary School,53
2014,631,Clayton County,5060,Swint Elementary School,64
2014,632,Clinch County,0101,Clinch County Elementary School,58
2014,632,Clinch County,0201,Clinch County Middle School,48
2014,632,Clinch County,1050,Clinch County High School,34
2014,633,Cobb County,0101,Kennesaw Mountain High School,12
2014,633,Cobb County,0102,Riverside Intermediate School,59
2014,633,Cobb County,0103,Kell High School,11
