LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBGRP_DESC,TEST_CMPNT_TYP_CD,NATIONAL_NUM_TESTED_CNT,STATE_NUM_TESTED_CNT,DSTRCT_NUM_TESTED_CNT,INSTN_NUM_TESTED_CNT,STATE_AVG_SCORE_VAL,DSTRCT_AVG_SCORE_VAL,INSTN_AVG_SCORE_VAL
2015-16,608,Bartow County,114,Cass High School,All Students,Essay Reading Score - New,,16319,61,26,5,5,5
2015-16,608,Bartow County,114,Cass High School,All Students,Essay Total,,16311,61,26,14,13,13
2015-16,608,Bartow County,114,Cass High School,All Students,Essay Writing Score - New,,16374,61,25,5,5,5
2015-16,608,Bartow County,114,Cass High School,All Students,Evidence Based Reading and Writing - New,,28110,107,42,551,540,541
2015-16,608,Bartow County,114,Cass High School,All Students,Math Section Score - New,,28138,107,42,532,522,512
2015-16,608,Bartow County,114,Cass High School,All Students,Reading Test  Score - New,,28234,109,43,277,271,271
2015-16,608,Bartow County,114,Cass High School,All Students,WritLang Test  Score - New,,28265,108,42,275,270,268
2015-16,608,Bartow County,198,Woodland High School,All Students,Combined Test Score,,28212.33333,108,43.66666667,1084,1063,1102
2015-16,608,Bartow County,198,Woodland High School,All Students,Essay Analysis Score - New,,16239,62,25,4,4,4
2015-16,608,Bartow County,198,Woodland High School,All Students,Essay Reading Score - New,,16319,61,24,5,5,5
2015-16,608,Bartow County,198,Woodland High School,All Students,Essay Total,,16311,61,25,14,13,13
2015-16,608,Bartow County,198,Woodland High School,All Students,Essay Writing Score - New,,16374,61,25,5,5,5
2015-16,608,Bartow County,198,Woodland High School,All Students,Evidence Based Reading and Writing - New,,28110,107,43,551,540,558
2015-16,608,Bartow County,198,Woodland High School,All Students,Math Section Score - New,,28138,107,43,532,522,543
2015-16,608,Bartow County,198,Woodland High School,All Students,Reading Test  Score - New,,28234,109,44,277,271,278
2015-16,608,Bartow County,198,Woodland High School,All Students,WritLang Test  Score - New,,28265,108,44,275,270,281
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Combined Test Score,,28212.33333,30.33333333,30.33333333,1084,991,991
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Analysis Score - New,,16239,11,11,4,3,3
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Reading Score - New,,16319,11,11,5,5,5
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Total,,16311,11,11,14,12,12
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Essay Writing Score - New,,16374,11,11,5,5,5
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Evidence Based Reading and Writing - New,,28110,30,30,551,507,507
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Math Section Score - New,,28138,30,30,532,484,484
2015-16,609,Ben Hill County,291,Fitzgerald High School,All Students,Reading Test  Score - New,,28234,30,30,277,261,261
