"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0105","607","2010-11","County Line Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,1,10,22,6,58,0,70,11.2,,,,245,25.7,,,107,11.2,135,14.2,1,0.1,,,967,0,57,6,51,49
"School","0106","607","2010-11","Haymon-Morris Middle School","Barrow County","06,07,08",4,0,11,13,2,69,0,54,10,,110,13.8,,,,,80,10,17,2.1,0,0,,,818,1.4,90,11.3,53,47
"School","0189","607","2010-11","Kennedy Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,1,19,15,6,55,0,68,15.4,,,,173,27.2,,,98,15.4,72,11.3,6,0.9,,,631,0,63,9.9,53,47
"School","0193","607","2010-11","Bramlett Elementary School","Barrow County","PK,KK,01,02,03,04,05",11,1,5,10,3,71,0,48,9.2,,,,177,25.4,,,64,9.2,70,10,3,0.4,,,687,0,47,6.7,52,48
"School","0198","607","2010-11","Westside Middle School","Barrow County","06,07,08",5,1,15,12,5,62,0,67,13.9,,102,19.4,,,,,73,13.9,25,4.7,0,0,,,535,1.1,57,10.8,54,46
"School","0205","607","2010-11","Bethlehem Elementary School","Barrow County","PK,KK,01,02,03,04,05",2,1,12,16,5,65,0,59,9.2,,,,292,32.2,,,83,9.2,93,10.3,6,0.7,,,892,0,47,5.2,51,49
"School","0289","607","2010-11","Russell Middle School","Barrow County","06,07,08",6,1,8,12,5,69,0,71,13.9,,168,23.6,,,,,99,13.9,28,3.9,0,0,,,733,1.7,70,9.8,51,49
"School","0298","607","2010-11","Yargo Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,12,15,2,67,0,54,10.4,,,,201,25.6,,,82,10.4,61,7.8,6,0.8,,,803,0,41,5.2,50,50
"School","1050","607","2010-11","Auburn Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,1,4,11,7,71,0,64,9,,,,121,24.7,,,44,9,47,9.6,37,7.6,,,506,0,8,1.6,54,46
"School","2052","607","2010-11","Winder-Barrow Middle School","Barrow County","06,07,08",3,0,16,12,6,63,0,63,11.1,,128,16.6,,,,,85,11.1,19,2.5,0,0,,,758,1.2,69,9,54,46
"School","3052","607","2010-11","Winder-Barrow High School","Barrow County","09,10,11,12",7,0,15,11,4,62,0,54,11,,,,,,95,5.2,201,11,29,1.6,0,0,1193,65.2,1499,5.5,129,7,52,48
"School","4050","607","2010-11","Holsenbeck Elementary School","Barrow County","PK,KK,01,02,03,04,05",3,1,15,10,7,64,0,67,11.3,,,,245,28.2,,,98,11.3,44,5.1,7,0.8,,,868,0.1,45,5.2,53,47
"School","5050","607","2010-11","Statham Elementary School","Barrow County","PK,KK,01,02,03,04,05",2,0,15,16,4,63,0,66,12.5,,,,300,38.3,,,98,12.5,80,10.2,0,0,,,805,0,76,9.7,54,46
"District","ALL","607","2010-11","All Column Values","Barrow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",5,0,13,13,4,64,0,61,11.2,8,508,18.1,1754,28.6,211,6.2,1387,11.2,760,6.2,66,0.5,2209,64.7,11804,1.4,952,7.7,52,48
"School","0101","608","2010-11","Woodland Middle School at Euharlee","Bartow County","06,07,08",0,0,9,6,2,83,0,46,12.4,,129,13.9,,,,,115,12.4,3,0.3,0,0,,,930,0.4,139,15,49,51
"School","0104","608","2010-11","Clear Creek Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,3,6,2,88,0,62,8.7,,,,54,10.2,,,46,8.7,10,1.9,0,0,,,535,0,39,7.4,48,52
"School","0105","608","2010-11","Adairsville High School","Bartow County","09,10,11,12",0,0,6,3,0,90,0,51,12.8,,,,,,29,3,122,12.8,3,0.3,0,0,704,74,710,0,91,9.6,53,47
"School","0106","608","2010-11","Pine Log Elementary","Bartow County","PK,KK,01,02,03,04,05",0,0,1,4,1,93,0,59,11.9,,,,46,10.7,,,51,11.9,10,2.3,2,0.5,,,425,0,14,3.3,55,45
"School","0107","608","2010-11","Euharlee Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,6,6,1,87,0,52,12,,,,66,9,,,88,12,23,3.1,6,0.8,,,730,0,20,2.7,52,48
"School","0175","608","2010-11","White Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,9,6,4,80,0,55,9,,,,72,12.4,,,52,9,22,3.8,7,1.2,,,560,0,41,7.1,51,49
"School","0177","608","2010-11","Adairsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,10,6,3,81,0,61,9.9,,,,97,15.3,,,63,9.9,25,3.9,3,0.5,,,658,0,26,4.1,51,49
"School","0186","608","2010-11","Mission Road Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,10,11,4,74,0,57,10.9,,,,42,8,,,57,10.9,19,3.6,7,1.3,,,525,0,51,9.8,49,51
"School","0190","608","2010-11","South Central Middle School","Bartow County","06,07,08",2,0,10,12,2,74,0,74,11,,118,18.1,,,,,72,11,20,3.1,0,0,,,658,0.5,101,15.5,51,49
"School","0195","608","2010-11","Cass Middle School","Bartow County","06,07,08",1,0,13,12,2,73,0,63,10.9,,74,7.1,,,,,114,10.9,34,3.3,0,0,,,1048,0.5,194,18.6,50,50
"School","0196","608","2010-11","Allatoona Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,4,19,3,74,0,79,14.5,,,,55,11.3,,,71,14.5,51,10.5,3,0.6,,,489,0,28,5.7,53,47
"School","0198","608","2010-11","Woodland High School","Bartow County","09,10,11,12",0,0,10,8,1,81,0,47,11.7,,,,,,414,24,202,11.7,7,0.4,0,0,948,55,1341,1.3,184,10.7,51,49
"School","0296","608","2010-11","Kingston Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,13,14,5,68,0,80,10.3,,,,45,8.9,,,52,10.3,46,9.1,9,1.8,,,508,0,20,4,51,49
"School","0301","608","2010-11","Adairsville Middle School","Bartow County","06,07,08",0,0,5,4,2,89,0,59,15.4,,73,9.7,,,,,115,15.4,8,1.1,0,0,,,743,0.3,131,17.5,52,48
"School","0377","608","2010-11","Hamilton Crossing Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,10,18,3,67,0,60,11.3,,,,52,8.3,,,71,11.3,84,13.4,8,1.3,,,646,0,32,5.1,50,50
"School","0396","608","2010-11","Taylorsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,5,10,1,83,0,57,10.5,,,,44,9.6,,,48,10.5,16,3.5,3,0.7,,,457,0,30,6.6,53,47
"School","0577","608","2010-11","Cass High School","Bartow County","09,10,11,12",1,1,15,10,2,72,0,59,12.1,,,,,,155,10.7,175,12.1,36,2.5,0,0,887,61.1,1069,1,117,8.1,50,50
"School","1052","608","2010-11","Cloverleaf Elementary School","Bartow County","PK,KK,01,02,03,04,05",3,0,12,15,2,68,0,68,9.2,,,,74,12.1,,,56,9.2,63,10.3,8,1.3,,,631,0,18,3,50,50
"School","2052","608","2010-11","Emerson Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,3,13,2,82,0,74,10.2,,,,69,18.5,,,38,10.2,22,5.9,2,0.5,,,373,0,21,5.6,54,46
"District","ALL","608","2010-11","All Column Values","Bartow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,9,9,2,79,0,59,11.5,5,394,11.7,716,11,598,14.5,1608,11.5,502,3.6,58,0.4,2539,61.5,13036,0.3,1294,9.3,51,49
"School","0111","609","2010-11","Ben Hill Elementary School","Ben Hill County","03,04,05",1,0,37,12,2,48,0,78,9.6,,,,127,16.7,,,73,9.6,23,3,0,0,,,760,0,52,6.8,51,49
"School","0196","609","2010-11","Ben Hill County Primary School","Ben Hill County","PK,KK,01,02",1,0,44,13,2,39,0,82,11.2,,,,170,19.7,,,97,11.2,93,10.8,25,2.9,,,848,0,22,2.5,50,50
"School","0291","609","2010-11","Fitzgerald High School","Ben Hill County","09,10,11,12",0,0,43,7,1,49,0,74,12,,,,,,120,15.1,95,12,7,0.9,0,0,713,89.9,582,0,101,12.7,51,49
"School","0296","609","2010-11","Ben Hill County Middle School","Ben Hill County","06,07,08",1,0,44,8,1,46,0,80,12.2,,72,9.5,,,,,92,12.2,9,1.2,0,0,,,745,0,88,11.7,49,51
"School","1050","609","2010-11","Ben Hill County Elementary School","Ben Hill County","03,04,05",,,,,,,,,0,,,,,,,,0,0,,,0,0,,,,,,,,
"District","ALL","609","2010-11","All Column Values","Ben Hill County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,42,10,2,45,0,79,11.2,5,72,9.5,297,18.3,120,15.1,357,11.2,132,4.2,25,0.8,713,89.9,2935,0,263,8.3,50,50
"School","0101","610","2010-11","Berrien High School","Berrien County","09,10,11,12",0,0,14,7,0,78,1,65,11.2,,,,,,111,13.4,93,11.2,6,0.7,0,0,491,59.4,631,1.1,115,13.9,54,46
"School","0106","610","2010-11","Berrien Academy Performance Learning Center","Berrien County","09,10,11,12",2,0,10,3,0,85,0,70,1.7,0,,,,,25,41.7,1,1.7,0,0,0,0,22,36.7,110,100,,,53,47
"School","0194","610","2010-11","Berrien Middle School","Berrien County","06,07,08",0,0,10,8,2,79,2,67,10.7,,120,16.7,,,,,77,10.7,12,1.7,0,0,,,736,1.9,66,9.2,53,48
"School","0195","610","2010-11","Berrien Elementary School","Berrien County","03,04,05",1,0,13,10,2,75,3,74,12.7,,,,76,10.4,,,93,12.7,15,2,0,0,,,738,0,60,8.2,52,48
"School","5050","610","2010-11","Berrien Primary School","Berrien County","PK,KK,01,02",1,0,12,8,2,77,3,72,8.6,,,,131,16.9,,,67,8.6,31,4,21,2.7,,,763,0,30,3.9,49,51
"District","ALL","610","2010-11","All Column Values","Berrien County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,12,8,2,78,2,70,10.6,3,120,16.7,207,13.7,136,15.3,331,10.6,64,2.1,21,0.7,513,57.8,2978,2.6,271,8.7,52,48
"School","0103","611","2010-11","Skyview Elementary School","Bibb County","PK,KK,01,02,03,04,05",1,0,31,1,3,64,0,59,14.3,,,,60,11.4,,,75,14.3,1,0.2,0,0,,,532,0,31,5.9,53,47
"School","0104","611","2010-11","Burdell Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,90,6,4,1,0,94,12.3,,,,95,19.5,,,60,12.3,14,2.9,0,0,,,508,0,12,2.5,53,47
"School","0105","611","2010-11","Howard High School","Bibb County","09,10,11,12",4,0,53,2,1,38,0,51,12.6,,,,,,,,143,12.6,11,1,0,0,450,39.7,925,3,197,17.4,55,45
"School","0107","611","2010-11","Bloomfield Middle School","Bibb County","06,07,08",0,0,95,1,1,2,0,94,13.7,0,,,,,,,70,13.7,0,0,0,0,,,510,2.4,15,2.9,53,47
"School","0108","611","2010-11","Ballard Hudson Middle School","Bibb County","06,07,08",0,0,97,0,1,2,0,99,14.1,,,,,,,,74,14.1,1,0.2,0,0,,,535,2.7,8,1.5,54,46
"School","0109","611","2010-11","Bruce Elementary School","Bibb County","PK,KK,01,02,03,04,05",0,0,91,2,0,7,0,99,8.7,,,,119,26.5,,,39,8.7,0,0,0,0,,,420,0,3,0.7,52,48
"School","0186","611","2010-11","Central High School","Bibb County","09,10,11,12",2,0,86,1,0,11,0,76,10.6,0,,,,,15,1.4,114,10.6,0,0,0,0,418,39,817,2.4,194,18.1,43,57
"School","0198","611","2010-11","Westside High School","Bibb County","09,10,11,12",2,0,83,3,0,12,0,78,8.1,,,,,,14,1.2,92,8.1,10,0.9,0,0,483,42.4,896,3.2,173,15.2,51,49
"School","0203","611","2010-11","Vineville Academy","Bibb County","KK,01,02,03,04,05",1,0,74,4,4,16,0,71,3.9,,,,78,15.1,,,20,3.9,12,2.3,0,0,,,487,0,35,6.8,43,57
"School","0204","611","2010-11","Rutland High School","Bibb County","09,10,11,12",1,0,46,3,1,48,0,56,6.5,,,,,,,,74,6.5,6,0.5,0,0,537,47.4,872,1.8,126,11.1,51,49
"School","0205","611","2010-11","Howard Middle School","Bibb County","06,07,08",4,1,55,3,2,34,0,59,10.8,,,,,,,,111,10.8,9,0.9,0,0,,,1015,1.4,225,21.8,51,49
"School","0286","611","2010-11","Northeast High School","Bibb County","09,10,11,12",0,0,99,0,0,1,0,82,9,0,,,,,105,12.9,73,9,0,0,0,0,458,56.3,658,6,4,0.5,50,50
"School","0298","611","2010-11","Miller Magnet Middle School","Bibb County","06,07,08",0,0,89,2,1,8,0,81,11.4,,,,,,,,88,11.4,0,0,0,0,,,765,1.1,127,16.4,48,52
