LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,NUMBER_OF_GRADUATES,HOPE_ELIGIBLE,HOPE_ELIGIBLE_PCT
2016-17,667,Gwinnett County,1710,Archer High School,594,335,56.4
2016-17,667,Gwinnett County,1814,Discovery High School,412,130,31.55
2016-17,667,Gwinnett County,2558,South Gwinnett High School,470,152,32.34
2016-17,667,Gwinnett County,3750,Central Gwinnett High School,424,128,30.19
2016-17,667,Gwinnett County,4052,Dacula High School,406,166,40.89
2016-17,667,Gwinnett County,4556,North Gwinnett High School,638,415,65.05
2016-17,667,Gwinnett County,5550,Duluth High School,547,251,45.89
2016-17,667,Gwinnett County,ALL,All Schools,11184,5290,47.3
2016-17,668,Habersham County,114,Habersham Success Academy,41,TFS,2.44
2016-17,668,Habersham County,2052,Habersham Central High School,402,208,51.74
2016-17,668,Habersham County,ALL,All Schools,443,209,47.18
2016-17,669,Hall County,102,Chestatee High School,243,104,42.8
2016-17,669,Hall County,105,Lanier Career Academy,73,TFS,4.11
2016-17,669,Hall County,189,West Hall High School,232,101,43.53
2016-17,669,Hall County,202,Flowery Branch High,363,205,56.47
2016-17,669,Hall County,1552,East Hall High School,209,71,33.97
2016-17,669,Hall County,1556,North Hall High School,238,141,59.24
2016-17,669,Hall County,4752,Johnson High School,277,143,51.62
2016-17,669,Hall County,ALL,All Schools,1635,768,46.97
2016-17,670,Hancock County,288,Hancock Central High School,70,23,32.86
2016-17,670,Hancock County,ALL,All Schools,70,23,32.86
2016-17,671,Haralson County,3050,Haralson County High School,223,90,40.36
2016-17,671,Haralson County,ALL,All Schools,223,90,40.36
2016-17,672,Harris County,299,Harris County High School,395,186,47.09
2016-17,672,Harris County,ALL,All Schools,395,186,47.09
2016-17,673,Hart County,3050,Hart County High School,197,105,53.3
2016-17,673,Hart County,ALL,All Schools,197,105,53.3
2016-17,674,Heard County,110,Heard County High School,146,73,50
2016-17,674,Heard County,ALL,All Schools,146,73,50
2016-17,675,Henry County,101,Union Grove High,359,183,50.97
2016-17,675,Henry County,104,Luella High School,242,55,22.73
2016-17,675,Henry County,105,Dutchtown High,383,104,27.15
2016-17,675,Henry County,214,Locust Grove High,327,100,30.58
2016-17,675,Henry County,295,Stockbridge High School,331,57,17.22
2016-17,675,Henry County,307,Ola High School,336,117,34.82
2016-17,675,Henry County,315,Hampton High School,259,67,25.87
2016-17,675,Henry County,391,Eagle's Landing High School,296,75,25.34
2016-17,675,Henry County,408,Woodland High School,375,125,33.33
2016-17,675,Henry County,804,EXCEL Academy,30,TFS,3.33
2016-17,675,Henry County,3050,Henry County High School,217,51,23.5
2016-17,675,Henry County,ALL,All Schools,3155,935,29.64
2016-17,676,Houston County,111,Veterans High School,306,176,57.52
2016-17,676,Houston County,116,Houston County Crossroads Center,18,TFS,5.56
2016-17,676,Houston County,192,Houston County High School,417,285,68.35
2016-17,676,Houston County,1054,Perry High School,304,142,46.71
2016-17,676,Houston County,2052,Northside High School,418,139,33.25
2016-17,676,Houston County,4056,Warner Robins High School,284,105,36.97
2016-17,676,Houston County,ALL,All Schools,1747,848,48.54
2016-17,677,Irwin County,2050,Irwin County High School,105,39,37.14
2016-17,677,Irwin County,ALL,All Schools,105,39,37.14
2016-17,678,Jackson County,107,East Jackson Comprehensive High School,177,82,46.33
2016-17,678,Jackson County,191,Jackson County High School,247,114,46.15
2016-17,678,Jackson County,ALL,All Schools,424,196,46.23
2016-17,679,Jasper County,108,Jasper County High School,143,40,27.97
2016-17,679,Jasper County,ALL,All Schools,143,40,27.97
