FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,EL_EXIT_COUNT,EL_STUDENT_COUNT,EL_EXIT_RATE
2019,732,Tattnall County,16,231,6.9
2019,734,Telfair County,0,48,0
2019,736,Thomas County,16,95,16.8
2019,737,Tift County,59,503,11.7
2019,738,Toombs County,33,263,12.5
2019,741,Troup County,15,368,4.1
2019,742,Turner County,1,28,3.6
2019,744,Union County,0,32,0
2019,745,Thomaston-Upson County,1,26,3.8
2019,746,Walker County,7,78,9
2019,747,Walton County,38,410,9.3
2019,748,Ware County,18,116,15.5
2019,750,Washington County,0,14,0
2019,751,Wayne County,17,166,10.2
2019,753,Wheeler County,3,30,10
2019,754,White County,9,76,11.8
2019,755,Whitfield County,177,1982,8.9
2019,756,Wilcox County,0,13,0
2019,757,Wilkes County,2,44,4.5
2019,758,Wilkinson County,0,25,0
2019,759,Worth County,0,36,0
2019,761,Atlanta Public Schools,126,2070,6.1
2019,764,Buford City,75,516,14.5
2019,765,Calhoun City,36,536,6.7
2019,766,Carrollton City,28,321,8.7
2019,767,Cartersville City,34,400,8.5
2019,771,Commerce City,11,93,11.8
2019,772,Dalton Public Schools,166,1609,10.3
2019,773,City Schools of Decatur,19,121,15.7
2019,774,Dublin City,0,16,0
2019,776,Gainesville City,216,2323,9.3
2019,779,Jefferson City,3,81,3.7
2019,781,Marietta City,177,1561,11.3
2019,7820108,Mountain Education Center,0,91,0
2019,7820120,State Charter Schools-Georgia Cyber Academy,9,80,11.3
2019,7820212,State Charter Schools- Cherokee Charter Academy,0,65,0
2019,7820412,State Charter Schools- Georgia Connections Academy,1,16,6.3
2019,7820613,State Charter Schools- Foothills Charter High School (Central Office - Madison)- Foothills Charter High School (Central Office - Madison),1,28,3.6
2019,7820614,State Charter Schools- International Charter School of Atlanta,18,50,36
2019,7820617,State Charter Schools- Dubois Integrity Academy,0,25,0
2019,7820618,State Charter Schools- Coastal Plains Charter High School - Candler Campus,0,10,0
2019,7830410,Atlanta Heights Charter,0,17,0
2019,7830613,State Charter Schools II- Brookhaven Innovation Academy- Brookhaven Innovation Academy,9,50,18
2019,7830615,State Charter Schools II- Genesis Innovation Academy for Boys- Genesis Innovation Academy for Boys,0,15,0
2019,7830619,State Charter Schools II- International Academy of Smyrna- International Academy of Smyrna,9,61,14.8
2019,784,Pelham City,3,22,13.6
2019,785,Rome City,75,822,9.1
2019,786,Social Circle City,0,18,0
2019,789,Thomasville City,2,12,16.7
2019,791,Trion City,2,60,3.3
2019,792,Valdosta City,18,235,7.7
2019,793,Vidalia City,3,52,5.8
