"SCHOOL_YEAR","SYSTEM_ID","SYSTEM_NAME","SCHOOL_ID","SCHOOL_NAME","NEW_ELL_STUDENTS_COUNT"
"2016","633","Cobb County","0307","Riverside Primary School",2
"2016","633","Cobb County","0309","Lindley 6th Grade Academy",3
"2016","633","Cobb County","0378","Rocky Mount Elementary School",3
"2016","633","Cobb County","0394","Hightower Trail Middle School",2
"2016","633","Cobb County","0397","Green Acres Elementary School",1
"2016","633","Cobb County","0398","Sanders Elementary School",1
"2016","633","Cobb County","0399","Blackwell Elementary School",2
"2016","633","Cobb County","0404","Kennesaw Elementary School",7
"2016","633","Cobb County","0407","Barber Middle School",1
"2016","633","Cobb County","0478","Sope Creek Elementary School",10
"2016","633","Cobb County","0489","Powder Springs Elementary School",2
"2016","633","Cobb County","0491","Timber Ridge Elementary School",3
"2016","633","Cobb County","0502","Cooper Middle School",1
"2016","633","Cobb County","0504","Big Shanty Elementary School",3
"2016","633","Cobb County","0507","McClure Middle School",1
"2016","633","Cobb County","0592","Bryant Elementary School",3
"2016","633","Cobb County","0602","Palmer Middle School",3
"2016","633","Cobb County","0607","Lovinggood Middle School",1
"2016","633","Cobb County","1052","Belmont Hills Elementary School",3
"2016","633","Cobb County","1056","East Cobb Middle School",40
"2016","633","Cobb County","1060","Garrett Middle School",15
"2016","633","Cobb County","1066","Norton Park Elementary School",7
"2016","633","Cobb County","1067","Powers Ferry Elementary School",6
"2016","633","Cobb County","2050","Argyle Elementary School",3
"2016","633","Cobb County","2062","King Springs Elementary School",1
"2016","633","Cobb County","2560","Griffin Middle School",15
"2016","633","Cobb County","3054","Clay Elementary School",5
"2016","633","Cobb County","3058","Fair Oaks Elementary School",10
"2016","633","Cobb County","3060","Harmony-Leland Elementary School",2
"2016","633","Cobb County","3062","LaBelle Elementary School",2
"2016","633","Cobb County","3064","Milford Elementary School",4
"2016","633","Cobb County","3067","Russell Elementary School",2
"2016","633","Cobb County","4050","Awtrey Middle School",3
"2016","633","Cobb County","4068","Teasley Elementary School",15
"2016","633","Cobb County","4560","Hollydale Elementary School",1
"2016","633","Cobb County","5050","Bells Ferry Elementary School",8
"2016","633","Cobb County","5052","Brumby Elementary School",20
"2016","633","Cobb County","5056","Due West Elementary School",4
"2016","633","Cobb County","5067","Sedalia Park Elementary School",9
"2016","633","Cobb County","5068","Eastvalley Elementary School",10
"2016","633","Cobb County","ALL","All Schools",344
