sys_sch,SystemId,systemname,schoolname,SchoolId,grade,SingleScore
631195,631,Clayton County,River's Edge Elementary School,195,D,65.7
631197,631,Clayton County,Kendrick Middle School,197,D,65.3
631199,631,Clayton County,Hawthorne Elementary School,199,D,61.1
631200,631,Clayton County,Roberta T. Smith Elementary School,200,D,65.7
631203,631,Clayton County,Harper Elementary School,203,D,60.6
631204,631,Clayton County,"Martin Luther King, Jr. Elementary School",204,F,50.5
631205,631,Clayton County,Kemp Primary,205,,
6312052,631,Clayton County,North Clayton High School,2052,F,58.8
6312054,631,Clayton County,Forest Park Middle School,2054,F,56.90000000000001
6312058,631,Clayton County,Morrow Elementary School,2058,C,75.60000000000001
6312060,631,Clayton County,Riverdale Elementary School,2060,D,67.90000000000001
6312062,631,Clayton County,West Clayton Elementary School,2062,F,49.6
631207,631,Clayton County,Rex Mill Middle School,207,D,64.7
631215,631,Clayton County,Martha Ellen Stilwell School for the Performing Arts,215,A,100.5
6312554,631,Clayton County,Fountain Elementary School,2554,D,64.10000000000001
631276,631,Clayton County,Oliver Elementary School,276,F,57.8
631277,631,Clayton County,Pointe South Middle School,277,F,59.6
631290,631,Clayton County,Mount Zion High School,290,D,61.7
631295,631,Clayton County,Lake Ridge Elementary School,295,F,59.3
631304,631,Clayton County,James Jackson Elementary School,304,D,69
631305,631,Clayton County,Kemp Elem School,305,D,68.5
6313050,631,Clayton County,Babb Middle School,3050,C,73.60000000000001
6313052,631,Clayton County,North Clayton Middle School,3052,D,68.60000000000001
6313054,631,Clayton County,Haynie Elementary School,3054,D,64.60000000000001
6313060,631,Clayton County,Riverdale Middle School,3060,D,60.2
631307,631,Clayton County,Unidos Dual Language Charter School,307,F,55.5
631377,631,Clayton County,Riverdale High School,377,C,76.3
631379,631,Clayton County,Eddie White Elementary School,379,F,53.5
6314050,631,Clayton County,Church Street Elementary School,4050,D,68.60000000000001
6314056,631,Clayton County,Lake City Elementary School,4056,C,78.90000000000001
6314058,631,Clayton County,Morrow High School,4058,D,66
6314060,631,Clayton County,Suder Elementary School,4060,F,58.90000000000001
6315052,631,Clayton County,Edmonds Elementary School,5052,F,51.1
6315054,631,Clayton County,Huie Elementary School,5054,F,54.2
6315056,631,Clayton County,William M. McGarrah Elementary School,5056,C,76.60000000000001
6315060,631,Clayton County,Swint Elementary School,5060,D,64.2
632101,632,Clinch County,Clinch County Elementary School,101,F,55.8
6321050,632,Clinch County,Clinch County High School,1050,C,71.10000000000001
632201,632,Clinch County,Clinch County Middle School,201,D,62
633101,633,Cobb County,Kennesaw Mountain High School,101,A,91.7
633102,633,Cobb County,Riverside Intermediate School,102,F,59.5
633103,633,Cobb County,Kell High School,103,A,92.2
633104,633,Cobb County,Bullard Elementary School,104,C,78.90000000000001
6331052,633,Cobb County,Belmont Hills Elementary School,1052,F,54.1
6331054,633,Cobb County,Campbell High School,1054,C,77.5
6331056,633,Cobb County,East Cobb Middle School,1056,C,75.60000000000001
6331060,633,Cobb County,Garrett Middle School,1060,F,59.6
6331064,633,Cobb County,McEachern High School,1064,B,88.30000000000001
6331066,633,Cobb County,Norton Park Elementary School,1066,D,61.1
6331067,633,Cobb County,Powers Ferry Elementary School,1067,F,57.8
6331069,633,Cobb County,Wheeler High School,1069,B,88.60000000000001
633107,633,Cobb County,McCall Primary School,107,,
633109,633,Cobb County,Pickett's Mill Elementary,109,B,84.60000000000001
633114,633,Cobb County,East Side Elementary School,114,A,91.80000000000001
633117,633,Cobb County,Clarkdale Elementary School,117,C,73.2
633118,633,Cobb County,Mableton Elementary School,118,F,53.7
633173,633,Cobb County,Birney Elementary School,173,D,60.8
633175,633,Cobb County,Walton High School,175,A,102.2
633178,633,Cobb County,Mabry Middle School,178,A,91.30000000000001
633180,633,Cobb County,Still Elementary School,180,B,89.90000000000001
633181,633,Cobb County,Tritt Elementary School,181,A,90.80000000000001
633184,633,Cobb County,McCleskey Middle School,184,B,82.80000000000001
633185,633,Cobb County,Garrison Mill Elementary School,185,A,95.30000000000001
633187,633,Cobb County,Keheley Elementary School,187,B,86.10000000000001
633188,633,Cobb County,Pope High School,188,A,99.40000000000001
633189,633,Cobb County,Baker Elementary School,189,B,83
633190,633,Cobb County,Dowell Elementary School,190,D,65.90000000000001
633191,633,Cobb County,Varner Elementary School,191,C,74.40000000000001
633192,633,Cobb County,Harrison High School,192,A,98.60000000000001
633194,633,Cobb County,Hayes Elementary School,194,C,79.5
633197,633,Cobb County,Vaughan Elementary School,197,B,88.30000000000001
633198,633,Cobb County,Chalker Elementary School,198,C,79.10000000000001
633199,633,Cobb County,Nickajack Elementary School,199,C,79.7
633202,633,Cobb County,Lindley Middle School,202,D,61.3
633203,633,Cobb County,Kemp Elementary School,203,A,91
633204,633,Cobb County,Pitner Elementary School,204,C,76.80000000000001
6332050,633,Cobb County,Argyle Elementary School,2050,D,64.10000000000001
