SCHOOL_YEAR,DETAIL_LEVEL,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,SUBJECT_CODE,TOTAL_STUDENTS_TESTED,STUDENTS_WITH_LEXILE,LEXILE_ON_OR_ABOVE_MIDPOINT,NO_LEXILE_SCORE,AVG_LEXILE_SCORE
2016,District Level,658,Forsyth County,All,All,9th Grade Literature and Composition,3586,3581,3100,TFS,1370
2016,District Level,658,Forsyth County,All,All,American Literature and Composition,3162,3153,2655,TFS,1500.1
2016,District Level,659,Franklin County,All,All,9th Grade Literature and Composition,264,264,182,TFS,1227.3
2016,District Level,659,Franklin County,All,All,American Literature and Composition,250,249,128,TFS,1283.5
2016,District Level,660,Fulton County,All,All,9th Grade Literature and Composition,7920,7906,5484,14,1275.9
2016,District Level,660,Fulton County,All,All,American Literature and Composition,7215,7210,4916,TFS,1394.1
2016,District Level,661,Gilmer County,All,All,9th Grade Literature and Composition,397,397,206,TFS,1146.1
2016,District Level,661,Gilmer County,All,All,American Literature and Composition,285,285,169,TFS,1313.4
2016,District Level,662,Glascock County,All,All,9th Grade Literature and Composition,49,49,36,TFS,1222.8
2016,District Level,662,Glascock County,All,All,American Literature and Composition,47,47,27,TFS,1333.3
2016,District Level,663,Glynn County,All,All,9th Grade Literature and Composition,998,998,675,TFS,1236.2
2016,District Level,663,Glynn County,All,All,American Literature and Composition,888,888,509,TFS,1319.9
2016,District Level,664,Gordon County,All,All,9th Grade Literature and Composition,544,544,335,TFS,1205.9
2016,District Level,664,Gordon County,All,All,American Literature and Composition,445,445,222,TFS,1291.9
2016,District Level,665,Grady County,All,All,9th Grade Literature and Composition,321,321,164,TFS,1148.9
2016,District Level,665,Grady County,All,All,American Literature and Composition,259,258,144,TFS,1285.9
2016,District Level,666,Greene County,All,All,9th Grade Literature and Composition,167,166,81,TFS,1199.9
2016,District Level,666,Greene County,All,All,American Literature and Composition,127,127,45,TFS,1189.2
2016,District Level,667,Gwinnett County,All,All,9th Grade Literature and Composition,14762,14623,10577,139,1278.6
2016,District Level,667,Gwinnett County,All,All,American Literature and Composition,13059,12901,9029,160,1393.2
2016,District Level,668,Habersham County,All,All,9th Grade Literature and Composition,490,489,315,TFS,1223.7
2016,District Level,668,Habersham County,All,All,American Literature and Composition,472,471,286,TFS,1354.6
2016,District Level,669,Hall County,All,All,9th Grade Literature and Composition,2263,2261,1395,TFS,1213.7
2016,District Level,669,Hall County,All,All,American Literature and Composition,1840,1839,1078,TFS,1323.6
2016,District Level,670,Hancock County,All,All,9th Grade Literature and Composition,78,78,25,TFS,1052.4
2016,District Level,670,Hancock County,All,All,American Literature and Composition,82,82,11,TFS,1048.5
2016,District Level,671,Haralson County,All,All,9th Grade Literature and Composition,295,293,148,TFS,1151.5
2016,District Level,671,Haralson County,All,All,American Literature and Composition,276,272,154,TFS,1304
2016,District Level,672,Harris County,All,All,9th Grade Literature and Composition,428,428,305,TFS,1260.1
2016,District Level,672,Harris County,All,All,American Literature and Composition,418,418,263,TFS,1367.9
2016,District Level,673,Hart County,All,All,9th Grade Literature and Composition,325,325,211,TFS,1226.9
2016,District Level,673,Hart County,All,All,American Literature and Composition,221,221,124,TFS,1292.4
2016,District Level,674,Heard County,All,All,9th Grade Literature and Composition,176,175,124,TFS,1233
2016,District Level,674,Heard County,All,All,American Literature and Composition,150,150,104,TFS,1369.6
2016,District Level,675,Henry County,All,All,9th Grade Literature and Composition,3808,3806,2351,TFS,1212
2016,District Level,675,Henry County,All,All,American Literature and Composition,3510,3508,2038,TFS,1319.5
2016,District Level,676,Houston County,All,All,9th Grade Literature and Composition,2154,2152,1438,TFS,1259.1
2016,District Level,676,Houston County,All,All,American Literature and Composition,1929,1928,1259,TFS,1355.9
2016,District Level,677,Irwin County,All,All,9th Grade Literature and Composition,121,121,63,TFS,1155.9
2016,District Level,677,Irwin County,All,All,American Literature and Composition,94,94,35,TFS,1227.8
2016,District Level,678,Jackson County,All,All,9th Grade Literature and Composition,583,583,434,TFS,1268.7
2016,District Level,678,Jackson County,All,All,American Literature and Composition,474,472,298,TFS,1353.3
2016,District Level,679,Jasper County,All,All,9th Grade Literature and Composition,202,202,121,TFS,1192.7
2016,District Level,679,Jasper County,All,All,American Literature and Composition,150,150,64,TFS,1243.2
2016,District Level,680,Jeff Davis County,All,All,9th Grade Literature and Composition,250,250,151,TFS,1200.6
2016,District Level,680,Jeff Davis County,All,All,American Literature and Composition,219,219,119,TFS,1289.2
2016,District Level,681,Jefferson County,All,All,9th Grade Literature and Composition,195,195,83,TFS,1112.8
