LONG_SCHOOL_YEAR,SCHOOL_DISTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,TEST_CMPNT_TYP_NM,NUMBER_OF_STUDENTS_TESTED,NUMBER_TESTS_TAKEN,NOTESTS_3ORHIGHER
2014-15,611,Bibb County,105,Howard High School,Geography: Human,TFS,,
2014-15,611,Bibb County,105,Howard High School,Gov. & Pol. Comp,TFS,,
2014-15,611,Bibb County,105,Howard High School,Gov. & Pol. U.S.,86,86,16
2014-15,611,Bibb County,105,Howard High School,Physics 1,51,51,9
2014-15,611,Bibb County,105,Howard High School,Psychology,TFS,,
2014-15,611,Bibb County,105,Howard High School,Spanish Language,TFS,,
2014-15,611,Bibb County,105,Howard High School,Statistics,13,13,2
2014-15,611,Bibb County,105,Howard High School,U.S. History,70,70,7
2014-15,611,Bibb County,105,Howard High School,World History,63,63,21
2014-15,611,Bibb County,186,Central High School,ALL Subjects,263,282,22
2014-15,611,Bibb County,186,Central High School,Art: Studio 2-D Design,TFS,,
2014-15,611,Bibb County,186,Central High School,Calculus A,13,13,1
2014-15,611,Bibb County,186,Central High School,Eng. Language & Comp,41,41,2
2014-15,611,Bibb County,186,Central High School,Eng. Literature & Comp,12,12,1
2014-15,611,Bibb County,186,Central High School,Environmental Science,42,42,
2014-15,611,Bibb County,186,Central High School,Gov. & Pol. U.S.,69,69,5
2014-15,611,Bibb County,186,Central High School,U.S. History,TFS,,
2014-15,611,Bibb County,186,Central High School,World History,102,102,11
2014-15,611,Bibb County,198,Westside High School,ALL Subjects,152,257,8
2014-15,611,Bibb County,198,Westside High School,Biology,25,25,1
2014-15,611,Bibb County,198,Westside High School,Calculus A,TFS,,
2014-15,611,Bibb County,198,Westside High School,Economics: Macro,26,26,
2014-15,611,Bibb County,198,Westside High School,Economics: Micro,26,26,
2014-15,611,Bibb County,198,Westside High School,Eng. Language & Comp,39,39,1
2014-15,611,Bibb County,198,Westside High School,Eng. Literature & Comp,34,34,3
2014-15,611,Bibb County,198,Westside High School,Environmental Science,17,17,
2014-15,611,Bibb County,198,Westside High School,Statistics,33,33,
2014-15,611,Bibb County,198,Westside High School,U.S. History,21,21,3
2014-15,611,Bibb County,198,Westside High School,World History,29,29,
2014-15,611,Bibb County,204,Rutland High School,ALL Subjects,246,402,27
2014-15,611,Bibb County,204,Rutland High School,Art: Studio 2-D Design,12,12,12
2014-15,611,Bibb County,204,Rutland High School,Art: Studio Drawing,TFS,,
2014-15,611,Bibb County,204,Rutland High School,Biology,13,13,
2014-15,611,Bibb County,204,Rutland High School,Calculus A,16,16,1
2014-15,611,Bibb County,204,Rutland High School,Economics: Micro,34,34,4
2014-15,611,Bibb County,204,Rutland High School,Eng. Language & Comp,52,52,1
2014-15,611,Bibb County,204,Rutland High School,Eng. Literature & Comp,36,36,1
2014-15,611,Bibb County,204,Rutland High School,Environmental Science,10,10,
2014-15,611,Bibb County,204,Rutland High School,Gov. & Pol. U.S.,45,45,
2014-15,611,Bibb County,204,Rutland High School,Music Theory,TFS,,
2014-15,611,Bibb County,204,Rutland High School,Physics 1,50,50,
2014-15,611,Bibb County,204,Rutland High School,Statistics,16,16,
2014-15,611,Bibb County,204,Rutland High School,U.S. History,51,51,3
2014-15,611,Bibb County,204,Rutland High School,World History,58,58,1
2014-15,611,Bibb County,286,Northeast High School,ALL Subjects,39,46,
2014-15,611,Bibb County,286,Northeast High School,Biology,16,16,
2014-15,611,Bibb County,286,Northeast High School,Calculus A,14,14,
2014-15,611,Bibb County,286,Northeast High School,Statistics,16,16,
