"LONG_SCHOOL_YEAR","SCHOOL_DSTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","CATEGORY","SALARIES","BENEFITS","SALARIES_AND_BENEFITS","% Rev- GF/Title/Lottery","% Rev- Total K-12","% Exp- GF/Title/Lottery","% Exp-Total K-12"
"2015-16","620","Camden County","ALL","All Column Values","School Administration",3058723.2,1081185.63,4139908.83,5.43,4.75,5.69,5.06
"2015-16","620","Camden County","ALL","All Column Values","Teachers and Paraprofessionals",30856107.79,10631837.4,41487945.19,54.39,47.57,57,50.67
"2015-16","621","Candler County","ALL","All Column Values","General Administration",323314.6,138614.88,461929.48,2.72,2.24,2.75,2.41
"2015-16","621","Candler County","ALL","All Column Values","School Administration",580938.18,290846.53,871784.71,5.13,4.22,5.2,4.54
"2015-16","621","Candler County","ALL","All Column Values","Teachers and Paraprofessionals",6713854.09,3175376.6,9889230.69,58.15,47.87,58.98,51.5
"2015-16","622","Carroll County","ALL","All Column Values","General Administration",514011.53,296669.07,810680.6,0.65,0.48,0.67,0.53
"2015-16","622","Carroll County","ALL","All Column Values","School Administration",4568115.42,2364178.98,6932294.4,5.57,4.14,5.71,4.53
"2015-16","622","Carroll County","ALL","All Column Values","Teachers and Paraprofessionals",46909640.25,21081316.85,67990957.1,54.65,40.63,56.04,44.43
"2015-16","623","Catoosa County","ALL","All Column Values","General Administration",210760.2,246142.6,456902.8,0.46,0.4,0.47,0.41
"2015-16","623","Catoosa County","ALL","All Column Values","School Administration",3707784.63,1977841.85,5685626.48,5.78,5,5.85,5.1
"2015-16","623","Catoosa County","ALL","All Column Values","Teachers and Paraprofessionals",41278184.97,18229926.46,59508111.43,60.45,52.3,61.18,53.34
"2015-16","624","Charlton County","ALL","All Column Values","General Administration",237426.2,125527.49,362953.69,2.32,2.05,2.36,2.05
"2015-16","624","Charlton County","ALL","All Column Values","School Administration",537832.84,269532.08,807364.92,5.15,4.56,5.25,4.56
"2015-16","624","Charlton County","ALL","All Column Values","Teachers and Paraprofessionals",5264414.71,2291927.97,7556342.68,48.23,42.7,49.11,42.71
"2015-16","625","Chatham County","ALL","All Column Values","General Administration",3949083.33,1668139.66,5617222.99,1.45,1.18,1.49,1.2
"2015-16","625","Chatham County","ALL","All Column Values","School Administration",11441653.28,5783697.13,17225350.41,4.44,3.6,4.58,3.68
"2015-16","625","Chatham County","ALL","All Column Values","Teachers and Paraprofessionals",146840441.17,64282487.2,211122928.37,54.39,44.18,56.16,45.13
"2015-16","626","Chattahoochee County","ALL","All Column Values","General Administration",493969.55,166645.25,660614.8,7.45,6.33,7.47,6.33
"2015-16","626","Chattahoochee County","ALL","All Column Values","School Administration",334697.76,127983.56,462681.32,5.22,4.43,5.23,4.43
"2015-16","626","Chattahoochee County","ALL","All Column Values","Teachers and Paraprofessionals",3312898.21,1263275.06,4576173.27,51.64,43.84,51.73,43.82
"2015-16","627","Chattooga County","ALL","All Column Values","General Administration",332840.22,110791.52,443631.74,1.74,1.45,1.63,1.26
"2015-16","627","Chattooga County","ALL","All Column Values","School Administration",909553.74,465514.7,1375068.44,5.38,4.49,5.04,3.9
"2015-16","627","Chattooga County","ALL","All Column Values","Teachers and Paraprofessionals",8488101.35,3705414.98,12193516.33,47.73,39.84,44.68,34.62
"2015-16","628","Cherokee County","ALL","All Column Values","General Administration",1712534.15,1156927.7,2869461.85,0.77,0.66,0.79,0.64
"2015-16","628","Cherokee County","ALL","All Column Values","School Administration",10565483.75,5510413.68,16075897.43,4.34,3.72,4.4,3.57
"2015-16","628","Cherokee County","ALL","All Column Values","Teachers and Paraprofessionals",153315229.62,63572541.04,216887770.66,58.5,50.18,59.38,48.12
"2015-16","629","Clarke County","ALL","All Column Values","General Administration",1215780.4,552053.75,1767834.15,1.19,0.97,1.21,0.86
"2015-16","629","Clarke County","ALL","All Column Values","School Administration",4255392.64,2012869.64,6268262.28,4.21,3.43,4.3,3.03
"2015-16","629","Clarke County","ALL","All Column Values","Teachers and Paraprofessionals",51763866.15,24555076.45,76318942.6,51.23,41.71,52.33,36.92
"2015-16","630","Clay County","ALL","All Column Values","General Administration",185426.94,43492.26,228919.2,6.09,5.45,6.29,5.35
"2015-16","630","Clay County","ALL","All Column Values","School Administration",154199.48,100186.31,254385.79,6.77,6.05,6.99,5.95
"2015-16","630","Clay County","ALL","All Column Values","Teachers and Paraprofessionals",1110608.59,445830.68,1556439.27,41.41,37.04,42.76,36.4
"2015-16","631","Clayton County","ALL","All Column Values","General Administration",1938023.15,707654.84,2645677.99,0.6,0.5,0.61,0.53
"2015-16","631","Clayton County","ALL","All Column Values","School Administration",14416047.03,5788685.9,20204732.93,4.58,3.79,4.66,4.03
"2015-16","631","Clayton County","ALL","All Column Values","Teachers and Paraprofessionals",157805815.82,62439831.09,220245646.91,49.94,41.32,50.78,43.95
"2015-16","632","Clinch County","ALL","All Column Values","General Administration",247327.87,183498.14,430826.01,3.29,2.75,3.59,3.08
"2015-16","632","Clinch County","ALL","All Column Values","School Administration",452818.51,283346.56,736165.07,5.62,4.7,6.13,5.27
"2015-16","632","Clinch County","ALL","All Column Values","Teachers and Paraprofessionals",4442931.8,2128415.8,6571347.6,50.16,41.92,54.73,47.01
"2015-16","633","Cobb County","ALL","All Column Values","General Administration",4595870.37,2885146.1,7481016.47,0.75,0.62,0.73,0.62
"2015-16","633","Cobb County","ALL","All Column Values","School Administration",37053841.08,17965020.11,55018861.19,5.48,4.55,5.38,4.54
"2015-16","633","Cobb County","ALL","All Column Values","Teachers and Paraprofessionals",431515436.92,185127789.26,616643226.18,61.47,51.03,60.28,50.83
"2015-16","634","Coffee County","ALL","All Column Values","General Administration",537232.91,242335.41,779568.32,1.16,0.99,1.19,1.01
"2015-16","634","Coffee County","ALL","All Column Values","School Administration",1802298.41,972351.65,2774650.06,4.11,3.53,4.23,3.6
"2015-16","634","Coffee County","ALL","All Column Values","Teachers and Paraprofessionals",25546862.98,11668934.28,37215797.26,55.19,47.39,56.79,48.34
"2015-16","635","Colquitt County","ALL","All Column Values","General Administration",375560.91,283351.9,658912.81,0.77,0.67,0.8,0.65
"2015-16","635","Colquitt County","ALL","All Column Values","School Administration",2792938.59,1036751.62,3829690.21,4.46,3.92,4.62,3.8
"2015-16","635","Colquitt County","ALL","All Column Values","Teachers and Paraprofessionals",33826163.36,13334357.96,47160521.32,54.97,48.31,56.92,46.77
"2015-16","636","Columbia County","ALL","All Column Values","General Administration",218677.21,347928.77,566605.98,0.27,0.18,0.28,0.22
"2015-16","636","Columbia County","ALL","All Column Values","School Administration",7051274.28,3315183.65,10366457.93,4.99,3.36,5.11,4.04
"2015-16","636","Columbia County","ALL","All Column Values","Teachers and Paraprofessionals",87069085.57,37110002.41,124179087.98,59.74,40.24,61.16,48.38
"2015-16","637","Cook County","ALL","All Column Values","General Administration",472747.31,261596.01,734343.32,2.82,2.47,2.84,2.48
"2015-16","637","Cook County","ALL","All Column Values","School Administration",752392.35,325999.38,1078391.73,4.14,3.62,4.17,3.64
"2015-16","637","Cook County","ALL","All Column Values","Teachers and Paraprofessionals",10468631.55,4087814.11,14556445.66,55.83,48.89,56.27,49.1
"2015-16","638","Coweta County","ALL","All Column Values","General Administration",545924.54,355512.03,901436.57,0.47,0.41,0.47,0.43
"2015-16","638","Coweta County","ALL","All Column Values","School Administration",7464790.28,3505622.98,10970413.26,5.74,4.94,5.77,5.18
"2015-16","638","Coweta County","ALL","All Column Values","Teachers and Paraprofessionals",78363153.65,31947505.61,110310659.26,57.69,49.63,57.97,52.09
"2015-16","639","Crawford County","ALL","All Column Values","General Administration",412073.44,167560.8,579634.24,3.74,3.27,3.99,3.52
"2015-16","639","Crawford County","ALL","All Column Values","School Administration",501574.53,264980.47,766555,4.95,4.32,5.27,4.65
"2015-16","639","Crawford County","ALL","All Column Values","Teachers and Paraprofessionals",6203740.84,2566739.45,8770480.29,56.65,49.46,60.33,53.23
"2015-16","640","Crisp County","ALL","All Column Values","General Administration",423023,200680.68,623703.68,1.61,1.3,1.64,1.39
"2015-16","640","Crisp County","ALL","All Column Values","School Administration",1193457.94,658420.77,1851878.71,4.78,3.87,4.86,4.12
"2015-16","640","Crisp County","ALL","All Column Values","Teachers and Paraprofessionals",14217991.64,6668708.65,20886700.29,53.94,43.65,54.83,46.52
