"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","NUMBER_OF_GRADUATES","HOPE_ELIGIBLE","HOPE_ELIGIBLE_PCT"
"2013-14","644","DeKalb County","4054","Cross Keys High School",166,67,40.36
"2013-14","644","DeKalb County","4069","Towers High School",154,51,33.12
"2013-14","644","DeKalb County","5052","Chamblee Charter High School",273,159,58.24
"2013-14","644","DeKalb County","5055","Dunwoody High School",281,162,57.65
"2013-14","644","DeKalb County","5067","Southwest DeKalb High School",220,74,33.64
"2013-14","644","DeKalb County","ALL","All Schools",4604,1800,39.1
"2013-14","645","Dodge County","0103","Dodge County High School",164,76,46.34
"2013-14","645","Dodge County","ALL","All Schools",164,76,46.34
"2013-14","646","Dooly County","0182","Dooly County High School",74,17,22.97
"2013-14","646","Dooly County","ALL","All Schools",74,17,22.97
"2013-14","647","Dougherty County","1050","Albany High School",151,36,23.84
"2013-14","647","Dougherty County","1058","Monroe High School",213,40,18.78
"2013-14","647","Dougherty County","2052","Dougherty Comprehensive High School",127,16,12.6
"2013-14","647","Dougherty County","4062","Westover High School",213,82,38.5
"2013-14","647","Dougherty County","ALL","All Schools",704,174,24.72
"2013-14","648","Douglas County","0100","Chapel Hill High School",228,67,29.39
"2013-14","648","Douglas County","0175","Lithia Springs Comprehensive High School",239,70,29.29
"2013-14","648","Douglas County","0187","Alexander High School",364,182,50
"2013-14","648","Douglas County","0212","New Manchester High School",297,63,21.21
"2013-14","648","Douglas County","4050","Douglas County High School",384,151,39.32
"2013-14","648","Douglas County","ALL","All Schools",1512,533,35.25
"2013-14","649","Early County","2050","Early County High School",151,54,35.76
"2013-14","649","Early County","ALL","All Schools",151,54,35.76
"2013-14","650","Echols County","1050","Echols County High School",37,17,45.95
"2013-14","650","Echols County","ALL","All Schools",37,17,45.95
"2013-14","651","Effingham County","0197","South Effingham High School",300,159,53
"2013-14","651","Effingham County","0390","Effingham County High School",355,191,53.8
"2013-14","651","Effingham County","ALL","All Schools",655,350,53.44
"2013-14","652","Elbert County","0176","Elbert County High School",164,86,52.44
"2013-14","652","Elbert County","ALL","All Schools",164,86,52.44
"2013-14","653","Emanuel County","0189","Swainsboro High School",150,67,44.67
"2013-14","653","Emanuel County","2050","Emanuel County Institute",67,32,47.76
"2013-14","653","Emanuel County","ALL","All Schools",217,99,45.62
"2013-14","654","Evans County","2050","Claxton High School",72,36,50
"2013-14","654","Evans County","ALL","All Schools",72,36,50
"2013-14","655","Fannin County","0176","Fannin County High School",169,87,51.48
"2013-14","655","Fannin County","ALL","All Schools",169,87,51.48
"2013-14","656","Fayette County","0105","Whitewater High School",328,234,71.34
"2013-14","656","Fayette County","0182","McIntosh High School",387,256,66.15
"2013-14","656","Fayette County","0192","Sandy Creek High School",249,112,44.98
"2013-14","656","Fayette County","0198","Starrs Mill High School",381,258,67.72
"2013-14","656","Fayette County","0398","Fayette County High School",272,107,39.34
