"LONG_SCHOOL_YEAR","SCHOOL_DISTRCT_CD","SCHOOL_DSTRCT_NM","INSTN_NUMBER","INSTN_NAME","SUBGRP_DESC","TEST_CMPNT_TYP_CD","NATIONAL_NUM_TESTED_CNT","STATE_NUM_TESTED_CNT","DSTRCT_NUM_TESTED_CNT","INSTN_NUM_TESTED_CNT","STATE_AVG_SCORE_VAL","DSTRCT_AVG_SCORE_VAL","INSTN_AVG_SCORE_VAL"
"2015-16","611","Bibb County","0105","Howard High School","All Students","Essay Analysis Score - New",,15889,157,53,4,4,4
"2015-16","611","Bibb County","0105","Howard High School","All Students","Essay Reading Score - New",,15889,157,53,5,5,5
"2015-16","611","Bibb County","0105","Howard High School","All Students","Essay Total",,15889,157,53,14,13,13
"2015-16","611","Bibb County","0105","Howard High School","All Students","Essay Writing Score - New",,15889,157,53,5,5,5
"2015-16","611","Bibb County","0105","Howard High School","All Students","Evidence Based Reading and Writing - New",,27919,320,89,550,502,525
"2015-16","611","Bibb County","0105","Howard High School","All Students","Math Section Score - New",,27919,320,89,530,483,521
"2015-16","611","Bibb County","0105","Howard High School","All Students","Reading Test  Score - New",,27919,320,89,276,251,264
"2015-16","611","Bibb County","0105","Howard High School","All Students","WritLang Test  Score - New",,27919,320,89,274,251,261
"2015-16","611","Bibb County","0186","Central High School","All Students","Combined Test Score",,27919,320,83,1080,985,972
"2015-16","611","Bibb County","0186","Central High School","All Students","Essay Analysis Score - New",,15889,157,49,4,4,4
"2015-16","611","Bibb County","0186","Central High School","All Students","Essay Reading Score - New",,15889,157,49,5,5,5
"2015-16","611","Bibb County","0186","Central High School","All Students","Essay Total",,15889,157,49,14,13,13
"2015-16","611","Bibb County","0186","Central High School","All Students","Essay Writing Score - New",,15889,157,49,5,5,5
"2015-16","611","Bibb County","0186","Central High School","All Students","Evidence Based Reading and Writing - New",,27919,320,83,550,502,502
"2015-16","611","Bibb County","0186","Central High School","All Students","Math Section Score - New",,27919,320,83,530,483,470
"2015-16","611","Bibb County","0186","Central High School","All Students","Reading Test  Score - New",,27919,320,83,276,251,253
"2015-16","611","Bibb County","0186","Central High School","All Students","WritLang Test  Score - New",,27919,320,83,274,251,249
"2015-16","611","Bibb County","0198","Westside High School","All Students","Combined Test Score",,27919,320,30,1080,985,975
"2015-16","611","Bibb County","0198","Westside High School","All Students","Essay Analysis Score - New",,15889,157,14,4,4,3
"2015-16","611","Bibb County","0198","Westside High School","All Students","Essay Reading Score - New",,15889,157,14,5,5,4
"2015-16","611","Bibb County","0198","Westside High School","All Students","Essay Total",,15889,157,14,14,13,12
"2015-16","611","Bibb County","0198","Westside High School","All Students","Essay Writing Score - New",,15889,157,14,5,5,5
"2015-16","611","Bibb County","0198","Westside High School","All Students","Evidence Based Reading and Writing - New",,27919,320,30,550,502,499
"2015-16","611","Bibb County","0198","Westside High School","All Students","Math Section Score - New",,27919,320,30,530,483,476
