"School Year","Data Reporting Level","School District Code","School District Name","School Code","School Name","Grades Served","Total Enrolled","Total Retained","Number of Asians","Percentage of Asians","Number of American Indian","Percentage of American Indian","Number of Black","Percentage of Black","Number of Hispanic","Percentage of Hispanic","Number of MultiRacial","Percentage of MultiRacial","Number of White","Percentage of White","Number of Male","Percentage of Male","Number of Female","Percentage of Female"
"2020-21","School","607","Barrow County","0298","Yargo Elementary School","PK,KK,01,02,03,04,05",829,"13","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0299","Winder Elementary School","PK,KK,01,02,03,04,05",548,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","0300","Barrow Arts and Sciences Academy","08,09,10",629,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","1050","Auburn Elementary School","PK,KK,01,02,03,04,05",608,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","3052","Winder-Barrow High School","09,10,11,12",1911,"125","TFS","TFS","TFS","TFS","29","23","27","22","TFS","TFS","58","46","77","62","48","38"
"2020-21","School","607","Barrow County","4050","Holsenbeck Elementary School","PK,KK,01,02,03,04,05",648,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","607","Barrow County","5050","Statham Elementary School","PK,KK,01,02,03,04,05",671,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","District","607","Barrow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",13588,"280","10","4","TFS","TFS","62","22","51","18","18","6","138","49","178","64","102","36"
"2020-21","School","608","Bartow County","0101","Woodland Middle School at Euharlee","06,07,08",733,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0104","Clear Creek Elementary School","PK,KK,01,02,03,04,05",556,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0105","Adairsville High School","09,10,11,12",1026,"22","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","19","86","15","68","TFS","TFS"
"2020-21","School","608","Bartow County","0106","Pine Log Elementary","PK,KK,01,02,03,04,05",367,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0107","Euharlee Elementary School","PK,KK,01,02,03,04,05",430,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0114","Cass High School","09,10,11,12",1505,"35","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","21","60","20","57","15","43"
"2020-21","School","608","Bartow County","0115","Cloverleaf Elementary","PK,KK,01,02,03,04,05",596,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0175","White Elementary School","PK,KK,01,02,03,04,05",506,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0177","Adairsville Elementary School","PK,KK,01,02,03,04,05",698,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0186","Mission Road Elementary School","PK,KK,01,02,03,04,05",417,"12","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0190","Red Top Middle School","06,07,08",635,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0195","Cass Middle School","06,07,08",946,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0196","Allatoona Elementary School","PK,KK,01,02,03,04,05",372,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0198","Woodland High School","09,10,11,12",1485,"40","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","30","75","27","68","13","33"
"2020-21","School","608","Bartow County","0296","Kingston Elementary School","PK,KK,01,02,03,04,05",462,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0301","Adairsville Middle School","06,07,08",798,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0377","Hamilton Crossing Elementary School","PK,KK,01,02,03,04,05",497,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","0396","Taylorsville Elementary School","PK,KK,01,02,03,04,05",469,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","608","Bartow County","2052","Emerson Elementary School","PK,KK,01,02,03,04,05",351,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","District","608","Bartow County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",12849,"149","TFS","TFS","TFS","TFS","15","10","24","16","TFS","TFS","102","69","86","58","63","42"
"2020-21","School","609","Ben Hill County","0111","Ben Hill Elementary School","03,04,05",620,"TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS","TFS"
"2020-21","School","609","Ben Hill County","0196","Ben Hill County Primary School","PK,KK,01,02",651,"55","TFS","TFS","TFS","TFS","27","49","TFS","TFS","TFS","TFS","21","38","27","49","28","51"
