SystemId,SystemName,Grade,SingleScore,Four_Year_Graduation_Rate,CollegeEnrollment
761,Atlanta Public Schools,C,73.4,79.9,
763,Bremen City,B,87.3,98,
764,Buford City,A,91.7,93.2,
765,Calhoun City,C,76.4,97.6,
766,Carrollton City,C,76.9,89.4,
767,Cartersville City,C,78.7,91.3,
769,Chickamauga City,C,78,99,
771,Commerce City,B,81.9,93.7,
772,Dalton City,C,74.5,78.9,
773,Decatur City,B,85,95.4,
774,Dublin City,D,65.5,90.2,
776,Gainesville City,D,61.5,87.9,
779,Jefferson City,A,91.2,95.5,
781,Marietta City,C,75.2,76.2,
784,Pelham City,D,69.3,90.2,
785,Rome City,C,74.8,90.5,
786,Social Circle City,D,67,93.9,
789,Thomasville City,C,75.8,75.7,
791,Trion City,B,88.8,96.1,
792,Valdosta City,D,64.3,87.8,
793,Vidalia City,D,61.5,94,
7820108,Attendance Zone,C,76.6,81.6,
7820110,Attendance Zone,B,81.6,84.8,
7820120,Attendance Zone,C,76.6,81.6,
7820121,Attendance Zone,D,65.1,71.7,
7820212,Attendance Zone,C,79,87.4,
7820412,Attendance Zone,C,76.6,81.6,
7820612,Attendance Zone,C,71.2,76.7,
7820613,Attendance Zone,C,76.6,81.6,
7820614,Attendance Zone,C,76.6,81.6,
7820615,Attendance Zone,C,75.3,90.1,
7820616,Attendance Zone,C,76.6,81.6,
7820617,Attendance Zone,D,65.1,71.7,
7820618,Attendance Zone,C,76.6,81.6,
7830103,Attendance Zone,C,74.8,85.1,
7830210,Attendance Zone,F,54.9,88,
7830310,Attendance Zone,B,81,86.8,
7830410,Attendance Zone,C,73.4,79.9,
7830610,Attendance Zone,B,81.6,84.8,
7830611,Attendance Zone,C,76.6,81.6,
7830612,Attendance Zone,C,76.6,81.6,
7830613,Attendance Zone,C,76.6,81.6,
7830614,Attendance Zone,C,76.6,81.6,
7830615,Attendance Zone,C,76.6,81.6,
7830616,Attendance Zone,C,76.6,81.6,
7830617,Attendance Zone,C,78.2,84.3,
7830618,Attendance Zone,C,76.6,81.6,
7830619,Attendance Zone,C,79.6,85.2,
7830620,Attendance Zone,,,,
7830621,Attendance Zone,,,,
7830623,Attendance Zone,,,,
7830624,Attendance Zone,,,,
7830628,Attendance Zone,,,,
7830630,Attendance Zone,,,,
