"SysSchoolID","SchoolName","Number Tested All Students","Fail All Students","Pass All Students","Number Tested Economically Disadvantaged","Fail Economically Disadvantaged","Pass Economically Disadvantaged","Number Tested Migrant","Fail Migrant","Pass Migrant","Number Tested Not Economically Disadv.","Fail Not Economically Disadv.","Pass Not Economically Disadv.","Number Tested Asian","Fail Asian","Pass Asian","Number Tested Black","Fail Black","Pass Black","Number Tested Female","Fail Female","Pass Female","Number Tested Hispanic","Fail Hispanic","Pass Hispanic","Number Tested Limited English Proficient","Fail Limited English Proficient","Pass Limited English Proficient","Number Tested Male","Fail Male","Pass Male","Number Tested Native Amer/Alaskan Native","Fail Native Amer/Alaskan Native","Pass Native Amer/Alaskan Native","Number Tested Students without Disabilities","Fail Students without Disabilities","Pass Students without Disabilities","Number Tested Students with Disabilities","Fail Students with Disabilities","Pass Students with Disabilities","Number Tested Multiracial","Fail Multiracial","Pass Multiracial","Number Tested White","Fail White","Pass White"
"607:ALL","Barrow County","458","11","89","114","19","81","","","","333","8","92","25","8","92","42","14","86","210","3","97","18","17","83","1","","","237","17","83","","","","391","6","94","56","43","57","6","","","356","10","90"
"608:198","Woodland High School","269","7","93","50","8","92","","","","214","5","95","1","","","29","7","93","148","4","96","2","","","","","","116","8","92","4","","","242","3","97","22","32","68","2","","","226","5","95"
"608:401","Adairsville High School","137","12","88","29","17","83","","","","106","12","88","1","","","10","","","73","10","90","","","","","","","62","18","82","1","","","124","9","91","11","64","36","","","","123","13","87"
"608:577","Cass High School","240","15","85","43","26","74","","","","188","12","88","3","","","23","22","78","121","9","91","5","","","3","","","110","21","79","5","","","205","7","93","26","73","27","","","","195","13","87"
"608:ALL","Bartow County","646","11","89","122","16","84","","","","508","9","91","5","","","62","15","85","342","7","93","7","","","3","","","288","15","85","10","","","571","6","94","59","56","44","2","","","544","10","90"
"609:291","Fitzgerald High School","171","24","76","60","45","55","","","","112","13","88","2","","","64","42","58","94","21","79","6","","","6","","","78","27","73","","","","160","21","79","12","58","42","","","","100","9","91"
"609:ALL","Ben Hill County","171","24","76","60","45","55","","","","112","13","88","2","","","64","42","58","94","21","79","6","","","6","","","78","27","73","","","","160","21","79","12","58","42","","","","100","9","91"
"610:101","Berrien High School","184","26","74","65","40","60","","","","115","17","83","1","","","32","56","44","92","21","79","","","","","","","88","31","69","","","","164","18","82","16","100","0","","","","147","19","81"
"610:ALL","Berrien County","184","26","74","65","40","60","","","","115","17","83","1","","","32","56","44","92","21","79","","","","","","","88","31","69","","","","164","18","82","16","100","0","","","","147","19","81"
"611:186","Central High School","249","11","89","68","24","76","","","","169","5","95","8","","","125","12","88","131","11","89","2","","","3","","","106","9","91","","","","222","6","94","15","67","33","3","","","99","6","94"
"611:198","Westside High","292","6","94","72","10","90","","","","191","5","95","2","","","131","8","92","152","5","95","1","","","3","","","111","8","92","","","","255","4","96","8","","","","","","129","3","97"
"611:204","Rutland High School","129","17","83","36","25","75","","","","84","14","86","1","","","57","28","72","75","11","89","1","","","1","","","45","29","71","","","","112","13","87","8","","","1","","","60","7","93"
"611:286","Northeast High School","166","13","87","89","12","88","","","","64","5","95","","","","151","9","91","85","7","93","","","","","","","68","12","88","","","","149","7","93","4","","","","","","2","",""
"611:303","William S. Hutchings Career Center","54","20","80","26","19","81","","","","15","0","100","","","","38","13","87","24","17","83","","","","","","","17","6","94","","","","39","8","92","2","","","","","","3","",""
"611:386","Southwest High School","163","16","84","94","13","87","1","","","35","11","89","","","","121","12","88","84","11","89","2","","","","","","45","16","84","","","","119","5","95","10","","","","","","6","",""
"611:ALL","Bibb County","1053","12","88","385","16","84","1","","","558","6","94","11","18","82","623","12","88","551","9","91","6","","","7","","","392","12","88","","","","896","7","93","47","79","21","4","","","299","5","95"
"612:377","Bleckley County High School","132","10","90","52","19","81","","","","79","4","96","1","","","32","28","72","64","6","94","","","","1","","","67","13","87","","","","121","6","94","10","","","","","","98","4","96"
"612:ALL","Bleckley County","132","10","90","52","19","81","","","","79","4","96","1","","","32","28","72","64","6","94","","","","1","","","67","13","87","","","","121","6","94","10","","","","","","98","4","96"
"613:1050","Brantley County High School","170","11","89","73","21","79","","","","98","5","95","","","","12","25","75","99","8","92","1","","","","","","72","17","83","","","","159","7","93","12","75","25","1","","","157","11","89"
"613:ALL","Brantley County","170","11","89","73","21","79","","","","98","5","95","","","","12","25","75","99","8","92","1","","","","","","72","17","83","","","","159","7","93","12","75","25","1","","","157","11","89"
"614:2050","Brooks County High School","126","15","85","42","14","86","4","","","71","15","85","","","","61","18","82","59","12","88","6","","","3","","","54","19","81","1","","","100","8","92","13","69","31","","","","45","7","93"
"614:ALL","Brooks County","126","15","85","42","14","86","4","","","71","15","85","","","","61","18","82","59","12","88","6","","","3","","","54","19","81","1","","","100","8","92","13","69","31","","","","45","7","93"
"615:182","Richmond Hill High School","253","6","94","21","14","86","","","","229","5","95","4","","","18","22","78","122","3","97","6","","","","","","128","9","91","","","","232","5","95","18","22","78","8","","","214","5","95"
"615:502","Bryan County High School","92","11","89","32","9","91","","","","60","12","88","","","","17","6","94","50","6","94","","","","","","","42","17","83","","","","89","9","91","3","","","","","","75","12","88"
"615:ALL","Bryan County","345","7","93","53","11","89","","","","289","7","93","4","","","35","14","86","172","4","96","6","","","","","","170","11","89","","","","321","6","94","21","29","71","8","","","289","7","93"
"616:2054","Statesboro High School","276","13","87","86","21","79","","","","183","9","91","6","","","117","21","79","146","12","88","","","","","","","123","15","85","","","","249","10","90","20","55","45","2","","","144","6","94"
"616:4052","Portal Middle/High School","42","14","86","27","19","81","1","","","14","7","93","","","","23","22","78","24","8","92","2","","","","","","17","24","76","","","","36","8","92","5","","","","","","16","6","94"
"616:5052","Southeast Bulloch High School","156","22","78","56","36","64","2","","","100","14","86","1","","","34","41","59","93","19","81","2","","","1","","","63","25","75","","","","144","17","83","12","75","25","","","","119","16","84"
"616:ALL","Bulloch County","474","16","84","169","25","75","3","","","297","11","89","7","","","174","25","75","263","14","86","4","","","1","","","203","19","81","","","","429","12","88","37","62","38","2","","","279","10","90"
