SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
644:4064,Rainbow Elementary School,467,9
644:4065,Rowland Elementary School,398,0
644:4067,Snapfinger Elementary School,540,0
644:4068,Stoneview Elementary School,737,0
644:4069,Towers High School,258,2
644:475,Bob Mathis Elementary School,318,2
644:497,Stephenson High School,479,3
644:500,DeKalb Alternative School,117,0
644:501,DeKalb Truancy School,13,0
644:5016,Coralwood Education Center,,
644:503,East DeKalb Special Education Center,84,0
644:5050,Avondale Elementary School,301,0
644:5052,Chamblee High School,322,2
644:5053,Clifton Elementary School,444,0
644:5055,Dunwoody High School,307,2
644:5056,Glen Haven Elementary School,415,1
644:5057,Hawthorne Elementary School,244,0
644:5058,Huntley Hills Elementary School,252,10
644:5059,Kingsley Elementary School,272,0
644:5062,Montgomery Elementary School,270,6
644:5064,Redan Elementary School,693,0
644:5065,Sagamore Hills Elementary School,289,9
644:5066,DeKalb/Rockdale PsychoEducation Center,108,14
644:5067,Southwest DeKalb High School,320,3
644:5068,Terry Mill Elementary School,354,0
644:575,Stone Mill Elementary School,465,0
644:597,Miller Grove Middle School,1272,16
644:675,Woodridge Elementary School,522,0
644:697,Stone Mountain Middle School,1081,19
644:775,Open Campus High School,149,0
644:797,Henderson Middle School,1279,26
644:897,Shamrock Middle School,1194,20
644:ALL,DeKalb County,65667,713
645:180,Dodge County Middle School,827,4
645:191,South Dodge Elementary School,678,1
645:291,North Dodge Elementary School,648,10
645:3050,Dodge County High School,180,4
645:ALL,Dodge County,2333,19
646:104,Dooly County Elementary School,584,1
646:182,Dooly County High School,61,1
646:204,Dooly County Middle School,333,2
646:ALL,Dooly County,978,4
647:101,Albany Middle School,595,9
647:103,Robert A. Cross Middle Magnet,572,0
647:1050,Albany High School,156,6
647:1058,Monroe High School,198,5
647:1060,Radium Springs Middle School,600,1
647:1062,Sylvandale Elementary School,277,27
647:199,Lamar Reese School of the Arts,401,12
647:2052,Dougherty Comprehensive High School,220,4
647:2056,Magnolia Elementary School,624,1
647:2058,Morningside Elementary School,508,0
647:2062,Sylvester Road Elementary School,469,0
647:299,Alice Coachman Elementary School,453,1
647:3052,Dougherty Middle School,742,19
647:3054,Jackson Heights Elementary School,362,0
647:3058,Northside Elementary School,406,10
647:3062,Turner Elementary School,420,1
647:399,"Martin Luther King, Jr. Elementary School",371,11
647:4054,Lake Park Elementary School,555,0
647:4056,Merry Acres Middle School,870,1
647:4060,Sherwood Acres Elementary School,461,1
647:4062,Westover High School,282,0
647:5054,Lincoln Elementary Magnet,537,0
647:5056,International Studies Elementary Magnet,243,1
647:5058,Radium Springs Elementary School,264,1
647:5060,Southside Middle School,595,0
647:5062,West Town Elementary School,400,0
647:ALL,Dougherty County,11581,111
648:100,Chapel Hill High School,323,3
648:103,Yeager Middle School,892,12
648:1050,Bill Arp Elementary School,385,0
648:1054,Winston Elementary School,340,8
648:175,Lithia Springs Comprehensive High School,298,3
648:178,Arbor Station Elementary School,472,0
648:180,Fairplay Middle School,740,5
648:184,Dorsett Shoals Elementary School,399,11
648:187,Alexander High School,321,0
648:188,Chestnut Log Middle School,816,9
648:189,Factory Shoals Elementary School,402,0
648:193,South Douglas Elementary School,408,0
648:198,Bright Star Elementary School,528,2
648:200,Holly Springs Elementary,461,1
648:203,New Manchester Elementary School,418,5
648:2050,Beulah Elementary School,378,0
648:2054,Turner Middle School,798,8
648:280,Chapel Hill Elementary School,435,6
648:298,Sweetwater Elementary School,407,0
648:303,Mirror Lake Elementary School,356,1
648:3052,Lithia Springs Elementary School,414,7
648:3550,Chapel Hill Middle School,1000,0
648:398,Burnett Elementary School,366,13
648:4050,Douglas County High School,291,1
648:4052,Mount Carmel Elementary School,376,0
648:498,Eastside Elementary School,537,7
648:5050,Stewart Middle School,662,11
648:5052,Annette Winn Elementary School,406,0
648:ALL,Douglas County,13629,113
649:194,Early County Elementary School,968,7
649:197,Early County Middle School,635,4
649:2050,Early County High School,178,2
649:ALL,Early County,1781,13
650:1050,Echols County High/Elementary School,502,6
650:ALL,Echols County,502,6
651:103,Springfield Elementary School,477,1
651:186,South Effingham Elementary School,633,1
651:190,Guyton Elementary School,443,11
651:196,Sandhill Elementary School,333,0
651:197,South Effingham High School,261,0
651:203,Ebenezer Middle School,787,6
651:290,Effingham County Middle School,606,8
651:296,Ebenezer Elementary School,568,8
651:297,South Effingham Middle School,855,7
651:3050,Marlow Elementary School,474,0
651:390,Effingham County High School,291,4
651:4050,Rincon Elementary School,560,0
651:ALL,Effingham County,6288,46
652:100,Doves Creek Elementary School,279,0
652:104, Elbert County Middle School,902,6
652:1050,Beaverdam Elementary School,294,0
652:1052,Falling Creek Elementary School,288,0
652:176,Elbert County High School,209,0
652:177,Blackwell Elementary School,227,3
652:3050,Bowman Elementary School,197,0
652:ALL,Elbert County,2396,9
653:100,Twin City Elementary School,384,4
653:1050,Adrian School of Performing Arts,186,7
653:189,Swainsboro High School,223,8
653:192,Swainsboro Middle School,733,19
653:196,Swainsboro Primary School,505,7
653:198,Swainsboro Elementary School,668,11
653:2050,Emanuel County Institute,305,5
653:ALL,Emanuel County,3004,61
654:196,Claxton Elementary School,642,5
654:2050,Claxton High School,66,0
654:3050,Claxton Middle School,474,4
654:ALL,Evans County,1182,9
655:1050,Blue Ridge Elementary School,370,14
655:176,Fannin County High School,210,10
655:193,Fannin County Middle School,728,4
655:194,East Fannin Elementary School,401,1
655:293,West Fannin Elementary School,434,0
655:ALL,Fannin County,2143,29
656:102,Cleveland Elementary School,304,0
656:103,Sara Harp Minter Elementary School,605,0
656:104,Crabapple Lane Elementary School,388,0
656:1050,Brooks Elementary School,282,1
656:1052,Peachtree City Elementary School,354,1
656:174,Tyrone Elementary School,300,0
656:178,Booth Middle School,1145,6
656:180,Huddleston Elementary School,521,0
656:181,North Fayette Elementary School,388,7
656:182,McIntosh High School,373,2
656:186,Oak Grove Elementary School,433,2
656:187,East Fayette Elementary School,490,5
656:191,Braelinn Elementary School,501,4
656:192,Sandy Creek High School,289,3
656:194,Evening School,17,0
656:196,Kedron Elementary School,393,3
656:198,Starrs Mill High School,443,2
656:199,Peeples Elementary School,696,0
656:204,9th Grade Center - Whitewater,,
656:287,Fayette Middle School,963,15
656:291,Robert J. Burch Elementary School,478,5
656:296,Spring Hill Elementary School,517,11
656:298,Rising Starr Middle School,1158,1
656:302,Fayetteville Intermediate Elementary School,479,5
656:391,Whitewater Middle School,1081,0
656:398,Fayette County High School,522,4
656:402,Hood Avenue Primary  Elementary School,283,0
656:491,Flat Rock Middle School,880,7
656:ALL,Fayette County,14283,84
657:101,Model 6-8 Middle School,547,4
657:102,Johnson Elementary,374,6
657:1050,Alto Park Elementary School,287,7
657:173,McHenry Primary,197,13
657:188,Model Elementary School,447,2
657:191,S.P.I.C.E.,,
657:195,Armuchee Elementary School,515,1
657:199,Pepperell Elementary,527,28
657:201,Model 9-12 High School,129,2
657:2052,Garden Lakes Elementary School,410,0
657:2054,Midway Primary,236,0
657:273,Pepperell Middle School,820,15
657:301,Armuchee Middle School,507,9
657:3050,Cave Spring Elementary School,232,0
657:3052,Glenwood Primary School,328,0
657:401,Armuchee High School,135,1
657:4050,Coosa Middle School,589,1
657:4054,Pepperell Primary,298,0
657:5050,Coosa High School,154,0
657:5054,Pepperell High School,190,13
657:ALL,Floyd County,6922,102
658:100,Settles Bridge Elementary School,698,0
658:102,Matt Elementary School,752,0
658:103,Cumming Elementary School,802,10
658:104,Sharon Elementary School,915,5
658:1050,Big Creek Elementary School,765,0
658:1052,Midway Elementary School,563,1
658:176,Mashburn Elementary School,556,0
658:182,Coal Mountain Elementary School,567,1
658:190,South Forsyth High School,447,2
658:194,Chattahoochee Elementary School,617,1
658:195,North Forsyth High School,368,2
658:197,Daves Creek Elementary School,824,1
658:198,Vickery Creek  Elementary School,726,0
658:199,Vickery Creek Middle School,877,6
658:202,Otwell Middle School,1011,14
658:203,Sawnee Elementary School,430,20
658:204,Chestatee Elementary,858,1
658:298,Sawnee Primary School,302,4
658:303,Liberty Middle School,845,0
658:498,North Forsyth Middle School,962,6
658:5050,Forsyth Central High School,372,5
658:598,South Forsyth Middle School,1409,0
658:ALL,Forsyth County,15666,79
659:1052,Royston Elementary School,416,1
659:2050,Carnesville Elementary School,558,9
659:3050,Franklin County High School,209,4
659:4050,Franklin County Middle School,942,6
659:5050,Lavonia Elementary School,432,0
659:ALL,Franklin County,2557,20
660:100,Summit Hill Elementary,927,0
660:101,Abbotts Hill Elementary School,663,1
660:102,Creek View Elementary School,751,1
660:103,Hembree Springs Elementary School,533,1
660:104,Spalding Drive Elementary,500,0
660:1050,Alpharetta Elementary School,810,35
660:1064,Oak Knoll Elementary School,480,0
660:1067,Roswell North Elementary School,630,0
660:175,Jackson Elementary School,337,0
660:176,Banneker High School,283,20
660:180,Dolvin Elementary School,480,0
660:181,College Park Elementary School,243,0
660:184,Crabapple Middle School,944,0
660:186,Camp Creek Middle School,984,56
660:187,Barnwell Elementary School,523,1
660:189,McNair Middle School,1035,5
660:190,Lake Windward Elementary School,658,15
660:191,Roswell High School,517,9
660:192,Hapeville Elementary School,520,0
660:193,Crabapple Crossing Elementary School,748,0
660:195,New Prospect Elementary School,822,11
660:197,Northwood Elementary School,735,0
660:198,Centennial High School,460,6
660:199,Stonewall Tell Elementary School,366,0
660:202,Hillside Elementary School,644,0
660:203,Northview High School,473,0
660:204,KIPP Charter School,69,0
660:2058,Bethune Elementary School,525,0
660:2060,Milton High School,576,0
660:2070,Campbell Elementary School,459,11
660:2550,Brookview Elementary School,335,0
660:273,S. L. Lewis Elementary School,431,14
660:275,Nolan Elementary School,418,0
660:276,Gullatt Elementary School,381,0
660:284,Holcomb Bridge Middle School,800,25
660:286,Ridgeview Middle School,591,0
660:289,Woodland Middle School,781,0
660:290,Tubman Elementary School,427,0
660:291,Creekside High School,314,5
660:292,Palmetto Elementary School,391,0
660:295,Findley Oaks Elementary School,760,1
660:297,State Bridge Crossing Elementary School,688,1
660:298,Sweet Apple Elementary School,686,22
660:299,Manning Oaks Elementary School,649,0
660:301,Heritage Elementary School,633,18
660:302,Elkins Pointe Middle School,988,11
660:305,Autrey Mill Middle School,981,0
660:3056,Heards Ferry Elementary School,354,1
660:3058,Lee Elementary School,290,0
660:3064,Parklane Elementary School,326,0
660:3066,Riverwood High School,289,0
660:373,Mountain Park Elementary School,640,0
660:383,McClarin Alternative School,140,0
660:384,Haynes Bridge Middle School,873,23
660:386,Independence Alternative School,67,0
660:390,Randolph Elementary School,601,0
660:391,Bear Creek Middle School,1321,11
660:392,Chattahoochee High School,465,0
660:397,River Eves Elementary School,540,0
660:398,Shakerag  Elementary School,839,0
660:401,Dunwoody Springs Elementary School,529,1
660:402,River Trail Middle School,1405,0
660:4056,High Point Elementary School,506,0
660:4060,Mimosa Elementary School,529,22
660:4062,North Springs High School,415,0
660:4069,E. C. West Elementary School,512,0
660:491,Medlock Bridge Elementary School,698,1
660:497,Webb Bridge Middle School,1149,3
660:501,Hamilton E. Holmes Elementary,429,14
660:502,Fulton County Charter High School for Mathematics,67,0
660:503,Liberty Point Elementary School,479,0
660:5052,Conley Hills Elementary School,376,1
660:5060,Mount Olive Elementary School,361,14
660:5069,Westlake High School,259,0
660:591,Taylor Road Middle School,903,8
660:597,Northwestern Middle School,1708,4
660:601,Victory Charter Elementary School,376,0
660:602,Fulton Science Academy,204,1
660:603,Sandy Springs Middle School,771,0
660:691,Tri-Cities High School,391,8
660:701,Ocee Elementary School,692,2
660:702,Woodland Elementary School,591,22
660:803,Paul D. West Middle School,1198,19
660:ALL,Fulton County,49242,424
661:103,Mountain View Elementary,404,0
661:188,Ellijay Primary School,377,0
661:196,Gilmer  High School,212,0
661:2050,Ellijay Elementary School,541,8
661:296,Gilmer Middle School,928,11
661:4050,Oakland Elementary School,224,0
661:ALL,Gilmer County,2686,19
662:196,Glascock County Consolidated School,395,1
662:ALL,Glascock County,395,1
663:1052,Altama Elementary School,492,0
663:1056,St. Simons Elementary School,326,1
663:1554,Jane Macon Middle School,820,10
663:178,Glyndale Elementary School,506,3
663:190,Golden Isles Elementary School,704,10
663:195,Oglethorpe Point Elementary School,459,4
663:198,Satilla Marsh Elementary School,529,0
663:199,Needwood Middle School,770,15
663:298,Greer Elementary School,536,6
663:3552,Brunswick High School,323,13
663:4052,Burroughs-Molette Elementary School,536,9
663:4054,Risley Middle School,452,6
663:4752,Glynn Academy,344,5
663:4952,Glynn Middle School,707,8
663:5052,Goodyear Elementary School,385,1
663:ALL,Glynn County,7889,91
664:1050,Belwood Elementary School,487,1
664:176,Tolbert Elementary School,510,0
664:190,Red Bud Elementary School,552,1
664:192,Sonoraville East Middle School,784,2
664:2050,Fairmount Elementary School,377,0
664:274,Swain Elementary School,383,5
664:286,Gordon Central High School,329,1
664:292,Ashworth Middle School,746,3
664:ALL,Gordon County,4168,13
665:1050,Cairo High School,258,5
665:1054,Whigham Elementary School,385,0
665:1550,Northside Elementary School,253,1
665:174,Washington Middle School,761,9
665:185,Eastside Elementary School,406,7
665:2050,Southside Elementary School,493,0
665:3050,Shiver Elementary School,403,0
665:ALL,Grady County,2959,22
666:101,Anita White Carson Middle School,489,5
666:201,Union Point Elementary,292,0
666:301,Greensboro Elementary,563,6
666:401,Greene County High School,142,1
666:ALL,Greene County,1486,12
667:100,Rock Springs Elementary School,926,11
667:101,Grayson High School,470,0
667:103,Norcross High School,542,1
667:104,Edward Buchannan School,,
667:1050,Berkmar High School,457,6
667:1052,Dyer Elementary School,543,10
667:1056,Lilburn Middle School,2161,5
667:1058,Rockbridge Elementary School,712,0
667:1105,J. A. Alford Elementary,663,0
667:1205,Duncan Creek Elementary,764,0
667:173,Centerville Elementary School,662,0
667:175,Trickum Middle School,1796,4
667:176,Parkview High School,574,2
667:180,Head Elementary School,542,15
667:182,Brookwood High School,679,1
667:183,Benefield Elementary School,788,10
667:184,Berkeley Lake Elementary School,998,5
667:185,Shiloh High School,441,1
667:186,Pinckneyville Middle School,1287,0
667:187,Meadowcreek High School,340,0
667:188,Richards Middle School,2158,5
667:189,Phoenix High School,153,0
667:190,Chattahoochee Elementary School,924,0
667:191,Dacula Elementary School,1164,6
667:193,Walnut Grove Elementary School,872,7
667:194,Craig Elementary School,798,0
667:195,Collins Hill High School,729,1
667:196,Harbins Elementary School,1315,0
667:197,Creekland Middle School,2725,18
667:198,Alton C. Crews Middle School,1283,13
667:199,Meadowcreek Elementary School,1074,0
667:200,Freeman's Mill Elementary School,959,5
667:205,Corley Elementary School,762,8
667:2050,Bethesda Elementary School,850,10
667:2052,Grayson Elementary School,968,0
667:2054,Harmony Elementary School,716,8
667:2056,Mountain Park Elementary School,494,1
667:2058,Snellville Middle School,1813,10
667:2558,South Gwinnett High School,383,3
667:273,Lanier Middle School,2912,15
667:275,Knight Elementary School,525,0
667:276,Sweetwater Middle School,2455,12
667:279,Five Forks Middle School,1147,20
667:280,Beaver Ridge Elementary School,819,15
667:282,Annistown Elementary School,438,7
667:283,Shiloh Middle School,1568,5
667:285,Hopkins Elementary School,919,0
667:286,Brookwood Elementary School,880,13
667:287,Norton Elementary School,1007,0
667:288,Minor Elementary School,793,0
667:289,McKendree Elementary School,941,3
667:291,Shiloh Elementary School,691,3
667:294,Nesbit Elementary School,910,3
667:295,Fort Daniel Elementary School,785,0
667:296,Sugar Hill Elementary School,827,7
667:297,Hull Middle School,1983,17
667:298,M. H. Mason Elementary School,984,15
667:299,T. Carl Buice School,,
667:300,Susan Stripling Elementary School,704,0
667:305,Ivy Creek Elementary School,723,0
667:3050,Britt Elementary School,797,0
667:3054,Harris Elementary School,1003,1
667:3550,Camp Creek Elementary School,804,0
667:3750,Central Gwinnett High School,406,0
667:376,Gwin Oaks Elementary School,942,23
667:380,Dacula Middle School,2941,19
667:382,Arcado Elementary School,691,0
667:388,Gwinnett InterVention Education (GIVE) Center,267,0
667:389,Cedar Hill Elementary School,1107,14
667:391,Pharr Elementary School,1069,3
667:394,Simonton Elementary School,1724,0
667:395,Jackson Elementary School,1442,1
667:397,Magill Elementary School,1123,13
667:398,Partee Elementary School,519,13
667:400,Riverside Elementary School,1310,9
667:4052,Dacula High School,561,3
667:4056,Norcross Elementary School,759,0
667:4058,Summerour Middle School,1043,1
667:4556,North Gwinnett High School,581,9
667:491,Oakland Center,92,34
667:494,Simpson Elementary School,933,9
667:495,Kanoheda Elementary School,884,0
667:497,McConnell Middle School,2038,0
667:498,Taylor Elementary School,1095,14
667:505,Sycamore Elementary School,654,0
667:5050,Duluth Middle School,1181,8
667:5054,Lawrenceville Elementary School,974,0
667:5056,Peachtree Elementary School,988,2
667:5058,Suwanee Elementary School,958,0
667:5550,Duluth High School,506,0
667:5554,Lilburn Elementary School,922,15
667:605,W. J. Cooper Elementary School,1026,9
667:705,Parsons Elementary School,651,0
667:805,Peachtree Ridge High School,378,0
667:ALL,Gwinnett County,89865,501
668:101,Cornelia Elementary School,423,9
668:1050,Baldwin Elementary School,496,0
668:189,Clarkesville Elementary School,418,5
668:196,North Habersham Middle School,668,8
668:201,Demorest Elementary School,461,8
668:2052,Habersham Central High School,317,6
668:296,South Habersham Middle School,787,10
668:3054,Woodville Elementary School,164,0
668:5050,Fairview Elementary School,201,0
668:5052,Hazel Grove Elementary School,207,0
668:ALL,Habersham County,4142,46
669:100,C. W. Davis Middle School,898,15
669:101,Martin Elementary School,708,14
669:102,Chestatee High School,183,4
669:103,Sugar Hill Elementary,516,6
669:1058,White Sulphur Elementary School,390,11
669:1552,East Hall High School,186,3
669:1556,North Hall High School,242,2
669:176,Myers Elementary School,505,0
669:189,West Hall High School,237,4
669:192,Spout Springs Elementary School,576,12
669:194,Mount Vernon Elementary School,612,10
669:196,Friendship Elementary School,568,0
669:198,Hall County/Gainesville Evening High School,45,0
669:200,Chestatee Middle School,903,10
669:202,Flowery Branch High School,192,2
669:2052,Flowery Branch Elementary School,519,0
669:2056,Oakwood Elementary School,431,11
669:276,Wauka Mountain Elementary School,396,2
669:289,East Hall Middle School,904,13
669:294,West Hall Middle School,856,17
669:3054,Lanier Elementary School,508,0
669:3056,Riverbend Elementary School,340,0
669:389,North Hall Middle School,847,14
669:4050,Chestnut Mountain Elementary School,430,2
669:4054,Lula Elementary School,377,0
669:4056,Sardis Elementary School,502,6
669:4556,South Hall Middle School,896,13
669:4752,Johnson High School,226,1
669:5050,Jones Elementary School,315,0
669:5052,Lyman Hall Elementary School,521,4
669:5054,McEver Elementary School,323,0
669:5056,Tadmore Elementary School,560,0
669:ALL,Hall County,15712,176
670:188,Lewis Elementary School,445,4
670:288,Hancock Central High School,462,1
670:4050,Southwest Elementary School,143,0
670:ALL,Hancock County,1050,5
671:104,Tallapoosa Primary School,261,0
671:178,Buchanan Elementary School,412,2
671:197,Haralson County Middle School,916,11
671:2050,Buchanan Primary School,281,4
671:3050,Haralson County High School,198,4
671:4050,West Haralson Elementary School,379,0
671:ALL,Haralson County,2447,21
672:188,Park Elementary School,420,6
672:190,Pine Ridge Elementary School,384,0
672:199,Mulberry Creek Elementary School,417,0
672:290,New Mountain Hill Elementary School,378,0
672:299,Harris County High School,285,4
672:399,Harris County Carver Middle School,1084,8
672:ALL,Harris County,2968,18
673:102,North Hart Elementary School,520,0
673:191,Hart County Middle School,883,10
673:195,Hart County Academy,35,0
673:202,South Hart Elementary School,457,5
673:3050,Hart County High School,192,4
673:5050,Hartwell Elementary School,348,1
673:ALL,Hart County,2435,20
674:102,Heard County Middle School,469,4
674:1050,Centralhatchee Elementary School,140,0
674:2050,Ephesus Elementary School,123,0
674:3050,Heard County Elementary School,570,1
674:4050,Heard County High School,104,1
674:ALL,Heard County,1406,6
675:100,Ola Elementary School,891,4
675:101,Union Grove High,403,1
675:104,Luella High School,236,0
675:1050,Fairview Elementary School,539,0
675:191,Cotton Indian Elementary School,501,5
675:194,Wesley Lakes Elementary School,646,7
675:195,Patrick Henry High School,170,0
675:196,Pate's Creek Elementary School,965,8
675:197,Pleasant Grove Elementary School,657,18
675:200,Mount Carmel Elementary School,569,13
675:203,East Lake Elementary,883,15
675:205,Henry County Evening Academy,25,0
675:2050,Hampton Elementary School,696,2
675:2552,Smith-Barnes Elementary School,453,0
675:291,Oakland Elementary School,724,2
675:294,Austin Road Elementary School,521,9
675:295,Stockbridge High School,370,5
675:297,Hickory Flat Elementary School,568,8
675:303,Unity Grove Elementary School,774,0
675:3050,Henry County High School,305,4
675:3052,Stockbridge Elementary School,583,0
675:391,Eagle's Landing High School,414,6
675:394,Eagle's Landing Middle School,1459,25
675:397,Austin Road Middle School,910,9
675:4050,Henry County Middle School,1395,11
675:503,Flippen Elementary School,763,5
675:5050,Locust Grove Elementary School,525,0
675:5052,Stockbridge Middle School,810,0
675:603,Luella Middle School,1391,15
675:703,Union Grove Middle,1558,23
675:803,McDonough Elementary School,661,0
675:ALL,Henry County,21365,195
676:100,Eagle Springs Elementary,502,2
676:102,Linwood Elementary School,295,0
676:103,Lake Joy Elementary,547,0
676:104,David A. Perdue Primary,287,1
676:1050,Bonaire Elementary School,552,9
676:1052,Northside Middle School,695,5
676:1054,Perry High School,203,0
676:1056,Tabor Middle School,695,10
676:1058,Watson Center,133,0
676:175,Pearl Stephens Elementary School,273,9
676:191,Northside Elementary School,440,16
676:192,Houston County High School,484,10
676:194,Perdue Elementary School,424,0
676:195,Quail Run Elementary School,565,15
676:196,Feagin Mill Middle School,1008,38
676:199,Matthew Arthur Elementary School,575,18
676:200,Perry Middle School,895,12
676:2050,Centerville Elementary School,468,0
676:2052,Northside High School,360,2
676:2054,Morningside Elementary School,262,0
676:2058,Westside Elementary School,401,0
676:296,Bonaire Middle School,1000,2
676:300,Houston County Career and Technology Center,28,0
676:3050,Elberta Open Campus High School,22,0
676:3052,Parkwood Elementary School,392,0
676:3054,Bert Rumble Middle School,582,11
676:3056,Tucker Elementary School,294,0
676:3550,Kings Chapel Elementary School,284,17
676:400,Perry Primary School,250,1
676:4050,Lindsey Elementary School,265,20
676:4052,Perry Elementary School,229,0
676:4054,Russell Elementary School,524,1
676:4056,Warner Robins High School,386,0
676:5050,Miller Elementary School,411,0
676:5054,Shirley Hills Elementary School,376,0
676:5056,Warner Robins Middle School,717,15
676:ALL,Houston County,15824,214
677:173,Irwin County Middle School,423,3
677:188,Irwin County Elementary School,621,2
677:2050,Irwin County High School,115,2
677:ALL,Irwin County,1159,7
678:101,West Jackson Intermediate School,409,8
678:104,East Jackson Elementary School,323,14
678:1050,Benton Elementary School,218,2
678:191,Jackson County High School,292,14
678:193,Regional Evening Alternative School,8,0
678:197,East Jackson Middle School,678,18
678:2550,Maysville Elementary School,308,3
678:280,West Jackson Primary,300,5
678:297,West Jackson Middle School,704,17
678:3050,North Jackson Elementary School,291,4
678:4050,South Jackson Elementary School,373,3
678:ALL,Jackson County,3904,88
679:100,Washington Park Elementary School,448,2
679:101,Jasper County  High School,84,2
679:195,Jasper County Primary School,304,2
679:201,Jasper County Middle School,522,5
679:ALL,Jasper County,1358,11
680:101,Jeff Davis Middle School,621,5
680:102,Jeff Davis Primary School,380,2
680:199,Jeff Davis High School,172,4
680:3050,Jeff Davis Elementary School,581,4
680:ALL,Jeff Davis County,1754,15
681:1050,Carver Elementary School,232,0
681:1550,Louisville Academy,468,6
681:196,Jefferson County High School,186,10
681:296,Louisville Middle School,497,0
681:3550,Wrens Elementary School,479,0
681:396,Wrens Middle School,338,10
681:ALL,Jefferson County,2200,26
682:101,Jenkins County Middle School,433,9
682:1050,Jenkins County Elementary School,606,26
682:201,Jenkins County High School,77,8
682:ALL,Jenkins County,1116,43
683:101,Johnson County Middle School,283,10
683:197,Johnson County Elementary School,484,10
683:201,Johnson County High School,79,1
683:ALL,Johnson County,846,21
684:101,Clifton Ridge Middle School,543,7
684:102,Wells Primary School,233,0
684:1050,Califf Middle School,728,4
684:1550,Gray Elementary School,668,13
684:192,Jones County High School,292,3
684:199,Dames Ferry  Elementary School,628,1
684:4050,Wells Elementary School,413,0
684:ALL,Jones County,3505,28
685:175,Lamar County Comprehensive High School,144,0
685:190,Lamar County Primary/Elementary School,897,6
685:199,Lamar County Middle School,657,7
685:ALL,Lamar County,1698,13
686:101,Lanier County Middle School,345,5
686:201,Lanier County High School,99,1
686:3050,Lanier County Elementary School,544,2
686:ALL,Lanier County,988,8
687:101,Southwest Laurens Elementary,724,6
687:104,East Laurens Primary School,329,1
687:1052,East Laurens Elementary School,521,4
687:197,East Laurens High School,145,0
687:201,Northwest Laurens Elementary,766,1
687:2054,West Laurens Middle School,888,7
687:297,East Laurens Middle School,580,0
687:3054,West Laurens High School,223,2
687:ALL,Laurens County,4176,21
688:101,Lee County Middle School,1329,7
688:103,Lee County Elementary School,643,6
688:187,Lee County Primary School,374,2
688:193,Lee County High School,324,2
688:197,Kinchafoonee Primary School,362,0
688:393,Twin Oaks Elementary School,563,0
688:ALL,Lee County,3595,17
689:100,Waldo Pafford Elementary School,548,12
689:101,Midway Middle School,880,1
689:102,Liberty Elementary School,620,10
689:1050,Jordye Bacon Elementary School,446,0
689:180,Button Gwinnett Elementary School,502,0
689:183,Lyman Hall Elementary School,430,0
689:189,Joseph Martin Elementary School,486,5
689:192,Liberty County High School,240,4
689:194,Taylors Creek Elementary School,553,0
689:195,Snelson-Golden Middle School,1014,33
689:196,Frank Long Elementary School,538,0
689:197,Lewis Frasier Middle School,807,0
689:3050,Bradwell Institute,450,1
689:ALL,Liberty County,7514,66
690:101,Lincoln County Middle School,352,3
690:176,Lincoln County Elementary School,474,6
690:201,Lincoln County High School,100,1
690:ALL,Lincoln County,926,10
691:100,Smiley Elementary School,442,0
691:196,Long County School,912,7
691:ALL,Long County,1354,7
692:100,Dewar Elementary School,573,1
692:1050,Clyattville Elementary School,517,10
692:1052,Lowndes Middle School,1051,8
692:194,Moulton-Branch Elementary School,477,6
692:195,Hahira Elementary School,495,5
692:274,Pine Grove Elementary School,447,1
692:3050,Hahira Middle School,1161,17
692:3052,Parker Mathis Elementary School,330,1
692:4050,Lake Park Elementary School,485,2
692:5050,Lowndes High School,541,1
692:ALL,Lowndes County,6077,52
693:101,New Lumpkin County High School,187,9
693:103,Blackburn Elementary School,544,0
693:1050,Lumpkin County Middle School,904,5
693:191,Long Branch Elementary School,402,0
693:2050,Lumpkin County Elementary School,477,3
693:ALL,Lumpkin County,2514,17
694:198,Macon County Elementary School,802,6
694:199,Macon County Middle School,511,3
694:2060,Macon County High School,123,1
694:ALL,Macon County,1436,10
695:101,Hull-Sanford Elementary School,370,3
695:1050,Colbert Elementary School,286,1
695:1052,Madison County Middle School,1131,30
695:195,Danielsville Elementary School,462,16
695:2050,Comer Elementary School,248,0
695:4050,Ila Elementary School,364,11
695:5050,Madison County High School,297,11
695:ALL,Madison County,3158,72
696:175,Marion Middle School,541,6
696:197,L. K. Moss Primary School,444,3
696:275,Tri-County High School,102,1
696:ALL,Marion County,1087,10
697:179,Maxwell Elementary School,362,3
697:191,Dearing Elementary School,341,2
697:192,Thomson High School,249,7
697:194,Thomson Middle School,1013,14
697:294,Norris Elementary School,500,5
697:4050,Thomson Elementary School,341,0
697:ALL,McDuffie County,2806,31
698:101,McIntosh County Middle School,473,7
698:201,McIntosh County Academy High School,110,2
698:4050,Todd Grant Elementary School,694,6
698:ALL,McIntosh County,1277,15
699:100,Unity Elementary School,400,3
699:102,George E. Washington Elementary School,395,0
699:200,Mountain View Elementary School,591,10
699:300,Greenville High School,112,0
699:400,Greenville Middle School,373,1
699:4050,Manchester High School,121,0
699:5050,Manchester Middle School,500,4
699:ALL,Meriwether County,2492,18
700:101,Miller County Middle School,297,5
700:201,Miller County High School,78,0
700:276,Miller County Elementary School,373,0
700:ALL,Miller County,748,5
