SysSchoolID,School Name,Enrollment in Grades Applicable to AYP Grades 1 through 8 and 11,Number of Students Taking the GAA
628:ALL,Cherokee County,20449,162
629:104,Classic City Performance Learning Center,8,0
629:1058,Clarke Middle School,620,19
629:1062,Whitehead Road Elementary School,353,0
629:178,Timothy Elementary School,333,0
629:191,Cleveland Road Elementary School,265,0
629:196,Coile Middle School,701,0
629:2056,Barnett Shoals Elementary School,407,9
629:2062,Winterville Elementary School,353,0
629:291,Fourth Street Elementary School,402,0
629:296,Burney-Harris-Lyons Middle School,530,0
629:3056,Barrow Elementary School,313,0
629:3058,Fowler Drive Elementary School,383,0
629:391,Whit Davis Road Elementary School,396,0
629:4058,Gaines Elementary School,310,14
629:4060,Oglethorpe Avenue Elementary School,338,6
629:4556,Cedar Shoals High School,308,0
629:5054,Alps Road Elementary School,333,0
629:5056,Chase Street Elementary School,191,0
629:5058,Hilsman Middle School,680,16
629:5556,Clarke Central High School,263,0
629:ALL,Clarke County,7487,64
630:104,Clay County Middle School,94,0
630:204,Clay County Elementary,170,0
630:ALL,Clay County,264,0
631:100,M. D. Roberts Middle School,1153,15
631:103,Callaway Elementary School,714,6
631:104,Mundy's Mill High School,320,7
631:1050,Anderson Elementary School,374,0
631:1052,East Clayton Elementary School,849,4
631:1054,Forest Park High School,266,9
631:1056,Jonesboro High School,289,2
631:1058,Lee Street Elementary School,385,1
631:1060,Northcutt Elementary School,568,0
631:1062,Tara Elementary School,515,1
631:1550,Arnold Elementary School,400,1
631:173,Kilpatrick Elementary School,588,1
631:174,Mundy's Mill Middle School,918,1
631:175,Brown Elementary School,847,9
631:176,Mount Zion Elementary School,739,0
631:177,Adamson Middle School,1265,13
631:181,Pointe South Elementary School,671,3
631:184,Kemp Elementary School,1005,0
631:190,Lovejoy High School,369,9
631:191,Lovejoy Middle School,1076,12
631:195,River's Edge Elementary School,726,4
631:197,Kendrick Middle School,1461,22
631:199,Hawthorne Elementary School,746,12
631:200,Roberta T. Smith Elementary School,758,12
631:203,Harper Elementary School,645,5
631:204,"Martin Luther King, Jr. Elementary School",759,9
631:2052,North Clayton High School,274,4
631:2054,Forest Park Middle School,717,0
631:2056,Jonesboro Middle School,602,1
631:2058,Morrow Elementary School,513,0
631:2060,Riverdale Elementary School,537,1
631:2062,West Clayton Elementary School,431,0
631:2554,Fountain Elementary School,431,0
631:276,Oliver Elementary School,666,0
631:277,Pointe South Middle School,1159,1
631:290,Mount Zion High School,333,21
631:295,Lake Ridge Elementary School,596,13
631:304,James Jackson Elementary School,647,9
631:3050,Babb Middle School,1099,13
631:3052,North Clayton Middle School,957,2
631:3054,Haynie Elementary School,641,0
631:3058,Morrow Middle School,999,0
631:3060,Riverdale Middle School,1062,1
631:377,Riverdale High School,293,16
631:4050,Church Street Elementary School,726,1
631:4054,Hendrix Drive Elementary School,253,0
631:4056,Lake City Elementary School,419,0
631:4058,Morrow High School,383,10
631:4060,Suder Elementary School,597,1
631:5052,Edmonds Elementary School,334,7
631:5054,Huie Elementary School,499,0
631:5056,William M. McGarrah Elementary School,778,3
631:5060,Swint Elementary School,596,11
631:ALL,Clayton County,34948,273
632:101,Clinch County Primary School,295,1
632:1050,Clinch County High School,185,0
632:201,Clinch County Elementary,410,4
632:301,Fargo Charter School,28,0
632:ALL,Clinch County,918,5
633:101,Kennesaw Mountain High School,663,1
633:102,Riverside Elementary School,722,7
633:103,Kell High School,371,0
633:104,Bullard Elementary School,822,0
633:1052,Belmont Hills Elementary School,281,0
633:1054,Campbell High School,454,4
633:1056,East Cobb Middle School,1291,9
633:1058,East Side Elementary School,672,3
633:1060,Garrett Middle School,898,12
633:1064,McEachern High School,731,4
