"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"644:173","Vanderlyn Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:175","Austin Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:176","Redan High School","73.9","312","422","","","6","75.2","303","403","","","1","","","1","","","7","","","4","70.4","145","206","77.3","167","216","51.9","14","27","75.4","298","395","","","10","78.2","104","133","72","208","289","","","0"
"644:177","Margaret Harris High School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:181","Eldridge L. Miller Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:188","Panola Way Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:189","Peachtree Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:190","Pine Ridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:191","Browns Mill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:193","Chapel Hill Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:197","Marbut Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:199","DeKalb Alternative Night School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:200","Cedar Grove Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:201","Freedom Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:202","Lithonia High School","72.5","342","472","","","1","72.9","333","457","","","5","","","0","","","4","","","5","63.9","140","219","79.8","202","253","28.3","13","46","77.2","329","426","","","6","81.1","133","164","67.9","209","308","","","0"
"644:203","Lithonia Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:205","Redan Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2050","Allgood Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2054","Columbia High School","71.8","186","259","","","3","71.6","179","250","","","0","","","0","","","4","","","2","66.7","78","117","76.1","108","142","39.3","11","28","75.8","175","231","","","3","80.4","78","97","66.7","108","162","","","0"
"644:2055","Druid Hills High School","71","215","303","85.7","24","28","65.6","99","151","","","6","","","0","78.5","84","107","63.6","7","11","63.8","97","152","78.1","118","151","34.4","11","32","75.3","204","271","59.5","25","42","73.4","58","79","70.1","157","224","","","0"
"644:2056","Fernbank Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2057","Gresham Park Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2058","Henderson Mill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2059","Indian Creek Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2060","Knollwood Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2061","McLendon Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2062","Midvale Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2065","Cary Reynolds Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2068","Stone Mountain Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2069","Tilson Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:2070","Wadsworth Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:272","Rockbridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:275","Cedar Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:276","Stone Mountain High School","60.5","204","337","83.3","10","12","61.4","180","293","25","3","12","","","0","60","9","15","","","5","49.7","86","173","72","118","164","26.3","10","38","64.9","194","299","55.3","21","38","70.2","99","141","53.6","105","196","","","0"
"644:288","Kittredge Magnet School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:290","Sequoyah Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:291","Salem Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:293","Shadow Rock Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:297","Edward L. Bouie, Sr. Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:299","Chamblee Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:301","Columbia Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:302","DeKalb Transition School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:303","International Community Charter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3050","Ashford Park Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3051","Briarlake Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3052","Canby Lane Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3053","Chesnut Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3055","Dunaire Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3056","Flat Shoals Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3057","Hambrick Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3058","Heritage Educational Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3059","Jolly Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3060","Lakeside High School","80.9","259","320","90","27","30","65.1","54","83","54.5","12","22","","","1","89.9","160","178","","","6","77","124","161","84.9","135","159","45.8","11","24","83.8","248","296","66","31","47","66.7","22","33","82.6","237","287","","","0"
"644:3061","Meadowview Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3062","Midway Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3063","Oak Grove Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3064","Pleasantdale Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3065","Rock Chapel Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3067","Smoke Rise Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3069","Toney Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:3070","McNair High School","45.6","151","331","","","1","46.2","151","327","","","2","","","0","","","0","","","1","37.7","60","159","52.9","91","172","2.8","1","36","50.8","150","295","","","5","60","87","145","34.4","64","186","","","0"
"644:375","Fairington Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:397","Stephenson Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:399","Robert Shaw Theme School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:400","DeKalb School of the Arts","95.9","47","49","","","0","97.4","37","38","","","1","","","0","","","4","","","6","93.8","15","16","97","32","33","","","0","95.9","47","49","","","0","","","10","97.4","38","39","","","0"
"644:401","Mary McLeod Bethune Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:402","Academy of Lithonia Charter School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4050","Atherton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4051","Briar Vista Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4052","Murphy Candler Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4053","Clarkston High School","51.2","126","246","61.8","34","55","48.9","85","174","","","2","","","0","27.3","3","11","","","4","50.4","68","135","52.3","58","111","21.4","6","28","55","120","218","55.9","52","93","71.6","73","102","36.8","53","144","","","0"
"644:4054","Cross Keys High School","54.6","118","216","68.3","28","41","49.3","34","69","52.6","40","76","","","0","53.8","14","26","","","4","49","48","98","59.3","70","118","31.3","5","16","56.5","113","200","57.3","75","131","77.8","77","99","35","41","117","","","0"
"644:4056","Forrest Hills Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4058","Hightower Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4059","Kelley Lake Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4060","Laurel Ridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4062","Montclair Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4063","Oakcliff Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4064","Rainbow Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4065","Rowland Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4067","Snapfinger Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4068","Stoneview Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:4069","Towers High School","60.5","155","256","","","2","61.2","153","250","","","1","","","0","","","3","","","0","50.8","62","122","69.4","93","134","10.3","3","29","67","152","227","","","6","69","69","100","55.1","86","156","","","0"
"644:475","Bob Mathis Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:497","Stephenson High School","85","373","439","","","2","86.1","358","416","","","1","","","0","","","6","85.7","12","14","79.8","162","203","89.4","211","236","53.6","15","28","87.1","358","411","","","10","89.5","85","95","83.7","288","344","","","0"
"644:500","DeKalb Alternative School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:501","DeKalb Truancy School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5016","Coralwood Education Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:503","East DeKalb Special Education Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5050","Avondale Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5052","Chamblee High School","90.2","294","326","96","24","25","91.9","148","161","84.6","11","13","","","0","87.7","100","114","84.6","11","13","87.4","132","151","92.6","162","175","34.6","9","26","95","285","300","88.6","31","35","86.2","50","58","91","244","268","","","0"
"644:5053","Clifton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5055","Dunwoody High School","84.8","228","269","81.3","13","16","87.4","90","103","56.5","13","23","","","1","87.4","104","119","","","7","82.4","108","131","87","120","138","40.7","11","27","89.7","217","242","63.2","24","38","68.3","28","41","87.7","200","228","","","0"
"644:5056","Glen Haven Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5057","Hawthorne Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5058","Huntley Hills Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5059","Kingsley Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5062","Montgomery Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5064","Redan Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5065","Sagamore Hills Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5066","DeKalb/Rockdale PsychoEducation Center ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:5067","Southwest DeKalb High School","68.2","275","403","","","1","70.5","270","383","","","3","","","2","","","7","","","7","64.8","127","196","71.5","148","207","21.9","7","32","72.2","268","371","","","7","74.3","81","109","66","194","294","","","0"
"644:5068","Terry Mill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:575","Stone Mill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:597","Miller Grove Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:675","Woodridge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:697","Stone Mountain Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:775","Open Campus High School","78.7","704","894","90.9","20","22","77.7","600","772","86.4","38","44","","","1","80.5","33","41","85.7","12","14","78.8","369","468","78.6","335","426","76.2","16","21","78.8","688","873","83.7","87","104","84.1","159","189","77.3","545","705","","","0"
"644:797","Henderson Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:897","Shamrock Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"644:ALL","DeKalb County","72","4671","6487","77","208","270","70.9","3616","5101","59.3","134","226","","","6","80.9","622","769","74.8","86","115","67.2","2109","3137","76.5","2562","3350","32.5","175","538","75.6","4496","5949","65.1","419","644","75.7","1483","1960","70.4","3188","4527","","","0"
"645:180","Dodge County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"645:191","South Dodge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"645:291","North Dodge Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"645:3050","Dodge County High School","60.1","158","263","","","0","46.2","43","93","","","0","","","0","67.6","115","170","","","0","56.4","75","133","63.8","83","130","19.4","7","36","66.5","151","227","","","0","51.8","59","114","66.4","99","149","","","0"
"645:ALL","Dodge County","60.1","158","263","","","0","46.2","43","93","","","0","","","0","67.6","115","170","","","0","56.4","75","133","63.8","83","130","19.4","7","36","66.5","151","227","","","0","51.8","59","114","66.4","99","149","","","0"
"646:104","Dooly County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"646:182","Dooly County High School","60.6","60","99","","","3","65.8","48","73","","","4","","","0","42.1","8","19","","","0","58.6","34","58","63.4","26","41","","","6","64.5","60","93","","","2","60.6","60","99","","","0","","","0"
"646:204","Dooly County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"646:ALL","Dooly County","60.6","60","99","","","3","65.8","48","73","","","4","","","0","42.1","8","19","","","0","58.6","34","58","63.4","26","41","","","6","64.5","60","93","","","2","60.6","60","99","","","0","","","0"
"647:101","Albany Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:103","Robert A. Cross Middle Magnet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:1050","Albany High School","53.8","135","251","","","7","48.1","76","158","","","3","","","0","59.8","49","82","","","1","47.2","60","127","60.5","75","124","23.7","9","38","59.2","126","213","","","4","62.2","135","217","0","0","34","","","0"
"647:1058","Monroe High School","61.6","162","263","","","0","61.9","156","252","","","0","","","0","54.5","6","11","","","0","58.5","69","118","64.1","93","145","8.1","3","37","70.4","159","226","","","0","66.9","162","242","0","0","21","","","0"
"647:1060","Radium Springs Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:1062","Sylvandale Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:199","Lamar Reese School of the Arts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:2052","Dougherty Comprehensive High School","44.8","148","330","","","0","47.4","146","308","","","1","","","0","10","2","20","","","1","38.3","69","180","52.7","79","150","9.1","4","44","50.3","144","286","","","0","51.7","148","286","0","0","44","","","0"
"647:2056","Magnolia Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:2058","Morningside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:2062","Sylvester Road Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:299","Alice Coachman Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:3052","Dougherty Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:3054","Jackson Heights Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:3058","Northside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:3062","Turner Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:399","Martin Luther King, Jr. Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:4054","Lake Park Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:4056","Merry Acres Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:4060","Sherwood Acres Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:4062","Westover High School","71.3","241","338","","","3","67.8","156","230","","","1","","","0","77.9","81","104","","","0","65.2","107","164","77","134","174","20","5","25","75.4","236","313","","","0","76","241","317","0","0","21","","","0"
"647:5054","Lincoln Elementary Magnet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:5056","International Studies Elementary Magnet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:5058","Radium Springs Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:5060","Southside Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:5062","West Town Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"647:ALL","Dougherty County","58","686","1182","","","10","56.3","534","948","","","5","","","0","63.6","138","217","","","2","51.8","305","589","64.2","381","593","14.6","21","144","64.1","665","1038","","","4","64.6","686","1062","0","0","120","","","0"
"648:100","Chapel Hill High School","83.2","272","327","","","4","80.3","49","61","","","5","","","0","83.6","214","256","","","1","83.9","146","174","82.4","126","153","46.7","7","15","84.9","265","312","","","1","78.3","18","23","83.6","254","304","","","0"
"648:103","Yeager Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:1050","Bill Arp Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:1054","Winston Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:175","Lithia Springs Comprehensive High School","57.5","210","365","","","6","66.7","68","102","71.4","10","14","","","0","52.9","127","240","","","3","57.9","117","202","57.1","93","163","17.6","9","51","64","201","314","","","5","64.9","63","97","54.9","147","268","","","0"
"648:178","Arbor Station Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:180","Fairplay Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:184","Dorsett Shoals Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:187","Alexander High School","67.6","263","389","","","0","50","28","56","","","7","","","1","71.6","232","324","","","1","67.9","150","221","67.3","113","168","34.5","20","58","73.4","243","331","","","0","75","30","40","66.8","233","349","","","0"
"648:188","Chestnut Log Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:189","Factory Shoals Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:193","South Douglas Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:198","Bright Star Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:200","Holly Springs Elementary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:203","New Manchester Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:2050","Beulah Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:2054","Turner Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:280","Chapel Hill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:298","Sweetwater Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:303","Mirror Lake Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:3052","Lithia Springs Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:3550","Chapel Hill Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:398","Burnett Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:4050","Douglas County High School","59.9","203","339","","","4","51","73","143","76.9","10","13","","","4","64.3","110","171","","","4","59","95","161","60.7","108","178","34.9","15","43","63.5","188","296","","","3","51.5","52","101","63.4","151","238","","","0"
"648:4052","Mount Carmel Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:498","Eastside Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:5050","Stewart Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:5052","Annette Winn Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"648:ALL","Douglas County","66.8","948","1420","85.7","12","14","60.2","218","362","66.7","26","39","","","5","68.9","683","991","","","9","67","508","758","66.5","440","662","30.5","51","167","71.6","897","1253","","","9","62.5","163","261","67.7","785","1159","","","0"
"649:194","Early County Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649:197","Early County Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649:2050","Early County High School","67.8","122","180","","","1","63.2","67","106","","","2","","","0","75","51","68","","","3","69.5","57","82","66.3","65","98","9.1","2","22","75.9","120","158","","","3","62.6","72","115","76.9","50","65","","","1"
"649:ALL","Early County","67.8","122","180","","","1","63.2","67","106","","","2","","","0","75","51","68","","","3","69.5","57","82","66.3","65","98","9.1","2","22","75.9","120","158","","","3","62.6","72","115","76.9","50","65","","","1"
"650:1050","Echols County High/Elementary School","60.4","32","53","","","0","","","9","","","5","","","0","64.1","25","39","","","0","44.4","12","27","76.9","20","26","","","5","64.6","31","48","","","1","52.6","10","19","64.7","22","34","","","4"
"650:ALL","Echols County","60.4","32","53","","","0","","","9","","","5","","","0","64.1","25","39","","","0","44.4","12","27","76.9","20","26","","","5","64.6","31","48","","","1","52.6","10","19","64.7","22","34","","","4"
"651:103","Springfield Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:186","South Effingham Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:190","Guyton Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"651:196","Sandhill Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
