"SysSchoolID","SchoolName","Graduation Rate All Students","Number Taken All Students","Approximate Class Size All Students","Graduation Rate Asian","Number Taken Asian","Approximate Class Size Asian","Graduation Rate Black","Number Taken Black","Approximate Class Size Black","Graduation Rate Hispanic","Number Taken Hispanic","Approximate Class Size Hispanic","Graduation Rate Native Amer/Alaskan Native","Number Taken Native Amer/Alaskan Native","Approximate Class Size Amer/Alaskan Native","Graduation Rate White","Number Taken White","Approximate Class Size White","Graduation Rate Multiracial","Number Taken Multiracial","Approximate Class Size Multiracial","Graduation Rate Male","Number Taken Male","Approximate Class Size Male","Graduation Rate Female","Number Taken Female","Approximate Class Size Female","Graduation Rate Students with Disabilities","Number Taken Students with Disabilities","Approximate Class Size Students with Disabilities","Graduation Rate Students without Disabilities","Number Taken Students without Disabilities","Approximate Class Size Students without Disabilities","Graduation Rate Limited English Proficient","Number Taken Limited English Proficient","Approximate Class Size Limited English Proficient","Graduation Rate Economically Disadvantaged","Number Taken Economically Disadvantaged","Approximate Class Size Economically Disadvantaged","Graduation Rate Not Economically Disadv","Number Taken Not Economically Disadv","Approximate Class Size Not Economically Disadv","Graduation Rate Migrant","Number Taken Migrant","Approximate Class Size Migrant"
"748:5050","Wacona Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"748:ALL","Ware County","49.2","214","435","","","6","32.3","53","164","","","9","","","0","59.2","151","255","","","1","50.9","118","232","47.3","96","203","15","9","60","54.7","205","375","","","2","31.5","63","200","64.3","151","235","","","2"
"749:2050","Warren County High School","83.3","30","36","","","0","84.8","28","33","","","0","","","0","","","3","","","0","78.9","15","19","88.2","15","17","","","5","93.5","29","31","","","0","83.3","30","36","","","0","","","0"
"749:3050","Freeman Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"749:ALL","Warren County","83.3","30","36","","","0","84.8","28","33","","","0","","","0","","","3","","","0","78.9","15","19","88.2","15","17","","","5","93.5","29","31","","","0","83.3","30","36","","","0","","","0"
"750:1050","Crawford Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"750:1052","Washington County High School","61.8","186","301","","","0","59.6","124","208","","","1","","","0","66.3","61","92","","","0","58.7","101","172","65.9","85","129","21.1","8","38","67.7","178","263","","","0","61.8","186","301","","","0","","","0"
"750:199","T. J. Elder Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"750:2050","Elder Primary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"750:4050","Sandersville Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"750:5050","Tennille Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"750:ALL","Washington County","61.8","186","301","","","0","59.6","124","208","","","1","","","0","66.3","61","92","","","0","58.7","101","172","65.9","85","129","21.1","8","38","67.7","178","263","","","0","61.8","186","301","","","0","","","0"
"751:101","Wayne County High School","55.9","210","376","","","4","43.3","42","97","","","5","","","1","60.7","162","267","","","2","53.7","101","188","58","109","188","9.1","4","44","62","206","332","","","4","41.3","57","138","64.3","153","238","","","2"
"751:1050","Jesup Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:1052","Screven Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:194","Martha Puckett Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:294","Arthur Williams Middle School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"751:3050","Odum Elementary School","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
