SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Total Asian,Retained Percent Asian,Retained Total Black,Retained Percent Black,Retained Total Female,Retained Percent Female,Retained Total Hispanic,Retained Percent Hispanic,Retained Total Male,Retained Percent Male,Retained Total Multiracial,Retained Percent Multiracial,Retained Total White,Retained Percent White
721:294,Tobacco Road Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
721:297,McBean Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
721:300,Lake Forest Hills Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
721:301,Jenkins-White Elementary Charter School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
721:3050,Bayvale Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
721:3054,Glenn Hills High School,130,0,0,0,0,126,96.9,59,45.4,0,0,71,54.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students
721:3062,Sego Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
721:3556,Johnson Magnet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721:3756,Josey High School,70,0,0,0,0,67,95.7,34,48.6,Too Few Students,Too Few Students,36,51.4,0,0,Too Few Students,Too Few Students
721:390,Spirit Creek Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721:4050,Blythe Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
721:4054,Gracewood Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
721:4058,Monte Sano Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
721:4060,Academy of Richmond County High School,138,0,0,0,0,107,77.5,59,42.8,Too Few Students,Too Few Students,79,57.2,0,0,29,21
721:4062,Southside Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
721:4064,Wheeless Road Elementary School,14,0,0,0,0,12,85.7,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
721:4562,Davidson Magnet School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721:4762,Terrace Manor Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
721:5054,Hains Elementary School,21,0,0,0,0,17,81,10,47.6,0,0,11,52.4,0,0,Too Few Students,Too Few Students
721:5058,Murphey Middle Charter School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
721:5564,Tutt Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
721:5566,Laney High School,83,0,0,Too Few Students,Too Few Students,80,96.4,36,43.4,0,0,47,56.6,0,0,Too Few Students,Too Few Students
721:ALL,Richmond County,1239,0,0,Too Few Students,Too Few Students,967,78,480,38.7,15,1.2,759,61.3,13,1,240,19.4
722:102,Peek's Chapel Elementary,14,0,0,0,0,12,85.7,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
722:107,General Ray Davis Middle School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
722:174,Honey Creek Elementary School,15,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,11,73.3,Too Few Students,Too Few Students,Too Few Students,Too Few Students
722:176,Heritage High School,248,Too Few Students,Too Few Students,Too Few Students,Too Few Students,124,50,92,37.1,39,15.7,156,62.9,Too Few Students,Too Few Students,81,32.7
