SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Total Asian,Retained Percent Asian,Retained Total Black,Retained Percent Black,Retained Total Female,Retained Percent Female,Retained Total Hispanic,Retained Percent Hispanic,Retained Total Male,Retained Percent Male,Retained Total Multiracial,Retained Percent Multiracial,Retained Total White,Retained Percent White
629:2056,Barnett Shoals Elementary School,24,0,0,0,0,18,75,Too Few Students,Too Few Students,Too Few Students,Too Few Students,15,62.5,0,0,Too Few Students,Too Few Students
629:2062,Winterville Elementary School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
629:291,Howard B. Stroud Elementary School,23,0,0,0,0,18,78.3,12,52.2,Too Few Students,Too Few Students,11,47.8,0,0,0,0
629:296,Burney-Harris-Lyons Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
629:3056,Barrow Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
629:3058,Fowler Drive Elementary School,12,0,0,0,0,10,83.3,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
629:391,Whit Davis Road Elementary School,16,0,0,0,0,14,87.5,Too Few Students,Too Few Students,0,0,11,68.8,0,0,Too Few Students,Too Few Students
629:4060,Oglethorpe Avenue Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
629:5056,Chase Street Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
629:5058,Hilsman Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
629:5556,Clarke Central High School,143,0,0,Too Few Students,Too Few Students,105,73.4,42,29.4,24,16.8,101,70.6,Too Few Students,Too Few Students,10,7
629:ALL,Clarke County,618,Too Few Students,Too Few Students,Too Few Students,Too Few Students,442,71.5,239,38.7,110,17.8,379,61.3,Too Few Students,Too Few Students,54,8.7
630:104,Clay County Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
630:204,Clay County Elementary,15,0,0,0,0,15,100,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
630:ALL,Clay County,18,0,0,0,0,18,100,Too Few Students,Too Few Students,0,0,10,55.6,0,0,0,0
631:100,M. D. Roberts Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0,0,0,0,0
631:103,Callaway Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
631:104,Mundy's Mill High School,114,0,0,Too Few Students,Too Few Students,99,86.8,41,36,Too Few Students,Too Few Students,73,64,Too Few Students,Too Few Students,Too Few Students,Too Few Students
631:105,Thurgood Marshall Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
631:1050,Anderson Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:1052,East Clayton Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
631:1054,Forest Park High School,302,0,0,Too Few Students,Too Few Students,173,57.3,114,37.7,96,31.8,188,62.3,11,3.6,14,4.6
631:1056,Jonesboro High School,118,0,0,Too Few Students,Too Few Students,81,68.6,46,39,21,17.8,72,61,Too Few Students,Too Few Students,10,8.5
631:1058,Lee Street Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:106,Jonesboro Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
631:1060,Northcutt Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
631:1062,Tara Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:107,Sequoyah Middle School,22,0,0,Too Few Students,Too Few Students,18,81.8,Too Few Students,Too Few Students,Too Few Students,Too Few Students,17,77.3,0,0,0,0
631:109,Mount Zion Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:114,Elite Scholars Academy School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:115,Charles R. Drew High School,107,0,0,Too Few Students,Too Few Students,82,76.6,37,34.6,16,15,70,65.4,Too Few Students,Too Few Students,Too Few Students,Too Few Students
631:1550,Arnold Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
631:173,Kilpatrick Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:174,Mundys Mill Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
631:175,Brown Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
631:176,Mount Zion Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
631:177,Adamson Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:181,Pointe South Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:190,Lovejoy High School,175,Too Few Students,Too Few Students,Too Few Students,Too Few Students,139,79.4,59,33.7,24,13.7,116,66.3,Too Few Students,Too Few Students,Too Few Students,Too Few Students
631:191,Lovejoy Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:195,River's Edge Elementary School,15,0,0,0,0,12,80,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:197,Kendrick Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0,0,0
631:199,Hawthorne Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:200,Roberta T. Smith Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students
631:203,Harper Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:204,Martin Luther King Jr. Elementary School,10,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:205,Kemp Primary,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:2052,North Clayton High School,144,Too Few Students,Too Few Students,Too Few Students,Too Few Students,121,84,52,36.1,Too Few Students,Too Few Students,92,63.9,Too Few Students,Too Few Students,Too Few Students,Too Few Students
631:2054,Forest Park Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
631:2058,Morrow Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:2060,Riverdale Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
631:2062,West Clayton Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
631:207,Rex Mill Middle School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:2554,Fountain Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:276,Oliver Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:277,Pointe South Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:290,Mount Zion High School,161,Too Few Students,Too Few Students,Too Few Students,Too Few Students,116,72,54,33.5,25,15.5,107,66.5,11,6.8,Too Few Students,Too Few Students
631:295,Lake Ridge Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:304,James Jackson Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:305,Kemp Elem School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
631:3050,Babb Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:3052,North Clayton Middle School,15,0,0,0,0,13,86.7,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,66.7,0,0,0,0
631:3054,Haynie Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:3058,Morrow Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0
631:306,Lewis Academy of Excellence,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0,0,0,0,0
631:3060,Riverdale Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
631:307,Unidos Dual Language Charter School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:377,Riverdale High School,164,0,0,14,8.5,129,78.7,63,38.4,16,9.8,101,61.6,Too Few Students,Too Few Students,0,0
631:4050,Church Street Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0
631:4054,Hendrix Drive Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:4056,Lake City Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631:4058,Morrow High School,154,Too Few Students,Too Few Students,10,6.5,97,63,50,32.5,25,16.2,104,67.5,Too Few Students,Too Few Students,14,9.1
631:4060,Suder Elementary School,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:5052,Edmonds Elementary School,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
631:5054,Huie Elementary School,20,0,0,0,0,11,55,11,55,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:5056,William M. McGarrah Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:5060,Swint Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
631:ALL,Clayton County,1738,Too Few Students,Too Few Students,64,3.7,1233,70.9,622,35.8,310,17.8,1116,64.2,58,3.3,69,4
632:101,Clinch County Primary School,28,0,0,0,0,14,50,11,39.3,Too Few Students,Too Few Students,17,60.7,0,0,12,42.9
632:1050,Clinch County High School,20,0,0,0,0,13,65,Too Few Students,Too Few Students,0,0,12,60,0,0,Too Few Students,Too Few Students
632:201,Clinch County Elementary,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
632:301,Fargo Charter School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632:ALL,Clinch County,55,0,0,0,0,32,58.2,22,40,Too Few Students,Too Few Students,33,60,0,0,21,38.2
633:101,Kennesaw Mountain High School,114,0,0,Too Few Students,Too Few Students,35,30.7,56,49.1,25,21.9,58,50.9,0,0,50,43.9
633:102,Riverside Intermediate School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:103,Kell High School,119,Too Few Students,Too Few Students,0,0,34,28.6,44,37,19,16,75,63,0,0,62,52.1
633:104,Bullard Elementary School,14,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,71.4,0,0,Too Few Students,Too Few Students
633:1052,Belmont Hills Elementary School,26,0,0,0,0,12,46.2,11,42.3,12,46.2,15,57.7,0,0,Too Few Students,Too Few Students
633:1054,Campbell High School,349,Too Few Students,Too Few Students,Too Few Students,Too Few Students,185,53,173,49.6,114,32.7,176,50.4,0,0,48,13.8
633:1056,East Cobb Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:1058,East Side Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:1060,Garrett Middle School,13,0,0,0,0,11,84.6,Too Few Students,Too Few Students,0,0,10,76.9,0,0,Too Few Students,Too Few Students
633:1064,McEachern High School,146,Too Few Students,Too Few Students,0,0,102,69.9,45,30.8,15,10.3,101,69.2,0,0,26,17.8
633:1066,Norton Park Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:1067,Powers Ferry Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:1068,Sky View Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:1069,Wheeler High School,197,0,0,Too Few Students,Too Few Students,110,55.8,67,34,48,24.4,130,66,0,0,36,18.3
633:107,McCall Primary School,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:109,Pickett's Mill Elementary,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:110,Imagine International Academy of Smyrna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633:111,Imagine International Academy of Mableton,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,0,0
633:173,Birney Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:175,Walton High School,46,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,18,39.1,Too Few Students,Too Few Students,28,60.9,0,0,23,50
633:178,Mabry Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633:180,Still Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:181,Tritt Elementary School,Too Few Students,0,0,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:184,McCleskey Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:185,Garrison Mill Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:186,Oakwood High School,65,Too Few Students,Too Few Students,Too Few Students,Too Few Students,38,58.5,30,46.2,12,18.5,35,53.8,0,0,11,16.9
633:187,Keheley Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:188,Pope High School,34,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,29.4,Too Few Students,Too Few Students,24,70.6,0,0,20,58.8
633:189,Baker Elementary School,14,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:190,Dowell Elementary School,14,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:191,Varner Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:192,Harrison High School,45,0,0,Too Few Students,Too Few Students,13,28.9,19,42.2,Too Few Students,Too Few Students,26,57.8,0,0,29,64.4
633:194,Hayes Elementary School,13,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:197,Vaughan Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:198,Chalker Elementary School,10,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:199,Nickajack Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:202,Lindley Middle School,10,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,10,100,0,0,0,0
633:203,Kemp Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:204,Pitner Elementary School,13,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,10,76.9,0,0,11,84.6
633:2050,Argyle Elementary School,18,0,0,0,0,10,55.6,10,55.6,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:2054,Clarkdale Elementary School,12,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:2056,North Cobb High School,172,Too Few Students,Too Few Students,Too Few Students,Too Few Students,79,45.9,67,39,32,18.6,105,61,0,0,57,33.1
633:2062,King Springs Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:2066,Osborne High School,254,Too Few Students,Too Few Students,Too Few Students,Too Few Students,106,41.7,100,39.4,130,51.2,154,60.6,0,0,16,6.3
633:207,Austell Primary School,27,0,0,0,0,14,51.9,18,66.7,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:209,Allatoona High School,88,Too Few Students,Too Few Students,Too Few Students,Too Few Students,19,21.6,32,36.4,10,11.4,56,63.6,0,0,55,62.5
633:2560,Griffin Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:273,Kincaid Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:275,Dodgen Middle School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633:278,Mount Bethel Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:280,Pine Mountain Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:281,Dickerson Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:287,Lewis Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:288,Mountain View Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633:289,Addison Elementary School,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:290,Campbell Middle School,Too Few Students,0,0,0,0,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:291,Shallowford Falls Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:292,Ford Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:294,Smitha Middle School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:297,Frey Elementary School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633:298,Cheatham Hill Elementary School,17,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,12,70.6,0,0,Too Few Students,Too Few Students
633:299,Durham Middle School,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:302,Acworth Intermediate School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:304,Kennesaw Charter School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:3054,Clay Elementary School,14,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,11,78.6,0,0,Too Few Students,Too Few Students
633:3056,South Cobb High School,210,0,0,Too Few Students,Too Few Students,133,63.3,85,40.5,37,17.6,125,59.5,0,0,39,18.6
633:3058,Fair Oaks Elementary School,16,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,81.3,10,62.5,0,0,Too Few Students,Too Few Students
633:3060,Harmony-Leland Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:3062,LaBelle Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:3064,Milford Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:3067,Russell Elementary School,11,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:307,Riverside Primary School,20,0,0,0,0,13,65,Too Few Students,Too Few Students,Too Few Students,Too Few Students,13,65,0,0,0,0
633:309,Lindley 6th Grade Academy,10,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,0,0
633:3556,Compton Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:373,Sprayberry High School,88,Too Few Students,Too Few Students,Too Few Students,Too Few Students,26,29.5,35,39.8,13,14.8,53,60.2,0,0,47,53.4
633:375,Murdock Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students
633:378,Rocky Mount Elementary School,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students,0,0,0,0,0,0,Too Few Students,Too Few Students
633:381,Lassiter High School,80,0,0,Too Few Students,Too Few Students,15,18.8,33,41.3,Too Few Students,Too Few Students,47,58.8,0,0,54,67.5
633:388,Davis Elementary School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
633:389,Simpson Middle School,Too Few Students,0,0,0,0,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students,Too Few Students,Too Few Students,0,0,Too Few Students,Too Few Students
