"SysSchoolID","SchoolName","Number Tested All Students","Below Target All Students","On Target All Students","Exceeds Target All Students","Number Tested Economically Disadvantaged","Below Target Economically Disadvantaged","On Target Economically Disadvantaged","Exceeds Target Economically Disadvantaged","Number Tested Migrant","Below Target Migrant","On Target Migrant","Exceeds Target Migrant","Number Tested Not Economically Disadv.","Below Target Not Economically Disadv.","On Target Not Economically Disadv.","Exceeds Target Not Economically Disadv.","Number Tested Asian","Below Target Asian","On Target Asian","Exceeds Target Asian","Number Tested Black","Below Target Black","On Target Black","Exceeds Target Black","Number Tested Female","Below Target Female","On Target Female","Exceeds Target Female","Number Tested Hispanic","Below Target Hispanic","On Target Hispanic","Exceeds Target Hispanic","Number Tested Limited English Proficient","Below Target Limited English Proficient","On Target Limited English Proficient","Exceeds Target Limited English Proficient","Number Tested Male","Below Target Male","On Target Male","Exceeds Target Male","Number Tested Native Amer/Alaskan Native","Below Target Native Amer/Alaskan Native","On Target Native Amer/Alaskan Native","Exceeds Target Native Amer/Alaskan Native","Number Tested Students without Disabilities","Below Target Students without Disabilities","On Target Students without Disabilities","Exceeds Target Students without Disabilities","Number Tested Students with Disabilities","Below Target Students with Disabilities","On Target Students with Disabilities","Exceeds Target Students with Disabilities","Number Tested Multiracial","Below Target Multiracial","On Target Multiracial","Exceeds Target Multiracial","Number Tested White","Below Target White","On Target White","Exceeds Target White"
"625:299","Southwest Middle School","290","15","77","8","117","21","75","4","","","","","173","11","78","11","3","","","","168","18","76","5","151","7","83","10","9","","","","","","","","139","24","70","6","1","","","","260","10","81","9","30","60","40","0","8","","","","101","9","77","14"
"625:301","Myers Middle School ","279","28","70","2","210","30","68","1","","","","","69","22","75","3","1","","","","251","28","71","1","144","19","80","1","","","","","","","","","135","39","59","2","","","","","246","24","74","2","33","64","36","0","2","","","","25","32","60","8"
"625:400","Oglethorpe Academy","89","3","83","13","17","6","88","6","","","","","72","3","82","15","3","","","","29","10","86","3","53","4","75","21","1","","","","","","","","36","3","94","3","","","","","86","3","84","13","3","","","","3","","","","53","0","81","19"
"625:4054","Ellis Elementary School","23","9","74","17","7","","","","","","","","16","0","75","25","","","","","13","15","85","0","13","0","77","23","1","","","","","","","","10","","","","","","","","22","9","73","18","1","","","","","","","","9","","",""
"625:4066","Shuman Middle School","250","28","70","2","193","33","65","2","","","","","57","12","86","2","11","27","73","0","205","26","72","2","126","17","79","4","12","83","17","0","19","63","37","0","124","40","60","0","2","","","","226","23","75","2","24","75","25","0","1","","","","19","16","79","5"
"625:5050","Bartlett Middle School","235","26","72","2","133","26","72","2","","","","","102","25","73","2","1","","","","181","26","72","2","108","20","78","2","8","","","","","","","","127","31","68","2","1","","","","214","21","77","2","21","71","29","0","","","","","44","25","73","2"
"625:5062","Mercer Middle School","257","22","75","3","163","26","72","2","","","","","94","15","80","5","","","","","189","26","72","1","135","13","84","4","5","","","","","","","","122","33","65","2","","","","","239","17","79","3","18","89","11","0","","","","","63","11","79","10"
"625:ALL","Chatham County","2559","21","74","5","1468","26","72","3","","","","","1091","14","77","9","41","10","80","10","1742","24","74","3","1309","14","79","7","52","35","60","6","20","60","40","0","1250","28","68","4","4","","","","2302","16","78","6","257","63","37","0","25","28","72","0","695","13","75","12"
"626:201","Chattahoochee County Middle School","46","22","67","11","46","22","67","11","","","","","","","","","","","","","16","25","69","6","24","17","63","21","","","","","","","","","22","27","73","0","","","","","39","8","79","13","7","","","","1","","","","29","21","69","10"
"626:ALL","Chattahoochee County","46","22","67","11","46","22","67","11","","","","","","","","","","","","","16","25","69","6","24","17","63","21","","","","","","","","","22","27","73","0","","","","","39","8","79","13","7","","","","1","","","","29","21","69","10"
"627:2050","Lyerly Elementary School","57","21","77","2","38","24","74","3","","","","","19","16","84","0","","","","","","","","","29","21","76","3","1","","","","","","","","28","21","79","0","","","","","42","10","88","2","15","53","47","0","1","","","","55","18","80","2"
"627:2052","Summerville Middle School","139","22","69","9","","","","","","","","","139","22","69","9","","","","","19","16","79","5","58","9","81","10","5","","","","1","","","","81","32","60","7","","","","","117","11","79","10","22","82","18","0","3","","","","112","23","67","10"
"627:3050","Menlo Elementary School","30","23","70","7","","","","","","","","","30","23","70","7","","","","","","","","","11","0","91","9","","","","","","","","","19","37","58","5","","","","","22","14","77","9","8","","","","","","","","30","23","70","7"
"627:ALL","Chattooga County","226","22","71","7","38","24","74","3","","","","","188","22","71","7","","","","","19","16","79","5","98","11","81","8","6","","","","1","","","","128","30","64","5","","","","","181","11","81","8","45","67","33","0","4","","","","197","22","71","7"
"628:181","Booth Middle School","587","10","74","16","84","21","70","8","","","","","503","8","75","17","4","","","","25","12","80","8","289","6","72","22","25","36","60","4","6","","","","298","14","76","10","1","","","","525","6","76","18","62","40","58","2","7","","","","525","9","74","17"
"628:187","Rusk Middle School","499","10","76","14","52","23","65","12","","","","","447","8","78","14","4","","","","11","9","82","9","277","6","77","17","16","19","75","6","4","","","","222","14","76","10","3","","","","430","5","79","16","69","39","59","1","2","","","","463","9","77","15"
"628:287","Teasley Middle School","569","16","76","7","121","31","66","3","3","","","","448","13","79","8","1","","","","33","27","70","3","258","9","80","11","44","34","61","5","13","77","23","0","311","23","73","4","","","","","481","10","82","9","88","53","47","0","2","","","","489","14","78","8"
"628:297","Woodstock Middle School","624","10","78","12","106","23","74","4","","","","","518","7","79","14","12","0","100","0","41","22","76","2","322","7","75","18","43","33","65","2","16","44","56","0","302","13","82","6","1","","","","553","8","79","13","71","25","73","1","3","","","","524","7","79","14"
"628:ALL","Cherokee County","2279","11","76","12","363","25","69","6","3","","","","1916","9","78","14","21","10","86","5","110","20","75","5","1146","7","76","17","128","32","64","4","39","64","36","0","1133","16","77","7","5","","","","1989","7","79","14","290","40","59","1","14","14","79","7","2001","10","77","13"
"629:1058","Clarke Middle School","187","22","61","17","103","34","63","3","7","","","","84","8","58","33","11","27","36","36","94","24","70","5","93","17","61","22","22","59","36","5","13","100","0","0","94","28","61","12","","","","","172","19","63","18","15","67","33","0","4","","","","56","4","61","36"
"629:196","Coile Middle School","234","36","59","4","199","37","60","3","15","73","27","0","35","31","54","14","","","","","169","32","65","3","112","26","69","5","35","63","31","6","17","88","12","0","122","46","51","3","","","","","187","27","68","5","47","74","26","0","5","","","","25","24","64","12"
"629:5058","Hilsman Middle School","232","25","63","13","118","41","58","2","2","","","","114","8","68","25","15","7","60","33","119","39","58","3","111","19","66","15","7","","","","4","","","","121","30","60","11","1","","","","204","18","67","15","28","71","29","0","7","","","","83","5","69","27"
"629:ALL","Clarke County","857","29","62","9","563","36","61","2","31","74","26","0","294","14","64","23","30","13","57","30","500","31","65","4","427","21","68","11","110","56","41","3","53","87","13","0","430","37","56","7","2","","","","738","22","67","11","119","69","31","0","20","35","60","5","195","9","66","25"
"630:104","Clay County Middle School","23","26","74","0","23","26","74","0","","","","","","","","","","","","","23","26","74","0","16","25","75","0","","","","","","","","","7","","","","","","","","21","29","71","0","2","","","","","","","","","","",""
"630:ALL","Clay County","23","26","74","0","23","26","74","0","","","","","","","","","","","","","23","26","74","0","16","25","75","0","","","","","","","","","7","","","","","","","","21","29","71","0","2","","","","","","","","","","",""
"631:100","M. D. Roberts Middle School","393","16","70","15","162","20","75","5","","","","","231","13","66","21","8","","","","237","18","74","8","188","7","71","21","18","39","61","0","5","","","","205","23","68","8","","","","","357","12","72","16","36","56","44","0","19","16","53","32","111","9","66","25"
"631:174","Mundy's Mill Middle School","297","20","77","3","151","28","69","3","","","","","146","12","85","3","2","","","","246","20","77","3","134","11","83","6","10","","","","2","","","","163","28","72","1","1","","","","251","12","84","4","46","63","37","0","10","","","","28","29","68","4"
"631:177","Adamson Middle School","416","29","69","3","251","32","66","2","","","","","165","24","73","3","9","","","","310","27","71","2","208","18","76","5","35","49","51","0","19","42","58","0","208","39","61","0","","","","","362","20","77","3","54","87","13","0","12","25","75","0","50","30","62","8"
"631:191","Lovejoy Middle School","369","16","75","9","155","20","74","6","","","","","214","14","76","11","10","","","","245","17","77","6","182","7","79","14","15","27","67","7","1","","","","187","25","72","3","1","","","","335","10","80","10","34","74","26","0","13","8","92","0","85","16","67","16"
"631:197","Kendrick Middle School","463","30","67","3","318","32","64","4","","","","","145","25","72","3","17","24","65","12","380","26","71","3","256","21","73","6","45","67","31","2","32","81","19","0","207","41","59","0","1","","","","435","26","70","4","28","86","14","0","8","","","","12","25","75","0"
"631:2054","Forest Park Middle School","212","26","67","7","184","26","67","7","","","","","28","32","61","7","7","","","","130","24","68","8","109","17","72","12","35","37","57","6","21","52","48","0","103","37","61","2","","","","","190","21","72","8","22","77","23","0","7","","","","33","24","70","6"
"631:2056","Jonesboro Middle School","183","20","70","10","131","27","64","9","","","","","52","2","87","12","4","","","","115","17","73","10","90","14","68","18","27","37","52","11","16","63","31","6","93","25","73","2","","","","","153","12","76","12","30","60","40","0","5","","","","32","16","78","6"
"631:277","Pointe South Middle School","368","28","69","3","271","30","67","3","","","","","97","22","75","3","3","","","","323","28","69","3","179","21","77","3","9","","","","5","","","","189","34","62","4","1","","","","326","22","74","4","42","69","31","0","6","","","","26","35","62","4"
"631:3050","Babb Middle School","354","19","71","10","294","22","69","9","","","","","60","2","82","17","36","6","83","11","227","15","75","10","185","8","77","15","50","38","56","6","55","36","56","7","169","30","64","5","","","","","312","14","74","12","42","52","48","0","8","","","","33","30","58","12"
"631:3052","North Clayton Middle School","317","22","76","2","243","21","77","2","","","","","74","27","73","0","14","21","79","0","284","22","76","2","165","16","82","2","7","","","","8","","","","152","28","70","1","","","","","281","15","83","1","36","75","22","3","11","9","91","0","1","","",""
"631:3058","Morrow Middle School","353","33","64","3","259","39","59","2","","","","","94","18","78","4","42","26","71","2","232","33","64","3","166","22","75","4","26","54","46","0","18","83","17","0","187","44","54","2","","","","","304","26","71","3","49","80","20","0","11","9","82","9","42","38","60","2"
"631:3060","Riverdale Middle School","337","27","67","6","232","28","69","2","","","","","105","24","63","13","21","24","67","10","290","27","68","6","160","14","79","7","7","","","","9","","","","177","38","57","5","2","","","","301","22","71","6","36","67","33","0","7","","","","10","","",""
"631:ALL","Clayton County","4062","24","70","6","2651","28","68","4","","","","","1411","17","74","9","173","16","73","11","3019","23","72","5","2022","15","76","9","284","43","54","4","191","57","40","3","2040","33","64","3","6","","","","3607","18","75","7","455","71","29","0","117","16","74","9","463","22","65","12"
"632:1050","Clinch County High School","115","50","49","1","5","","","","3","","","","110","49","50","1","","","","","50","70","30","0","52","37","63","0","1","","","","","","","","63","62","37","2","","","","","92","41","58","1","23","87","13","0","","","","","64","36","63","2"
"632:ALL","Clinch County","115","50","49","1","5","","","","3","","","","110","49","50","1","","","","","50","70","30","0","52","37","63","0","1","","","","","","","","63","62","37","2","","","","","92","41","58","1","23","87","13","0","","","","","64","36","63","2"
"633:1056","East Cobb Middle School","408","20","70","11","152","32","65","3","1","","","","256","12","72","16","24","13","79","8","177","28","67","5","192","14","71","16","39","36","59","5","36","44","56","0","216","25","69","6","","","","","359","16","72","12","49","47","53","0","20","5","80","15","148","8","72","20"
"633:1060","Garrett Middle School","304","21","72","6","178","26","69","5","","","","","126","14","78","8","4","","","","168","22","72","6","127","10","82","8","35","23","71","6","12","50","50","0","177","29","66","5","1","","","","261","14","79","7","43","65","35","0","13","15","85","0","83","18","75","7"
"633:178","Mabry Middle School","304","4","68","28","10","","","","","","","","294","3","69","28","13","8","46","46","15","20","60","20","154","1","64","35","5","","","","2","","","","150","8","72","20","1","","","","265","2","67","31","39","21","74","5","9","","","","261","3","70","26"
"633:184","McCleskey Middle School","274","6","72","23","44","14","77","9","","","","","230","4","70","25","5","","","","39","10","77","13","136","4","65","30","12","25","42","33","2","","","","138","7","78","15","","","","","227","4","70","26","47","17","79","4","9","","","","209","4","73","23"
"633:202","Lindley Middle School","415","33","65","3","277","38","61","1","","","","","138","22","72","5","2","","","","319","31","66","3","194","21","74","6","60","42","58","0","15","93","7","0","221","43","57","0","","","","","373","27","70","3","42","81","19","0","7","","","","27","33","59","7"
"633:2560","Griffin Middle School","303","20","72","9","172","26","72","2","1","","","","131","11","72","17","7","","","","128","16","80","4","141","14","74","12","75","39","60","1","34","62","38","0","162","25","70","6","","","","","266","14","76","10","37","59","41","0","5","","","","88","11","68","20"
"633:275","Dodgen Middle School","298","7","70","22","7","","","","","","","","291","7","70","23","36","8","50","42","16","6","88","6","136","2","68","29","7","","","","2","","","","162","12","72","17","","","","","251","6","69","25","47","17","77","6","4","","","","235","8","71","21"
"633:280","Pine Mountain Middle School","421","10","72","17","54","19","72","9","","","","","367","9","72","19","16","19","69","13","57","14","77","9","215","5","68","27","32","28","69","3","12","58","42","0","206","16","77","7","2","","","","381","8","73","19","40","35","63","3","11","9","64","27","303","7","73","20"
"633:281","Dickerson Middle School","525","2","49","48","9","","","","","","","","516","2","49","49","52","2","54","44","15","20","67","13","258","1","44","55","13","23","46","31","6","","","","267","4","54","42","","","","","481","1","46","52","44","14","80","7","11","9","36","55","434","1","48","50"
"633:290","Campbell Middle School","374","27","67","6","244","34","63","3","","","","","130","15","74","12","8","","","","195","25","71","4","175","17","74","9","97","40","59","1","31","68","32","0","199","36","60","4","4","","","","323","22","71","7","51","59","41","0","5","","","","65","15","66","18"
"633:299","Durham Middle School","563","6","74","21","29","21","72","7","","","","","534","5","74","22","17","12","59","29","45","16","71","13","283","3","67","30","14","14","71","14","6","","","","280","9","80","11","1","","","","512","4","73","23","51","25","75","0","9","","","","477","4","75","21"
"633:389","Simpson Middle School","295","4","58","38","15","20","73","7","","","","","280","3","58","39","18","11","33","56","25","4","80","16","139","4","52","45","9","","","","5","","","","156","4","64","31","","","","","260","2","57","41","35","17","71","11","2","","","","241","3","58","39"
"633:394","Hightower Trail Middle School","381","2","58","40","13","8","69","23","","","","","368","1","58","41","20","0","55","45","20","5","40","55","192","0","52","48","11","0","55","45","2","","","","189","3","64","33","","","","","339","1","55","44","42","7","79","14","6","","","","324","1","59","40"
"633:4050","Awtrey Middle School","453","20","75","5","95","35","63","2","","","","","358","16","78","6","17","35","59","6","98","27","72","1","215","12","80","9","33","33","55","12","15","60","40","0","238","27","71","2","1","","","","400","15","79","6","53","57","43","0","27","4","89","7","277","16","78","5"
"633:4056","Daniell Middle School","331","14","74","12","69","10","78","12","","","","","262","15","73","13","25","12","80","8","66","17","79","5","175","7","79","13","27","22","78","0","5","","","","156","21","67","12","2","","","","274","10","75","15","57","32","67","2","11","55","36","9","200","10","73","18"
"633:475","Tapp Middle School","366","16","75","9","138","22","74","4","2","","","","228","12","76","12","3","","","","174","18","76","5","181","11","76","13","22","41","59","0","7","","","","185","21","75","4","1","","","","307","9","80","10","59","51","49","0","8","","","","158","10","77","13"
"633:499","Lost Mountain Middle School","501","5","76","19","23","17","65","17","","","","","478","4","76","19","4","","","","44","14","73","14","226","2","71","27","9","","","","2","","","","275","8","80","12","","","","","437","2","76","22","64","25","73","2","4","","","","440","4","75","20"
"633:502","Cooper Middle School","348","24","75","1","129","36","64","0","","","","","219","17","82","1","2","","","","183","21","79","0","144","16","83","1","24","50","50","0","10","","","","204","30","70","0","6","","","","292","17","82","1","56","59","41","0","11","18","73","9","122","22","76","2"
"633:5058","Floyd Middle School","294","20","74","5","152","30","68","1","","","","","142","10","81","9","6","","","","129","22","74","3","150","15","76","9","50","42","56","2","18","83","17","0","144","26","73","1","","","","","244","14","80","6","50","50","50","0","4","","","","105","9","83","9"
"633:602","Palmer Middle School","426","10","70","19","71","18","73","8","1","","","","355","9","70","22","19","5","63","32","86","19","66","15","193","2","73","25","19","21","74","5","6","","","","233","17","68","15","2","","","","371","6","71","22","55","36","62","2","15","20","80","0","285","7","71","22"
"633:ALL","Cobb County","8036","14","69","17","2063","29","67","4","5","","","","5973","9","70","22","312","11","61","29","2231","22","72","6","3856","8","69","23","647","34","61","5","246","65","35","0","4180","19","69","12","21","38","52","10","7014","10","70","19","1022","39","58","2","206","14","72","15","4619","7","69","24"
"634:295","West Coffee Middle School","382","15","75","10","245","20","74","6","23","39","61","0","137","7","77","17","2","","","","152","22","73","5","179","12","75","13","30","33","63","3","9","","","","203","19","75","6","1","","","","338","9","80","11","44","68","32","0","3","","","","194","8","78","14"
"634:4550","East Coffee Middle School","200","35","60","6","132","42","53","5","12","58","42","0","68","19","72","9","2","","","","68","49","50","1","102","25","67","9","13","54","46","0","4","","","","98","45","52","3","1","","","","173","26","67","7","27","89","11","0","3","","","","113","24","68","8"
"634:ALL","Coffee County","582","22","70","8","377","28","67","5","35","46","54","0","205","11","75","14","4","","","","220","30","66","4","281","16","72","12","43","40","58","2","13","77","23","0","301","27","67","5","2","","","","511","14","76","10","71","76","24","0","6","","","","307","14","75","12"
"635:3052","Gray Middle School","308","19","61","19","176","24","65","11","19","16","68","16","132","14","56","30","","","","","77","31","62","6","161","11","66","24","37","22","62","16","11","55","45","0","147","29","56","14","","","","","283","14","65","21","25","84","16","0","11","18","64","18","183","14","61","25"
"635:5052","Willie J. Williams Middle School","348","21","68","11","199","28","67","5","15","47","53","0","149","11","69","19","","","","","115","30","64","5","177","14","70","16","24","42","58","0","9","","","","171","29","65","6","","","","","304","14","73","13","44","70","30","0","6","","","","203","14","70","16"
"635:ALL","Colquitt County","656","20","65","15","375","26","66","8","34","29","62","9","281","12","63","25","","","","","192","31","64","6","338","12","68","20","61","30","61","10","20","60","40","0","318","29","61","10","","","","","587","14","70","17","69","75","25","0","17","12","71","18","386","14","66","20"
"636:101","Greenbrier Middle School","236","10","83","8","35","9","91","0","","","","","201","10","81","9","5","","","","32","13","84","3","121","5","83","12","3","","","","","","","","115","15","82","3","","","","","210","5","87","8","26","50","46","4","3","","","","193","9","82","9"
"636:103","Grovetown Middle School","154","28","68","4","67","37","60","3","","","","","87","21","75","5","4","","","","36","31","67","3","81","17","78","5","9","","","","","","","","73","40","58","3","","","","","137","21","74","4","17","82","18","0","8","","","","97","28","68","4"
"636:176","Evans Middle School","246","15","81","4","39","28","72","0","","","","","207","13","83","4","6","","","","40","28","73","0","120","9","84","7","6","","","","","","","","126","21","78","1","","","","","220","13","83","4","26","35","65","0","5","","","","189","13","83","4"
"636:193","Riverside Middle School","306","12","77","11","15","33","67","0","","","","","291","11","78","11","15","13","73","13","37","11","84","5","149","6","77","17","6","","","","4","","","","157","18","78","4","","","","","284","8","80","12","22","64","36","0","3","","","","245","12","77","11"
"636:2050","Columbia Middle School","233","15","81","4","43","21","72","7","","","","","190","14","83","3","4","","","","38","16","84","0","127","5","91","5","4","","","","","","","","106","28","69","3","","","","","211","10","85","4","22","64","36","0","7","","","","180","15","80","5"
"636:283","Harlem Middle School","148","18","80","1","61","23","74","3","","","","","87","15","85","0","","","","","32","19","78","3","81","11","86","2","","","","","","","","","67","27","73","0","","","","","127","13","85","2","21","48","52","0","1","","","","115","17","82","1"
"636:290","Lakeside Middle School","277","8","83","9","59","12","81","7","","","","","218","7","83","9","19","21","68","11","38","26","68","5","137","5","80","15","3","","","","6","","","","140","11","86","3","","","","","252","6","84","10","25","28","72","0","5","","","","212","4","88","8"
"636:ALL","Columbia County","1600","14","80","6","319","23","73","3","","","","","1281","12","81","7","53","17","74","9","253","21","77","3","816","8","83","10","31","16","77","6","10","","","","784","21","76","3","","","","","1441","10","83","7","159","51","48","1","32","22","69","9","1231","13","81","7"
"637:101","Cook County Middle School","216","25","70","5","132","32","67","2","5","","","","84","15","75","10","1","","","","95","39","59","2","95","11","80","9","8","","","","","","","","121","37","62","1","","","","","191","19","75","5","25","72","28","0","1","","","","111","14","79","7"
"637:ALL","Cook County","216","25","70","5","132","32","67","2","5","","","","84","15","75","10","1","","","","95","39","59","2","95","11","80","9","8","","","","","","","","121","37","62","1","","","","","191","19","75","5","25","72","28","0","1","","","","111","14","79","7"
"638:1056","Evans Middle School","230","20","72","7","94","31","66","3","","","","","136","13","76","10","2","","","","77","30","66","4","120","17","75","8","3","","","","","","","","110","25","69","6","","","","","194","12","79","8","36","64","33","3","1","","","","147","16","74","10"
"638:289","East Coweta Middle School","316","16","78","6","77","26","70","4","","","","","239","13","81","6","","","","","46","30","70","0","157","10","82","8","7","","","","","","","","159","23","74","3","1","","","","272","10","83","6","44","52","45","2","3","","","","259","13","80","7"
"706:2050","Arnold Middle School","188","16","69","15","98","26","65","9","","","","","90","7","72","21","4","","","","74","23","62","15","99","15","66","19","10","","","","3","","","","89","18","72","10","","","","","168","13","71","16","20","50","45","5","2","","","","98","12","76","12"
"706:2066","Richards Middle School","202","13","83","3","104","18","78","4","","","","","98","8","89","3","4","","","","105","17","80","3","102","9","87","4","8","","","","2","","","","100","18","79","3","","","","","185","11","85","4","17","41","59","0","2","","","","83","11","84","5"
"706:2067","Rothschild Middle School","188","27","69","4","139","29","68","4","","","","","49","22","71","6","","","","","174","28","68","4","99","19","76","5","2","","","","","","","","89","36","61","3","","","","","174","23","72","5","14","79","21","0","2","","","","10","","",""
"706:300","Baker Middle School","174","45","53","2","147","48","51","1","","","","","27","30","67","4","","","","","157","42","56","2","82","37","61","2","8","","","","6","","","","92","52","47","1","","","","","142","35","63","2","32","91","9","0","","","","","9","","",""
"706:301","East Columbus Magnet Academy","242","18","77","5","154","21","74","5","","","","","88","13","82","6","2","","","","222","19","77","4","126","10","82","8","11","18","64","18","","","","","116","27","72","2","1","","","","223","15","80","5","19","58","42","0","3","","","","3","","",""
"706:401","Double Churches Middle School","240","13","80","8","73","25","73","3","","","","","167","7","83","10","9","","","","66","17","79","5","113","9","81","10","7","","","","1","","","","127","16","79","6","","","","","206","4","87","8","34","62","35","3","7","","","","151","11","79","9"
"706:5058","Eddy Middle School","200","38","62","1","145","39","61","0","","","","","55","36","62","2","5","","","","170","39","61","1","96","25","74","1","4","","","","1","","","","104","50","50","0","1","","","","169","30","69","1","31","81","19","0","2","","","","18","39","61","0"
"706:ALL","Muscogee County","2362","22","73","5","1271","30","68","3","","","","","1091","13","80","7","43","9","81","9","1466","28","69","3","1168","16","78","6","72","18","78","4","18","67","28","6","1194","28","69","3","2","","","","2067","16","79","5","295","62","37","1","36","8","72","19","743","12","81","7"
"707:101","Veterans Memorial Middle School","322","16","79","4","127","25","74","1","","","","","195","11","83","7","2","","","","125","20","77","3","156","8","83","9","10","","","","","","","","166","24","76","0","3","","","","276","12","83","5","46","43","57","0","6","","","","176","13","81","6"
"707:195","Clements Middle School","315","20","77","3","161","22","76","2","","","","","154","18","79","3","2","","","","189","19","79","2","158","13","82","5","7","","","","","","","","157","27","72","1","3","","","","266","11","85","3","49","67","33","0","7","","","","107","21","74","5"
"707:196","Cousins Middle School","221","17","79","4","101","22","77","1","","","","","120","13","81","6","2","","","","92","24","75","1","99","12","83","5","8","","","","7","","","","122","21","76","2","1","","","","190","9","86","4","31","65","35","0","2","","","","116","11","83","6"
"707:398","Indian Creek Middle School","260","21","73","6","97","35","64","1","","","","","163","12","79","9","","","","","72","36","63","1","135","13","77","10","4","","","","","","","","125","29","70","2","1","","","","225","16","77","7","35","51","49","0","1","","","","182","14","78","8"
"707:ALL","Newton County","1118","19","77","4","486","25","73","1","","","","","632","13","80","6","6","","","","478","23","75","2","548","11","81","7","29","31","69","0","7","","","","570","25","74","1","8","","","","957","12","83","5","161","57","43","0","16","13","88","0","581","15","79","6"
"708:193","Oconee County Middle School","294","7","64","29","56","25","66","9","","","","","238","3","63","34","6","","","","13","46","54","0","144","4","60","36","7","","","","5","","","","150","10","67","23","4","","","","269","5","64","31","25","32","60","8","2","","","","262","5","65","31"
"708:198","Malcom Bridge Middle School","175","6","68","26","34","12","71","18","","","","","141","5","67","28","5","","","","4","","","","89","2","64","34","9","","","","2","","","","86","10","72","17","","","","","160","4","69","27","15","27","60","13","1","","","","156","6","67","27"
"708:ALL","Oconee County","469","7","65","28","90","20","68","12","","","","","379","4","65","32","11","9","55","36","17","35","65","0","233","3","61","35","16","13","69","19","7","","","","236","10","69","21","4","","","","429","5","66","30","40","30","60","10","3","","","","418","5","66","29"
"709:3050","Oglethorpe County Middle School","183","20","64","16","77","30","60","10","","","","","106","12","68","20","","","","","33","36","55","9","91","11","69","20","3","","","","","","","","92","28","60","12","","","","","160","13","70","17","23","65","26","9","1","","","","146","16","66","17"
"709:ALL","Oglethorpe County","183","20","64","16","77","30","60","10","","","","","106","12","68","20","","","","","33","36","55","9","91","11","69","20","3","","","","","","","","92","28","60","12","","","","","160","13","70","17","23","65","26","9","1","","","","146","16","66","17"
"710:192","South Paulding Middle School","318","14","70","16","88","24","70","6","","","","","230","10","70","20","","","","","48","13","77","10","148","5","73","22","5","","","","","","","","170","21","68","11","","","","","286","9","73","18","32","56","44","0","3","","","","262","13","69","17"
"710:201","Lena Mae Moses Middle School","294","15","78","6","54","20","76","4","","","","","240","14","79","7","","","","","14","36","64","0","138","11","78","11","4","","","","","","","","156","19","78","3","","","","","263","12","81","7","31","45","55","0","3","","","","273","15","78","7"
"710:2352","Herschel Jones Middle School","327","16","77","7","149","23","72","5","","","","","178","10","81","9","1","","","","55","24","73","4","154","7","81","12","10","","","","2","","","","173","24","73","3","","","","","277","9","83","8","50","54","44","2","5","","","","256","14","79","8"
"710:297","J. A. Dobbins Middle School","356","14","77","9","92","24","68","8","","","","","264","11","80","9","2","","","","78","12","82","6","175","6","83","11","3","","","","3","","","","181","22","71","7","","","","","315","9","81","10","41","56","44","0","3","","","","270","15","75","10"
"710:394","East Paulding Middle School","319","18","77","5","83","27","70","4","","","","","236","15","79","6","2","","","","36","25","72","3","153","9","81","10","6","","","","1","","","","166","26","73","1","","","","","267","12","82","6","52","50","50","0","3","","","","272","16","78","6"
"710:ALL","Paulding County","1614","15","76","9","466","24","71","5","","","","","1148","12","78","10","5","","","","231","18","76","6","768","7","80","13","28","21","75","4","6","","","","846","22","72","5","","","","","1408","10","80","10","206","52","47","0","17","24","65","12","1333","15","76","10"
"711:191","Fort Valley Middle School","204","27","64","9","159","33","64","3","","","","","45","7","64","29","1","","","","169","28","64","7","89","16","72","12","17","35","53","12","6","","","","115","36","58","6","","","","","181","23","67","10","23","57","43","0","1","","","","16","6","69","25"
"711:197","Byron Middle School","153","9","72","19","51","16","76","8","","","","","102","6","70","25","2","","","","31","10","77","13","68","0","78","22","","","","","","","","","85","16","67","16","","","","","132","5","73","22","21","38","62","0","","","","","120","9","70","21"
"711:ALL","Peach County","357","19","68","13","210","29","67","4","","","","","147","6","68","26","3","","","","200","26","67","8","157","9","75","17","17","35","53","12","6","","","","200","28","62","11","","","","","313","15","70","15","44","48","52","0","1","","","","136","9","70","21"
"712:189","Pickens County Middle School","153","10","76","13","57","19","70","11","","","","","96","5","80","15","","","","","","","","","74","5","78","16","3","","","","","","","","79","15","75","10","","","","","138","9","77","14","15","27","73","0","1","","","","149","11","76","13"
"712:403","Jasper Middle School","174","29","64","7","87","38","56","6","","","","","87","21","71","8","","","","","1","","","","89","20","71","9","5","","","","1","","","","85","39","56","5","","","","","148","24","68","8","26","62","38","0","","","","","168","29","64","7"
"712:ALL","Pickens County","327","20","70","10","144","31","62","8","","","","","183","13","76","11","","","","","1","","","","163","13","74","12","8","","","","1","","","","164","27","65","7","","","","","286","16","72","11","41","49","51","0","1","","","","317","21","69","10"
"713:197","Pierce County Middle School","258","18","76","6","156","24","74","2","10","","","","102","9","79","12","1","","","","29","31","69","0","131","12","80","8","12","50","50","0","16","44","56","0","127","24","72","4","","","","","218","10","83","7","40","63","38","0","7","","","","209","14","79","7"
"713:ALL","Pierce County","258","18","76","6","156","24","74","2","10","","","","102","9","79","12","1","","","","29","31","69","0","131","12","80","8","12","50","50","0","16","44","56","0","127","24","72","4","","","","","218","10","83","7","40","63","38","0","7","","","","209","14","79","7"
