"SysSchoolID","SchoolName","Number Tested All Students","Below Target All Students","On Target All Students","Exceeds Target All Students","Number Tested Economically Disadvantaged","Below Target Economically Disadvantaged","On Target Economically Disadvantaged","Exceeds Target Economically Disadvantaged","Number Tested Migrant","Below Target Migrant","On Target Migrant","Exceeds Target Migrant","Number Tested Not Economically Disadv.","Below Target Not Economically Disadv.","On Target Not Economically Disadv.","Exceeds Target Not Economically Disadv.","Number Tested Asian","Below Target Asian","On Target Asian","Exceeds Target Asian","Number Tested Black","Below Target Black","On Target Black","Exceeds Target Black","Number Tested Female","Below Target Female","On Target Female","Exceeds Target Female","Number Tested Hispanic","Below Target Hispanic","On Target Hispanic","Exceeds Target Hispanic","Number Tested Limited English Proficient","Below Target Limited English Proficient","On Target Limited English Proficient","Exceeds Target Limited English Proficient","Number Tested Male","Below Target Male","On Target Male","Exceeds Target Male","Number Tested Native Amer/Alaskan Native","Below Target Native Amer/Alaskan Native","On Target Native Amer/Alaskan Native","Exceeds Target Native Amer/Alaskan Native","Number Tested Students without Disabilities","Below Target Students without Disabilities","On Target Students without Disabilities","Exceeds Target Students without Disabilities","Number Tested Students with Disabilities","Below Target Students with Disabilities","On Target Students with Disabilities","Exceeds Target Students with Disabilities","Number Tested Multiracial","Below Target Multiracial","On Target Multiracial","Exceeds Target Multiracial","Number Tested White","Below Target White","On Target White","Exceeds Target White"
"698:101","McIntosh County Middle School","151","23","75","3","106","25","73","2","","","","","45","16","80","4","2","","","","79","28","72","0","78","18","78","4","","","","","","","","","73","27","71","1","","","","","143","20","77","3","8","","","","2","","","","68","18","78","4"
"698:ALL","McIntosh County","151","23","75","3","106","25","73","2","","","","","45","16","80","4","2","","","","79","28","72","0","78","18","78","4","","","","","","","","","73","27","71","1","","","","","143","20","77","3","8","","","","2","","","","68","18","78","4"
"699:400","Greenville Middle School","123","31","69","0","123","31","69","0","","","","","","","","","","","","","88","36","64","0","73","22","78","0","4","","","","","","","","50","44","56","0","","","","","94","22","78","0","29","59","41","0","1","","","","30","13","87","0"
"699:5050","Manchester Middle School","163","32","61","7","163","32","61","7","","","","","","","","","1","","","","84","37","56","7","71","20","70","10","","","","","","","","","92","41","54","4","","","","","115","11","79","10","48","81","19","0","","","","","78","27","67","6"
"699:ALL","Meriwether County","286","31","65","4","286","31","65","4","","","","","","","","","1","","","","172","37","60","3","144","21","74","5","4","","","","","","","","142","42","55","3","","","","","209","16","78","5","77","73","27","0","1","","","","108","23","72","5"
"700:101","Miller County Middle School","88","23","65","13","48","23","65","13","","","","","40","23","65","13","","","","","35","31","63","6","41","10","71","20","","","","","","","","","47","34","60","6","","","","","70","9","77","14","18","78","17","6","","","","","53","17","66","17"
"700:ALL","Miller County","88","23","65","13","48","23","65","13","","","","","40","23","65","13","","","","","35","31","63","6","41","10","71","20","","","","","","","","","47","34","60","6","","","","","70","9","77","14","18","78","17","6","","","","","53","17","66","17"
"701:101","Baconton Community Charter School","41","5","71","24","41","5","71","24","","","","","","","","","","","","","1","","","","23","4","74","22","1","","","","","","","","18","6","67","28","","","","","38","5","68","26","3","","","","","","","","39","5","69","26"
"701:197","Mitchell County Middle School","200","28","69","4","200","28","69","4","2","","","","","","","","","","","","167","29","68","4","103","17","79","5","4","","","","3","","","","97","39","59","2","1","","","","175","20","76","4","25","80","20","0","1","","","","27","22","74","4"
"701:ALL","Mitchell County","241","24","69","7","241","24","69","7","2","","","","","","","","","","","","168","29","68","4","126","14","78","8","5","","","","3","","","","115","34","60","6","1","","","","213","17","75","8","28","71","29","0","1","","","","66","12","71","17"
"702:177","Banks Stephens Middle School","299","20","72","8","115","28","70","3","","","","","184","16","73","11","2","","","","94","33","63","4","146","10","79","12","6","","","","3","","","","153","31","65","4","","","","","259","11","80","9","40","80","20","0","1","","","","196","15","76","9"
"702:ALL","Monroe County","299","20","72","8","115","28","70","3","","","","","184","16","73","11","2","","","","94","33","63","4","146","10","79","12","6","","","","3","","","","153","31","65","4","","","","","259","11","80","9","40","80","20","0","1","","","","196","15","76","9"
"703:101","Montgomery County Middle School","106","23","73","5","72","25","72","3","2","","","","34","18","74","9","1","","","","43","30","67","2","48","10","79","10","3","","","","","","","","58","33","67","0","","","","","99","21","74","5","7","","","","1","","","","58","14","79","7"
"703:ALL","Montgomery County","106","23","73","5","72","25","72","3","2","","","","34","18","74","9","1","","","","43","30","67","2","48","10","79","10","3","","","","","","","","58","33","67","0","","","","","99","21","74","5","7","","","","1","","","","58","14","79","7"
"704:5050","Morgan County Middle School","250","20","68","12","100","30","67","3","","","","","150","13","69","18","","","","","81","26","72","2","134","16","66","18","4","","","","1","","","","116","25","70","5","","","","","215","13","73","14","35","66","34","0","2","","","","163","17","67","17"
"704:ALL","Morgan County","250","20","68","12","100","30","67","3","","","","","150","13","69","18","","","","","81","26","72","2","134","16","66","18","4","","","","1","","","","116","25","70","5","","","","","215","13","73","14","35","66","34","0","2","","","","163","17","67","17"
"705:290","Bagley Middle School","263","28","68","4","","","","","","","","","263","28","68","4","","","","","","","","","130","16","78","6","25","40","60","0","2","","","","133","40","59","2","","","","","239","23","73","4","24","83","17","0","3","","","","235","27","69","4"
"705:4050","Gladden Middle School","313","26","67","8","163","31","63","6","","","","","150","19","71","10","1","","","","","","","","156","12","77","11","37","35","62","3","6","","","","157","39","57","4","","","","","271","20","72","9","42","64","36","0","6","","","","269","25","67","9"
"705:ALL","Murray County","576","27","67","6","163","31","63","6","","","","","413","25","69","6","1","","","","","","","","286","14","77","9","62","37","61","2","8","","","","290","39","58","3","","","","","510","21","72","7","66","71","29","0","9","","","","504","26","68","7"
"706:100","Midland Middle School","297","18","79","3","103","23","77","0","","","","","194","15","80","5","5","","","","127","24","73","2","148","12","84","4","11","18","73","9","3","","","","149","23","74","3","","","","","256","13","83","4","41","49","51","0","7","","","","147","13","84","3"
"706:178","Fort Middle School","190","26","73","1","117","30","69","1","","","","","73","21","78","1","5","","","","128","30","69","1","104","20","79","1","4","","","","","","","","86","34","65","1","","","","","158","22","77","1","32","50","50","0","4","","","","49","18","80","2"
"706:180","Marshall Middle School","162","41","58","1","142","40","59","1","","","","","20","50","50","0","","","","","162","41","58","1","81","32","68","0","","","","","","","","","81","51","48","1","","","","","128","32","67","1","34","76","24","0","","","","","","","",""
"706:196","Blackmon Road Middle School","279","6","88","6","49","4","94","2","","","","","230","6","87","7","9","","","","81","9","88","4","118","1","87","12","7","","","","2","","","","161","9","89","2","","","","","258","3","90","7","21","38","62","0","7","","","","175","5","89","6"
