SysSchoolid,School Name,Retained Total Students,Retained Total American Indian,Retained Percent American Indian,Retained Asian,Retained Total Asian,Retained Percent Asian,Retained Black,Retained Total Black,Retained Percent Black,Retained Female,Retained Total Female,Retained Percent Female,Retained Hispanic,Retained Total Hispanic,Retained Percent Hispanic,Retained Male,Retained Total Male,Retained Percent Male,Retained Multiracial,Retained Total Multiracial,Retained Percent Multiracial,Retained White,Retained Total White,Retained Percent White
683:ALL,Johnson County,52,0,0,52,0,0,52,37,71.2,52,19,36.5,52,0,0,52,33,63.5,52,0,0,52,15,28.8
684:1050,Califf Middle School,8,0,0,8,0,0,8,0,0,8,0,0,8,0,0,8,8,100,8,0,0,8,8,100
684:1550,Gray Elementary School,18,0,0,18,0,0,18,8,44.4,18,6,33.3,18,0,0,18,12,66.7,18,0,0,18,10,55.6
684:192,Jones County High School,245,0,0,245,0,0,245,67,27.3,245,103,42,245,0,0,245,142,58,245,2,0.8,245,176,71.8
684:199,Dames Ferry  Elementary School,17,0,0,17,0,0,17,3,17.6,17,6,35.3,17,0,0,17,11,64.7,17,0,0,17,14,82.4
684:ALL,Jones County,318,0,0,318,0,0,318,90,28.3,318,126,39.6,318,0,0,318,192,60.4,318,2,0.6,318,226,71.1
685:175,Lamar County Comprehensive High School,38,0,0,38,0,0,38,18,47.4,38,13,34.2,38,0,0,38,25,65.8,38,0,0,38,20,52.6
685:190,Lamar County Primary/Elementary School,15,0,0,15,0,0,15,5,33.3,15,5,33.3,15,1,6.7,15,10,66.7,15,0,0,15,9,60
686:101,Lanier County Middle School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
687:101,Southwest Laurens Elementary,12,0,0,12,0,0,12,5,41.7,12,6,50,12,0,0,12,6,50,12,0,0,12,7,58.3
687:1052,East Laurens Elementary School,4,0,0,4,0,0,4,3,75,4,3,75,4,0,0,4,1,25,4,0,0,4,1,25
687:201,Northwest Laurens Elementary,14,0,0,14,0,0,14,6,42.9,14,5,35.7,14,1,7.1,14,9,64.3,14,0,0,14,7,50
687:297,East Laurens Middle School,27,0,0,27,0,0,27,10,37,27,16,59.3,27,0,0,27,11,40.7,27,0,0,27,17,63
687:3054,West Laurens High School,59,0,0,59,0,0,59,28,47.5,59,19,32.2,59,1,1.7,59,40,67.8,59,0,0,59,30,50.8
687:ALL,Laurens County,175,0,0,175,0,0,175,79,45.1,175,72,41.1,175,4,2.3,175,103,58.9,175,0,0,175,92,52.6
688:103,Lee County Elementary School,7,0,0,7,0,0,7,3,42.9,7,2,28.6,7,0,0,7,5,71.4,7,0,0,7,4,57.1
688:187,Lee County Primary School,11,0,0,11,0,0,11,1,9.1,11,3,27.3,11,0,0,11,8,72.7,11,0,0,11,10,90.9
688:197,Kinchafoonee Primary School,22,0,0,22,0,0,22,3,13.6,22,14,63.6,22,0,0,22,8,36.4,22,0,0,22,19,86.4
689:101,Midway Middle School,92,0,0,92,0,0,92,37,40.2,92,33,35.9,92,0,0,92,59,64.1,92,7,7.6,92,48,52.2
689:102,Liberty Elementary School,21,0,0,21,0,0,21,9,42.9,21,4,19,21,0,0,21,17,81,21,1,4.8,21,11,52.4
689:194,Taylors Creek Elementary School,22,0,0,22,0,0,22,13,59.1,22,5,22.7,22,1,4.5,22,17,77.3,22,2,9.1,22,6,27.3
689:195,Snelson-Golden Middle School,126,0,0,126,3,2.4,126,85,67.5,126,49,38.9,126,5,4,126,77,61.1,126,7,5.6,126,26,20.6
689:196,Frank Long Elementary School,35,0,0,35,0,0,35,21,60,35,17,48.6,35,3,8.6,35,18,51.4,35,6,17.1,35,5,14.3
689:197,Lewis Frasier Middle School,27,0,0,27,0,0,27,19,70.4,27,9,33.3,27,1,3.7,27,18,66.7,27,1,3.7,27,6,22.2
689:3050,Bradwell Institute,181,1,0.6,181,4,2.2,181,124,68.5,181,69,38.1,181,14,7.7,181,112,61.9,181,5,2.8,181,33,18.2
690:176,Lincoln County Elementary School,18,0,0,18,0,0,18,13,72.2,18,3,16.7,18,0,0,18,15,83.3,18,0,0,18,5,27.8
691:100,Smiley Elementary School,37,0,0,37,0,0,37,8,21.6,37,18,48.6,37,6,16.2,37,19,51.4,37,2,5.4,37,21,56.8
691:196,Long County School,66,0,0,66,0,0,66,21,31.8,66,25,37.9,66,9,13.6,66,41,62.1,66,0,0,66,36,54.5
692:100,Dewar Elementary School,11,0,0,11,0,0,11,5,45.5,11,5,45.5,11,0,0,11,6,54.5,11,0,0,11,6,54.5
692:1052,Lowndes Middle School,42,0,0,42,0,0,42,21,50,42,9,21.4,42,0,0,42,33,78.6,42,0,0,42,21,50
692:194,Moulton-Branch Elementary School,11,0,0,11,0,0,11,4,36.4,11,6,54.5,11,0,0,11,5,45.5,11,0,0,11,7,63.6
692:274,Pine Grove Elementary School,20,0,0,20,0,0,20,9,45,20,5,25,20,0,0,20,15,75,20,1,5,20,10,50
692:3050,Hahira Middle School,45,0,0,45,1,2.2,45,12,26.7,45,14,31.1,45,2,4.4,45,31,68.9,45,0,0,45,30,66.7
692:ALL,Lowndes County,470,0,0,470,3,0.6,470,163,34.7,470,177,37.7,470,19,4,470,293,62.3,470,6,1.3,470,279,59.4
693:191,Long Branch Elementary School,9,0,0,9,0,0,9,0,0,9,2,22.2,9,1,11.1,9,7,77.8,9,0,0,9,8,88.9
693:ALL,Lumpkin County,120,2,1.7,120,0,0,120,3,2.5,120,36,30,120,10,8.3,120,84,70,120,0,0,120,105,87.5
694:198,Macon County Elementary School,20,0,0,20,0,0,20,18,90,20,8,40,20,0,0,20,12,60,20,0,0,20,2,10
695:101,Hull-Sanford Elementary School,16,0,0,16,0,0,16,2,12.5,16,4,25,16,3,18.8,16,12,75,16,0,0,16,11,68.8
695:195,Danielsville Elementary School,13,0,0,13,0,0,13,0,0,13,5,38.5,13,1,7.7,13,8,61.5,13,0,0,13,12,92.3
695:4050,Ila Elementary School,27,0,0,27,0,0,27,0,0,27,12,44.4,27,0,0,27,15,55.6,27,1,3.7,27,26,96.3
695:5050,Madison County High School,49,0,0,49,0,0,49,3,6.1,49,19,38.8,49,2,4.1,49,30,61.2,49,0,0,49,44,89.8
696:275,Tri-County High School,34,0,0,34,0,0,34,13,38.2,34,14,41.2,34,1,2.9,34,20,58.8,34,0,0,34,20,58.8
696:ALL,Marion County,124,0,0,124,2,1.6,124,49,39.5,124,40,32.3,124,9,7.3,124,84,67.7,124,0,0,124,64,51.6
697:179,Maxwell Elementary School,49,0,0,49,0,0,49,31,63.3,49,19,38.8,49,0,0,49,30,61.2,49,2,4.1,49,16,32.7
697:191,Dearing Elementary School,22,0,0,22,0,0,22,9,40.9,22,8,36.4,22,0,0,22,14,63.6,22,1,4.5,22,12,54.5
697:192,Thomson High School,164,0,0,164,0,0,164,110,67.1,164,72,43.9,164,1,0.6,164,92,56.1,164,1,0.6,164,52,31.7
697:294,Norris Elementary School,5,0,0,5,0,0,5,3,60,5,1,20,5,0,0,5,4,80,5,0,0,5,2,40
697:ALL,McDuffie County,301,0,0,301,1,0.3,301,191,63.5,301,127,42.2,301,1,0.3,301,174,57.8,301,4,1.3,301,104,34.6
698:101,McIntosh County Middle School,41,0,0,41,0,0,41,27,65.9,41,8,19.5,41,0,0,41,33,80.5,41,0,0,41,14,34.1
699:102,George E. Washington Elementary School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
699:4050,Manchester High School,27,0,0,27,0,0,27,19,70.4,27,9,33.3,27,0,0,27,18,66.7,27,0,0,27,8,29.6
699:ALL,Meriwether County,101,0,0,101,0,0,101,68,67.3,101,35,34.7,101,0,0,101,66,65.3,101,1,1,101,32,31.7
700:201,Miller County High School,8,0,0,8,0,0,8,4,50,8,1,12.5,8,0,0,8,7,87.5,8,0,0,8,4,50
700:ALL,Miller County,60,0,0,60,0,0,60,37,61.7,60,17,28.3,60,0,0,60,43,71.7,60,0,0,60,23,38.3
701:197,Mitchell County Middle School,2,0,0,2,0,0,2,2,100,2,0,0,2,0,0,2,2,100,2,0,0,2,0,0
701:198,Mitchell County Primary School,35,0,0,35,0,0,35,31,88.6,35,14,40,35,2,5.7,35,21,60,35,0,0,35,2,5.7
701:282,Mitchell-Baker High School,111,0,0,111,0,0,111,86,77.5,111,43,38.7,111,0,0,111,68,61.3,111,1,0.9,111,24,21.6
702:184,Mary Persons High School,77,0,0,77,1,1.3,77,38,49.4,77,29,37.7,77,0,0,77,48,62.3,77,0,0,77,38,49.4
702:195,Hubbard Primary School,50,0,0,50,0,0,50,25,50,50,22,44,50,2,4,50,28,56,50,0,0,50,23,46
704:191,Morgan County Elementary School,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,100,1,0,0,1,1,100
704:5050,Morgan County Middle School,13,0,0,13,0,0,13,2,15.4,13,2,15.4,13,0,0,13,11,84.6,13,0,0,13,11,84.6
704:ALL,Morgan County,90,0,0,90,0,0,90,40,44.4,90,30,33.3,90,0,0,90,60,66.7,90,1,1.1,90,49,54.4
705:1052,Spring Place Elementary School,33,0,0,33,0,0,33,0,0,33,14,42.4,33,13,39.4,33,19,57.6,33,0,0,33,20,60.6
705:190,Murray County High School,182,0,0,182,0,0,182,0,0,182,60,33,182,31,17,182,122,67,182,0,0,182,151,83
705:198,Eton Elementary School,13,0,0,13,0,0,13,0,0,13,4,30.8,13,3,23.1,13,9,69.2,13,0,0,13,10,76.9
705:290,Bagley Middle School,12,0,0,12,0,0,12,0,0,12,2,16.7,12,1,8.3,12,10,83.3,12,0,0,12,11,91.7
706:100,Midland Middle School,17,0,0,17,0,0,17,9,52.9,17,3,17.6,17,1,5.9,17,14,82.4,17,0,0,17,7,41.2
706:102,Fox Elementary School,26,0,0,26,0,0,26,16,61.5,26,14,53.8,26,1,3.8,26,12,46.2,26,0,0,26,9,34.6
706:1062,Georgetown Elementary School,16,0,0,16,0,0,16,15,93.8,16,6,37.5,16,0,0,16,10,62.5,16,0,0,16,1,6.3
706:1064,Kendrick High School,166,1,0.6,166,0,0,166,150,90.4,166,77,46.4,166,4,2.4,166,89,53.6,166,2,1.2,166,9,5.4
706:196,Blackmon Road Middle School,38,1,2.6,38,1,2.6,38,13,34.2,38,5,13.2,38,2,5.3,38,33,86.8,38,0,0,38,21,55.3
706:203,Northside High School,22,0,0,22,0,0,22,4,18.2,22,4,18.2,22,1,4.5,22,18,81.8,22,0,0,22,17,77.3
706:2050,Arnold Middle School,47,0,0,47,0,0,47,28,59.6,47,23,48.9,47,1,2.1,47,24,51.1,47,0,0,47,18,38.3
706:2052,Blanchard Elementary School,10,0,0,10,0,0,10,1,10,10,3,30,10,0,0,10,7,70,10,2,20,10,7,70
706:2058,Double Churches Elementary School,11,0,0,11,0,0,11,1,9.1,11,4,36.4,11,0,0,11,7,63.6,11,0,0,11,10,90.9
706:2062,Hardaway High School,74,1,1.4,74,0,0,74,40,54.1,74,28,37.8,74,4,5.4,74,46,62.2,74,1,1.4,74,28,37.8
706:278,Shaw High School,87,0,0,87,0,0,87,45,51.7,87,32,36.8,87,0,0,87,55,63.2,87,3,3.4,87,39,44.8
706:300,Baker Middle School,79,0,0,79,0,0,79,77,97.5,79,31,39.2,79,1,1.3,79,48,60.8,79,0,0,79,1,1.3
706:301,East Columbus Magnet Academy,58,0,0,58,0,0,58,54,93.1,58,22,37.9,58,0,0,58,36,62.1,58,0,0,58,4,6.9
706:3060,Forrest Road Elementary School,4,0,0,4,0,0,4,4,100,4,1,25,4,0,0,4,3,75,4,0,0,4,0,0
706:3066,Rigdon Road Elementary School,11,0,0,11,0,0,11,11,100,11,3,27.3,11,0,0,11,8,72.7,11,0,0,11,0,0
706:3068,St. Marys Video and Communication Technology,14,0,0,14,0,0,14,14,100,14,7,50,14,0,0,14,7,50,14,0,0,14,0,0
706:3069,Waddell Elementary School,29,0,0,29,1,3.4,29,16,55.2,29,9,31,29,1,3.4,29,20,69,29,0,0,29,11,37.9
706:378,Spencer High School,133,0,0,133,2,1.5,133,101,75.9,133,48,36.1,133,13,9.8,133,85,63.9,133,0,0,133,17,12.8
706:4056,Davis Elementary School,16,0,0,16,0,0,16,15,93.8,16,8,50,16,1,6.3,16,8,50,16,0,0,16,0,0
706:4064,Mathews Elementary School,7,0,0,7,0,0,7,2,28.6,7,5,71.4,7,0,0,7,2,28.6,7,0,0,7,5,71.4
706:4065,Allen Elementary School,9,0,0,9,0,0,9,3,33.3,9,2,22.2,9,0,0,9,7,77.8,9,1,11.1,9,5,55.6
706:4066,River Road Elementary School,17,0,0,17,0,0,17,7,41.2,17,9,52.9,17,3,17.6,17,8,47.1,17,1,5.9,17,6,35.3
706:5052,Carver High School,205,0,0,205,0,0,205,197,96.1,205,101,49.3,205,1,0.5,205,104,50.7,205,0,0,205,7,3.4
706:5062,Jordan Vocational High School,97,1,1,97,0,0,97,49,50.5,97,48,49.5,97,4,4.1,97,49,50.5,97,2,2.1,97,41,42.3
707:101,Veterans Memorial Middle School,10,0,0,10,0,0,10,4,40,10,2,20,10,0,0,10,8,80,10,0,0,10,6,60
707:102,Oak Hill Elementary School,14,0,0,14,0,0,14,3,21.4,14,7,50,14,1,7.1,14,7,50,14,0,0,14,10,71.4
707:173,Newton  High School,358,2,0.6,358,2,0.6,358,187,52.2,358,146,40.8,358,5,1.4,358,212,59.2,358,1,0.3,358,161,45
707:189,Fairview Elementary School,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0,1,1,100,1,0,0,1,0,0
707:195,Clements Middle School,85,0,0,85,1,1.2,85,54,63.5,85,37,43.5,85,2,2.4,85,48,56.5,85,3,3.5,85,25,29.4
707:295,Eastside High School,132,0,0,132,0,0,132,74,56.1,132,45,34.1,132,2,1.5,132,87,65.9,132,1,0.8,132,55,41.7
707:298,West Newton Elementary School,10,0,0,10,0,0,10,5,50,10,7,70,10,1,10,10,3,30,10,2,20,10,2,20
707:3052,Palmer Stone Elementary School,15,0,0,15,0,0,15,5,33.3,15,7,46.7,15,1,6.7,15,8,53.3,15,1,6.7,15,8,53.3
707:398,Indian Creek Middle School,27,0,0,27,0,0,27,9,33.3,27,6,22.2,27,0,0,27,21,77.8,27,0,0,27,18,66.7
707:4050,Mansfield Elementary School,2,0,0,2,0,0,2,0,0,2,1,50,2,0,0,2,1,50,2,0,0,2,2,100
707:4550,Heard-Mixon Elementary School,22,0,0,22,0,0,22,8,36.4,22,9,40.9,22,0,0,22,13,59.1,22,1,4.5,22,13,59.1
707:ALL,Newton County,770,2,0.3,770,4,0.5,770,401,52.1,770,300,39,770,12,1.6,770,470,61,770,11,1.4,770,340,44.2
708:188,Oconee County Primary School,7,0,0,7,0,0,7,2,28.6,7,2,28.6,7,0,0,7,5,71.4,7,1,14.3,7,4,57.1
708:197,Malcom Bridge Elementary School,6,0,0,6,0,0,6,0,0,6,1,16.7,6,2,33.3,6,5,83.3,6,1,16.7,6,3,50
708:198,Malcom Bridge Middle School,2,0,0,2,0,0,2,0,0,2,1,50,2,0,0,2,1,50,2,0,0,2,2,100
708:293,Oconee County High School,47,0,0,47,2,4.3,47,6,12.8,47,15,31.9,47,3,6.4,47,32,68.1,47,0,0,47,36,76.6
708:3050,Colham Ferry Elementary School,6,0,0,6,0,0,6,1,16.7,6,1,16.7,6,1,16.7,6,5,83.3,6,0,0,6,4,66.7
708:ALL,Oconee County,93,0,0,93,4,4.3,93,12,12.9,93,24,25.8,93,7,7.5,93,69,74.2,93,2,2.2,93,68,73.1
709:198,Oglethorpe County Elementary School,7,0,0,7,0,0,7,1,14.3,7,3,42.9,7,0,0,7,4,57.1,7,0,0,7,6,85.7
709:298,Oglethorpe County Primary School,7,0,0,7,0,0,7,1,14.3,7,1,14.3,7,0,0,7,6,85.7,7,0,0,7,6,85.7
710:103,Bessie L. Baggett Elementary,4,0,0,4,0,0,4,0,0,4,0,0,4,1,25,4,4,100,4,0,0,4,3,75
710:104,Lillian C. Poole Elementary School,2,0,0,2,0,0,2,0,0,2,1,50,2,0,0,2,1,50,2,0,0,2,2,100
710:188,McGarity Elementary School,6,0,0,6,0,0,6,2,33.3,6,1,16.7,6,1,16.7,6,5,83.3,6,0,0,6,3,50
710:198,Nebo Elementary School,8,0,0,8,0,0,8,0,0,8,4,50,8,0,0,8,4,50,8,0,0,8,8,100
710:199,C. A. Roberts Elementary School,9,0,0,9,0,0,9,0,0,9,5,55.6,9,0,0,9,4,44.4,9,0,0,9,9,100
710:2052,New Georgia Elementary School,2,0,0,2,0,0,2,0,0,2,0,0,2,0,0,2,2,100,2,0,0,2,2,100
710:2352,Herschel Jones Middle School,27,0,0,27,0,0,27,1,3.7,27,6,22.2,27,0,0,27,21,77.8,27,2,7.4,27,24,88.9
710:2552,Paulding County High School,316,1,0.3,316,2,0.6,316,57,18,316,113,35.8,316,2,0.6,316,203,64.2,316,1,0.3,316,253,80.1
710:292,East Paulding High School,164,0,0,164,0,0,164,8,4.9,164,51,31.1,164,6,3.7,164,113,68.9,164,0,0,164,150,91.5
710:294,Northside Elementary School,2,0,0,2,0,0,2,0,0,2,1,50,2,0,0,2,1,50,2,0,0,2,2,100
710:299,Allgood Elementary School,14,0,0,14,0,0,14,1,7.1,14,7,50,14,0,0,14,7,50,14,0,0,14,13,92.9
710:394,East Paulding Middle School,32,0,0,32,0,0,32,6,18.8,32,15,46.9,32,1,3.1,32,17,53.1,32,1,3.1,32,24,75
711:197,Byron Middle School,4,0,0,4,0,0,4,1,25,4,0,0,4,0,0,4,4,100,4,0,0,4,3,75
711:2052,Peach County High School,169,0,0,169,1,0.6,169,118,69.8,169,76,45,169,8,4.7,169,93,55,169,1,0.6,169,41,24.3
711:291,Hunt Primary School,35,0,0,35,1,2.9,35,29,82.9,35,13,37.1,35,1,2.9,35,22,62.9,35,0,0,35,4,11.4
712:203,Jasper Elementary School,9,0,0,9,0,0,9,0,0,9,2,22.2,9,0,0,9,7,77.8,9,0,0,9,9,100
712:403,Jasper Middle School,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,100,1,0,0,1,1,100
712:ALL,Pickens County,104,0,0,104,0,0,104,2,1.9,104,35,33.7,104,1,1,104,69,66.3,104,0,0,104,101,97.1
713:182,Pierce County High School,22,0,0,22,0,0,22,7,31.8,22,9,40.9,22,2,9.1,22,13,59.1,22,0,0,22,13,59.1
713:ALL,Pierce County,50,0,0,50,0,0,50,9,18,50,15,30,50,4,8,50,35,70,50,0,0,50,37,74
714:188,Pike County Primary School,14,0,0,14,1,7.1,14,1,7.1,14,5,35.7,14,0,0,14,9,64.3,14,0,0,14,12,85.7
714:195,Pike County Middle School,10,0,0,10,0,0,10,2,20,10,1,10,10,0,0,10,9,90,10,0,0,10,8,80
715:102,Rockmart High School,28,0,0,28,0,0,28,6,21.4,28,9,32.1,28,0,0,28,19,67.9,28,0,0,28,22,78.6
715:103,Cedartown Middle School,54,0,0,54,0,0,54,15,27.8,54,13,24.1,54,13,24.1,54,41,75.9,54,0,0,54,26,48.1
715:1054,Goodyear Elementary School,12,0,0,12,0,0,12,4,33.3,12,5,41.7,12,0,0,12,7,58.3,12,0,0,12,8,66.7
715:174,Westside Elementary School,16,0,0,16,0,0,16,3,18.8,16,9,56.3,16,3,18.8,16,7,43.8,16,0,0,16,10,62.5
715:183,Cherokee Elementary School,31,0,0,31,0,0,31,5,16.1,31,13,41.9,31,12,38.7,31,18,58.1,31,1,3.2,31,13,41.9
716:195,Pulaski County Middle School,10,0,0,10,0,0,10,6,60,10,1,10,10,1,10,10,9,90,10,0,0,10,3,30
716:ALL,Pulaski County,35,0,0,35,0,0,35,23,65.7,35,11,31.4,35,1,2.9,35,24,68.6,35,0,0,35,11,31.4
717:176,Putnam County Middle School,8,0,0,8,0,0,8,0,0,8,3,37.5,8,1,12.5,8,5,62.5,8,0,0,8,7,87.5
717:198,Putnam County Elementary School,43,0,0,43,0,0,43,17,39.5,43,12,27.9,43,5,11.6,43,31,72.1,43,0,0,43,21,48.8
717:ALL,Putnam County,148,0,0,148,0,0,148,70,47.3,148,50,33.8,148,10,6.8,148,98,66.2,148,0,0,148,68,45.9
719:100,Rabun County Middle School,4,0,0,4,0,0,4,0,0,4,1,25,4,1,25,4,3,75,4,0,0,4,3,75
719:3550,Rabun Gap Community School,18,0,0,18,0,0,18,0,0,18,4,22.2,18,2,11.1,18,14,77.8,18,1,5.6,18,15,83.3
720:101,Randolph Clay Middle School,8,0,0,8,0,0,8,8,100,8,2,25,8,0,0,8,6,75,8,0,0,8,0,0
721:100,Cross Creek High School,128,0,0,128,1,0.8,128,70,54.7,128,47,36.7,128,3,2.3,128,81,63.3,128,2,1.6,128,52,40.6
721:101,Craig-Houghton Elementary School,51,0,0,51,0,0,51,51,100,51,20,39.2,51,0,0,51,31,60.8,51,0,0,51,0,0
721:1058,Langford Middle School,40,0,0,40,0,0,40,34,85,40,16,40,40,0,0,40,24,60,40,1,2.5,40,5,12.5
721:1060,National Hills Elementary School,6,0,0,6,0,0,6,4,66.7,6,1,16.7,6,0,0,6,5,83.3,6,2,33.3,6,0,0
721:1062,Rollins Elementary School,10,0,0,10,0,0,10,4,40,10,5,50,10,0,0,10,5,50,10,0,0,10,6,60
721:184,Morgan Road Middle School,80,0,0,80,0,0,80,76,95,80,25,31.3,80,3,3.8,80,55,68.8,80,0,0,80,1,1.3
721:189,Jamestown Elementary School,51,0,0,51,0,0,51,49,96.1,51,20,39.2,51,0,0,51,31,60.8,51,1,2,51,1,2
721:194,Goshen Elementary School,8,0,0,8,0,0,8,0,0,8,4,50,8,0,0,8,4,50,8,1,12.5,8,7,87.5
721:2050,Barton Chapel Elementary School,12,0,0,12,0,0,12,11,91.7,12,4,33.3,12,0,0,12,8,66.7,12,0,0,12,1,8.3
721:2054,Glenn Hills Elementary School,17,0,0,17,0,0,17,12,70.6,17,8,47.1,17,4,23.5,17,9,52.9,17,0,0,17,1,5.9
721:2056,Hephzibah High School,116,0,0,116,0,0,116,61,52.6,116,37,31.9,116,1,0.9,116,79,68.1,116,2,1.7,116,52,44.8
721:2058,Merry Elementary School,2,0,0,2,0,0,2,2,100,2,1,50,2,0,0,2,1,50,2,0,0,2,0,0
721:2556,Hornsby Elementary School,24,0,0,24,0,0,24,24,100,24,13,54.2,24,0,0,24,11,45.8,24,0,0,24,0,0
721:297,McBean Elementary School,10,0,0,10,0,0,10,4,40,10,5,50,10,0,0,10,5,50,10,0,0,10,6,60
721:3054,Glenn Hills High School,135,0,0,135,2,1.5,135,130,96.3,135,51,37.8,135,0,0,135,84,62.2,135,1,0.7,135,2,1.5
721:4050,Blythe Elementary School,13,0,0,13,0,0,13,0,0,13,1,7.7,13,0,0,13,12,92.3,13,0,0,13,13,100
721:4058,Monte Sano Elementary School,5,0,0,5,0,0,5,2,40,5,2,40,5,0,0,5,3,60,5,0,0,5,3,60
721:4062,Southside Elementary School,5,0,0,5,0,0,5,3,60,5,3,60,5,0,0,5,2,40,5,1,20,5,1,20
721:4762,Terrace Manor Elementary School,5,0,0,5,0,0,5,5,100,5,2,40,5,0,0,5,3,60,5,0,0,5,0,0
721:5058,Murphey Middle School,40,0,0,40,0,0,40,36,90,40,8,20,40,0,0,40,32,80,40,2,5,40,2,5
721:5062,Tubman Middle School,43,0,0,43,0,0,43,40,93,43,18,41.9,43,0,0,43,25,58.1,43,0,0,43,3,7
721:ALL,Richmond County,1581,2,0.1,1581,4,0.3,1581,1229,77.7,1581,586,37.1,1581,21,1.3,1581,995,62.9,1581,23,1.5,1581,302,19.1
722:176,Heritage High School,69,0,0,69,0,0,69,28,40.6,69,25,36.2,69,6,8.7,69,44,63.8,69,0,0,69,35,50.7
722:178,Barksdale Elementary School,9,0,0,9,0,0,9,2,22.2,9,3,33.3,9,0,0,9,6,66.7,9,0,0,9,7,77.8
722:189,Sims Elementary School,5,0,0,5,0,0,5,3,60,5,5,100,5,1,20,5,0,0,5,0,0,5,1,20
722:192,Salem High School,26,0,0,26,0,0,26,17,65.4,26,12,46.2,26,1,3.8,26,14,53.8,26,0,0,26,8,30.8
722:2050,Flat Shoals Elementary School,6,0,0,6,0,0,6,6,100,6,4,66.7,6,0,0,6,2,33.3,6,0,0,6,0,0
722:2052,Pine Street Elementary School,2,0,0,2,0,0,2,2,100,2,2,100,2,0,0,2,0,0,2,0,0,2,0,0
722:294,Memorial Middle School,50,0,0,50,0,0,50,36,72,50,18,36,50,0,0,50,32,64,50,0,0,50,14,28
722:ALL,Rockdale County,412,0,0,412,3,0.7,412,203,49.3,412,162,39.3,412,37,9,412,250,60.7,412,6,1.5,412,163,39.6
723:198,Schley County Elementary School,34,0,0,34,0,0,34,12,35.3,34,10,29.4,34,0,0,34,24,70.6,34,0,0,34,22,64.7
725:296,Seminole County Elementary School,26,0,0,26,0,0,26,13,50,26,10,38.5,26,0,0,26,16,61.5,26,1,3.8,26,12,46.2
725:ALL,Seminole County,99,0,0,99,1,1,99,62,62.6,99,35,35.4,99,1,1,99,64,64.6,99,1,1,99,34,34.3
726:1050,Anne Street Elementary School,45,0,0,45,0,0,45,44,97.8,45,11,24.4,45,0,0,45,34,75.6,45,0,0,45,1,2.2
726:1052,Jackson Road Elementary School,19,0,0,19,0,0,19,7,36.8,19,12,63.2,19,0,0,19,7,36.8,19,2,10.5,19,10,52.6
726:1550,Atkinson Elementary School,101,0,0,101,0,0,101,95,94.1,101,43,42.6,101,0,0,101,58,57.4,101,2,2,101,4,4
726:1750,Beaverbrook Elementary School,37,0,0,37,0,0,37,2,5.4,37,12,32.4,37,1,2.7,37,25,67.6,37,0,0,37,34,91.9
726:187,Griffin High School,231,0,0,231,0,0,231,129,55.8,231,105,45.5,231,2,0.9,231,126,54.5,231,3,1.3,231,97,42
726:188,Taylor Street Middle School,43,0,0,43,0,0,43,4,9.3,43,7,16.3,43,0,0,43,36,83.7,43,1,2.3,43,38,88.4
726:192,Cowan Road Elementary School,44,0,0,44,0,0,44,25,56.8,44,13,29.5,44,3,6.8,44,31,70.5,44,1,2.3,44,15,34.1
726:199,Futral Road Elementary School,34,0,0,34,0,0,34,11,32.4,34,13,38.2,34,3,8.8,34,21,61.8,34,0,0,34,20,58.8
726:201,Cowan Road Middle School,19,0,0,19,0,0,19,5,26.3,19,4,21.1,19,2,10.5,19,15,78.9,19,0,0,19,12,63.2
726:2050,Crescent Road Elementary School,21,0,0,21,0,0,21,11,52.4,21,9,42.9,21,0,0,21,12,57.1,21,0,0,21,10,47.6
726:4052,Orrs Elementary School,61,0,0,61,0,0,61,41,67.2,61,22,36.1,61,1,1.6,61,39,63.9,61,1,1.6,61,18,29.5
726:ALL,Spalding County,970,0,0,970,0,0,970,579,59.7,970,373,38.5,970,17,1.8,970,597,61.5,970,10,1,970,364,37.5
727:1052,Stephens County Middle School,5,0,0,5,0,0,5,1,20,5,2,40,5,0,0,5,3,60,5,0,0,5,4,80
727:187,Liberty Elementary School,32,0,0,32,0,0,32,1,3.1,32,17,53.1,32,0,0,32,15,46.9,32,1,3.1,32,30,93.8
727:195,Big A Elementary School,12,0,0,12,0,0,12,2,16.7,12,6,50,12,0,0,12,6,50,12,0,0,12,10,83.3
727:197,Toccoa Elementary School,18,0,0,18,0,0,18,6,33.3,18,7,38.9,18,0,0,18,11,61.1,18,1,5.6,18,11,61.1
728:192,Stewart County Elementary School,26,0,0,26,0,0,26,26,100,26,11,42.3,26,0,0,26,15,57.7,26,0,0,26,0,0
728:ALL,Stewart County,36,0,0,36,0,0,36,36,100,36,17,47.2,36,0,0,36,19,52.8,36,0,0,36,0,0
729:100,Sumter County Primary School,39,0,0,39,0,0,39,28,71.8,39,22,56.4,39,4,10.3,39,17,43.6,39,0,0,39,7,17.9
729:183,Sumter County High School,64,0,0,64,0,0,64,47,73.4,64,21,32.8,64,2,3.1,64,43,67.2,64,0,0,64,15,23.4
