"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","YR8_CREDENTIAL","YR8_CREDENTIAL_PCT"
2007,"622","Carroll County","5054","Villa Rica High School","No Postsecondary Credential/Not Enrolled",54.1
2007,"622","Carroll County","5054","Villa Rica High School","No Postsecondary Credential/Enrolled",9.3
2007,"622","Carroll County","5054","Villa Rica High School","Other Credential",0.5
2007,"622","Carroll County","5054","Villa Rica High School","Masters or Higher",2.6
2007,"622","Carroll County","5054","Villa Rica High School","Bachelors",23.7
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Certificate",3.7
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Masters or Higher",2.6
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","No Postsecondary Credential/Enrolled",3.9
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Bachelors",18.7
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Associates",9.7
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Other Credential",0.6
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","No Postsecondary Credential/Not Enrolled",60.7
2007,"624","Charlton County","ALL","All Charlton County High Schools","No Postsecondary Credential/Enrolled",3.8
2007,"624","Charlton County","ALL","All Charlton County High Schools","Associates",7.6
2007,"624","Charlton County","ALL","All Charlton County High Schools","Bachelors",8.6
2007,"624","Charlton County","ALL","All Charlton County High Schools","Certificate",3.8
2007,"624","Charlton County","ALL","All Charlton County High Schools","No Postsecondary Credential/Not Enrolled",73.3
2007,"624","Charlton County","ALL","All Charlton County High Schools","Masters or Higher",2.9
2007,"625","Savannah-Chatham County","3056","Groves High School","Masters or Higher",0.5
2007,"625","Savannah-Chatham County","3056","Groves High School","Bachelors",23.9
2007,"625","Savannah-Chatham County","3056","Groves High School","Other Credential",1.1
2007,"625","Savannah-Chatham County","3056","Groves High School","Certificate",8
2007,"625","Savannah-Chatham County","3056","Groves High School","No Postsecondary Credential/Enrolled",3.2
2007,"625","Savannah-Chatham County","3056","Groves High School","No Postsecondary Credential/Not Enrolled",59
2007,"625","Savannah-Chatham County","3056","Groves High School","Associates",4.3
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","No Postsecondary Credential/Not Enrolled",40
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","No Postsecondary Credential/Enrolled",8.8
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Bachelors",31.9
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Masters or Higher",5
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Certificate",6.9
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Other Credential",1.9
2007,"625","Savannah-Chatham County","5070","Windsor Forest High School","Associates",5.6
2007,"627","Chattooga County","1050","Chattooga High School","Associates",10.7
2007,"627","Chattooga County","1050","Chattooga High School","Certificate",2.9
2007,"627","Chattooga County","1050","Chattooga High School","Masters or Higher",2.9
2007,"627","Chattooga County","1050","Chattooga High School","No Postsecondary Credential/Not Enrolled",60.2
2007,"627","Chattooga County","1050","Chattooga High School","No Postsecondary Credential/Enrolled",7.8
2007,"627","Chattooga County","1050","Chattooga High School","Bachelors",15.5
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","No Postsecondary Credential/Enrolled",7.8
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Masters or Higher",2.9
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Bachelors",15.5
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Associates",10.7
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","Certificate",2.9
2007,"627","Chattooga County","ALL","All Chattooga County High Schools","No Postsecondary Credential/Not Enrolled",60.2
2007,"628","Cherokee County","0197","Woodstock High School","Bachelors",36.3
2007,"628","Cherokee County","0197","Woodstock High School","No Postsecondary Credential/Not Enrolled",44.9
2007,"628","Cherokee County","0197","Woodstock High School","Associates",4.4
2007,"628","Cherokee County","0197","Woodstock High School","Certificate",1.7
2007,"628","Cherokee County","0197","Woodstock High School","Other Credential",2
2007,"628","Cherokee County","0197","Woodstock High School","No Postsecondary Credential/Enrolled",7.8
2007,"628","Cherokee County","0197","Woodstock High School","Masters or Higher",2.9
2007,"631","Clayton County","1056","Jonesboro High School","Other Credential",0.4
2007,"631","Clayton County","1056","Jonesboro High School","No Postsecondary Credential/Not Enrolled",51
2007,"631","Clayton County","1056","Jonesboro High School","Masters or Higher",2.5
2007,"631","Clayton County","1056","Jonesboro High School","Certificate",0.8
2007,"631","Clayton County","1056","Jonesboro High School","No Postsecondary Credential/Enrolled",5.9
2007,"631","Clayton County","1056","Jonesboro High School","Associates",5.9
2007,"631","Clayton County","1056","Jonesboro High School","Bachelors",33.5
2007,"631","Clayton County","4058","Morrow High School","No Postsecondary Credential/Enrolled",7.6
2007,"631","Clayton County","4058","Morrow High School","Masters or Higher",3
2007,"631","Clayton County","4058","Morrow High School","Bachelors",21.7
2007,"631","Clayton County","4058","Morrow High School","No Postsecondary Credential/Not Enrolled",59.2
2007,"631","Clayton County","4058","Morrow High School","Certificate",2
2007,"631","Clayton County","4058","Morrow High School","Other Credential",1.3
2007,"631","Clayton County","4058","Morrow High School","Associates",5.3
2007,"631","Clayton County","ALL","All Clayton County High Schools","Certificate",1.4
2007,"631","Clayton County","ALL","All Clayton County High Schools","Associates",5.7
2007,"631","Clayton County","ALL","All Clayton County High Schools","Bachelors",24.9
2007,"601","Appling County","0103","Appling County High School","Certificate",5.5
2007,"601","Appling County","0103","Appling County High School","Bachelors",15.8
2007,"601","Appling County","0103","Appling County High School","Masters or Higher",2.1
2007,"601","Appling County","0103","Appling County High School","Associates",12.3
2007,"601","Appling County","0103","Appling County High School","No Postsecondary Credential/Not Enrolled",60.3
2007,"601","Appling County","0103","Appling County High School","No Postsecondary Credential/Enrolled",4.1
2007,"606","Banks County","0199","Banks County High School","Masters or Higher",5.2
2007,"606","Banks County","0199","Banks County High School","No Postsecondary Credential/Enrolled",5.2
2007,"606","Banks County","0199","Banks County High School","Bachelors",9.6
2007,"606","Banks County","0199","Banks County High School","Other Credential",1.7
2007,"606","Banks County","0199","Banks County High School","Certificate",0.9
2007,"606","Banks County","0199","Banks County High School","Associates",13.9
2007,"606","Banks County","0199","Banks County High School","No Postsecondary Credential/Not Enrolled",63.5
2007,"606","Banks County","ALL","All Banks County High Schools","Masters or Higher",5.2
2007,"606","Banks County","ALL","All Banks County High Schools","No Postsecondary Credential/Not Enrolled",63.5
