"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","OUT_OF_STATE_ENR_RANK"
2007,"613","Brantley County","ALL","All Brantley County High Schools","Western Texas College",2
2007,"614","Brooks County","2050","Brooks County High School","Florida State University",1
2007,"614","Brooks County","2050","Brooks County High School","Troy University",1
2007,"614","Brooks County","ALL","All Brooks County High Schools","Florida State University",1
2007,"614","Brooks County","ALL","All Brooks County High Schools","Troy University",1
2007,"615","Bryan County","0182","Richmond Hill High School","Austin Peay @ Fort Campbell",1
2007,"615","Bryan County","0182","Richmond Hill High School","Central Texas College-Traditional",1
2007,"615","Bryan County","0182","Richmond Hill High School","Eastern Connecticut State University",1
2007,"615","Bryan County","0182","Richmond Hill High School","Mcneese State University",1
2007,"615","Bryan County","0182","Richmond Hill High School","Ohio University",1
2007,"615","Bryan County","0502","Bryan County High School","University Of Phoenix",1
2007,"615","Bryan County","0502","Bryan County High School","University Of South Carolina, Upstate",1
2007,"615","Bryan County","ALL","All Bryan County High Schools","Eastern Connecticut State University",1
2007,"615","Bryan County","ALL","All Bryan County High Schools","Norfolk State University",1
2007,"615","Bryan County","ALL","All Bryan County High Schools","Ohio University",1
2007,"615","Bryan County","ALL","All Bryan County High Schools","University Of Alaska - Fairbanks",1
2007,"615","Bryan County","ALL","All Bryan County High Schools","University Of South Carolina, Upstate",1
2007,"616","Bulloch County","2054","Statesboro High School","Dillard University",1
2007,"616","Bulloch County","2054","Statesboro High School","Smith College",1
2007,"616","Bulloch County","2054","Statesboro High School","University Of Louisville",1
2007,"616","Bulloch County","2054","Statesboro High School","University Of Texas At Austin",1
2007,"616","Bulloch County","2054","Statesboro High School","Voorhees College",1
2007,"616","Bulloch County","4052","Portal Middle/High School","Northwest Missouri State University",1
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Bevill State Community College- Walker",1
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Devry  University - Ft. Washington",1
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Presbyterian College",1
2007,"616","Bulloch County","5052","Southeast Bulloch High School","University Of Phoenix",1
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Western Carolina University",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","Bevill State Community College- Walker",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","Northwest Missouri State University",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","Smith College",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","University Of Phoenix",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","University Of Texas At Austin",1
2007,"617","Burke County","0288","Burke County High School","Aiken Technical College",2
2007,"617","Burke County","0288","Burke County High School","Alabama State University",2
2007,"617","Burke County","0288","Burke County High School","Bethune-Cookman University",2
2007,"617","Burke County","0288","Burke County High School","Clemson University",2
2007,"617","Burke County","0288","Burke County High School","Gardner-Webb University",1
2007,"617","Burke County","ALL","All Burke County High Schools","Aiken Technical College",2
2007,"617","Burke County","ALL","All Burke County High Schools","Alabama State University",2
2007,"617","Burke County","ALL","All Burke County High Schools","Bethune-Cookman University",2
2007,"617","Burke County","ALL","All Burke County High Schools","Clemson University",2
2007,"617","Burke County","ALL","All Burke County High Schools","Gardner-Webb University",1
2007,"618","Butts County","0190","Jackson High School","Alabama State University",1
2007,"618","Butts County","0190","Jackson High School","Kansas State University",2
2007,"618","Butts County","0190","Jackson High School","Miles College",2
2007,"618","Butts County","0190","Jackson High School","Mississippi State University",2
2007,"618","Butts County","0190","Jackson High School","Trevecca Nazarene College",2
2007,"618","Butts County","ALL","All Butts County High Schools","Alabama State University",1
2007,"618","Butts County","ALL","All Butts County High Schools","Jacksonville State University",2
2007,"618","Butts County","ALL","All Butts County High Schools","Kansas State University",2
2007,"618","Butts County","ALL","All Butts County High Schools","Northwest Shoals Community College",2
2007,"618","Butts County","ALL","All Butts County High Schools","South Carolina State University",2
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Tuskegee University",1
2007,"619","Calhoun County","ALL","All Calhoun County High Schools","Tuskegee University",1
2007,"620","Camden County","0295","Camden County High School","Johnson & Wales University",2
2007,"620","Camden County","0295","Camden County High School","Los Angeles City College",2
2007,"620","Camden County","0295","Camden County High School","Southeastern Louisiana University",2
2007,"620","Camden County","0295","Camden County High School","Southwest Baptist University",2
2007,"620","Camden County","0295","Camden County High School","The Citadel Military College Of South C",1
2007,"620","Camden County","ALL","All Camden County High Schools","Clemson University",2
2007,"620","Camden County","ALL","All Camden County High Schools","Johnson & Wales University",2
2007,"620","Camden County","ALL","All Camden County High Schools","Mineral Area College",2
2007,"620","Camden County","ALL","All Camden County High Schools","The Citadel Military College Of South C",1
2007,"620","Camden County","ALL","All Camden County High Schools","University Of Pikeville",2
2007,"622","Carroll County","0189","Temple High School","Howard University",1
2007,"622","Carroll County","0189","Temple High School","Itt Technical Institute",1
2007,"622","Carroll County","0189","Temple High School","Jacksonville State University",1
2007,"622","Carroll County","0189","Temple High School","University Of Northwestern Ohio - Coll",1
2007,"622","Carroll County","0189","Temple High School","University Of Phoenix",1
2007,"622","Carroll County","0190","Open Campus High School","University Of Southern Indiana",1
2007,"622","Carroll County","0276","Mount Zion High School","Burlington County College",1
2007,"622","Carroll County","0276","Mount Zion High School","Jacksonville State University",1
2007,"622","Carroll County","0276","Mount Zion High School","Santa Fe College",1
2007,"622","Carroll County","0276","Mount Zion High School","Southern Union State Community College",1
2007,"622","Carroll County","2052","Central High School","Auburn University",1
2007,"622","Carroll County","2052","Central High School","Dean College",1
2007,"622","Carroll County","2052","Central High School","Johnson University",1
2007,"622","Carroll County","2052","Central High School","Troy University",1
2007,"622","Carroll County","2052","Central High School","University Of Tennessee Chattanooga",1
2007,"622","Carroll County","3050","Bowdon High School","Delta State University",1
2007,"622","Carroll County","3050","Bowdon High School","St Louis Community College",1
2007,"622","Carroll County","5054","Villa Rica High School","Auburn University",1
2007,"622","Carroll County","5054","Villa Rica High School","Charleston Southern University",1
2007,"622","Carroll County","5054","Villa Rica High School","Jacksonville State University",1
2007,"622","Carroll County","5054","Villa Rica High School","Jacksonville University",1
2007,"622","Carroll County","5054","Villa Rica High School","Troy University",5
2007,"622","Carroll County","ALL","All Carroll County High Schools","Auburn University",2
2007,"622","Carroll County","ALL","All Carroll County High Schools","Jacksonville State University",1
2007,"622","Carroll County","ALL","All Carroll County High Schools","Jacksonville University",3
2007,"622","Carroll County","ALL","All Carroll County High Schools","Southern Union State Community College",3
2007,"622","Carroll County","ALL","All Carroll County High Schools","Troy University",3
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Chattanooga State Community College",1
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Faulkner University",4
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Itt Technical Institute",3
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","Lee University",4
2007,"623","Catoosa County","1052","Lakeview-Fort Oglethorpe High School","University Of Tennessee Chattanooga",2
2007,"623","Catoosa County","4052","Ringgold High School","Brigham Young University",4
2007,"623","Catoosa County","4052","Ringgold High School","Carson-Newman Univ Masters",4
2007,"623","Catoosa County","4052","Ringgold High School","Chattanooga State Community College",1
2007,"623","Catoosa County","4052","Ringgold High School","Jacksonville State University",2
2007,"623","Catoosa County","4052","Ringgold High School","University Of Tennessee Chattanooga",2
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Brigham Young University",4
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Carson-Newman Univ Masters",4
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Chattanooga State Community College",1
2007,"623","Catoosa County","ALL","All Catoosa County High Schools","Jacksonville State University",3
