"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","GRADUATE_COUNT","LS_ENG_PCT","LS_MATH_PCT"
2007,"644","DeKalb County","2055","Druid Hills High School",220,11.6,33
2007,"644","DeKalb County","3060","Lakeside High School",257,6.1,8.8
2007,"644","DeKalb County","3070","McNair High School",131,27.6,48.3
2007,"644","DeKalb County","4053","Clarkston High School",102,26.4,54.7
2007,"644","DeKalb County","4054","Cross Keys High School",119,17.3,38.5
2007,"644","DeKalb County","4069","Towers High School",136,17.8,51.1
2007,"644","DeKalb County","5052","Chamblee Charter High School",264,2.2,15.8
2007,"644","DeKalb County","5055","Dunwoody High School",269,7.2,17.3
2007,"644","DeKalb County","5067","Southwest DeKalb High School",311,19.5,34.6
2007,"644","DeKalb County","ALL","All DeKalb County High Schools",4533,18.2,34.9
2007,"645","Dodge County","0103","Dodge County High School",197,11.5,26
2007,"645","Dodge County","ALL","All Dodge County High Schools",197,11.5,26
2007,"646","Dooly County","0182","Dooly County High School",45,27.6,41.4
2007,"646","Dooly County","ALL","All Dooly County High Schools",45,27.6,41.4
2007,"647","Dougherty County","1050","Albany High School",122,25.3,36.1
2007,"647","Dougherty County","1058","Monroe High School",172,33.7,55.1
2007,"647","Dougherty County","2052","Dougherty Comprehensive High School",118,28.2,38
2007,"647","Dougherty County","4062","Westover High School",203,25.7,37.5
2007,"647","Dougherty County","ALL","All Dougherty County High Schools",615,28,41.7
2007,"648","Douglas County","0100","Chapel Hill High School",300,9.4,17.5
2007,"648","Douglas County","0175","Lithia Springs Comprehensive High School",267,21.9,35.1
2007,"648","Douglas County","0187","Alexander High School",313,2.4,17.7
2007,"648","Douglas County","4050","Douglas County High School",248,23.3,35
2007,"648","Douglas County","ALL","All Douglas County High Schools",1128,13.3,25
2007,"649","Early County","2050","Early County High School",147,30.1,36.6
2007,"649","Early County","ALL","All Early County High Schools",147,30.1,36.6
2007,"650","Echols County","1050","Echols County High School",37,26.1,47.8
2007,"650","Echols County","ALL","All Echols County High Schools",37,26.1,47.8
2007,"651","Effingham County","0197","South Effingham High School",257,8.7,16.7
2007,"651","Effingham County","0390","Effingham County High School",272,8.9,14.1
2007,"651","Effingham County","ALL","All Effingham County High Schools",529,8.8,15.4
2007,"652","Elbert County","0176","Elbert County High School",183,12.8,25.6
2007,"652","Elbert County","ALL","All Elbert County High Schools",183,12.8,25.6
2007,"653","Emanuel County","0189","Swainsboro High School",150,23.4,29.8
2007,"653","Emanuel County","2050","Emanuel County Institute",54,12.1,27.3
2007,"653","Emanuel County","ALL","All Emanuel County High Schools",204,20.5,29.1
2007,"654","Evans County","2050","Claxton High School",88,19.6,17.9
2007,"654","Evans County","ALL","All Evans County High Schools",88,19.6,17.9
2007,"655","Fannin County","0176","Fannin County High School",179,10.8,20.3
2007,"655","Fannin County","ALL","All Fannin County High Schools",179,10.8,20.3
2007,"656","Fayette County","0105","Whitewater High School",416,9.2,16.2
2007,"656","Fayette County","0182","McIntosh High School",340,2,5
2007,"656","Fayette County","0192","Sandy Creek High School",276,9.9,15.8
2007,"656","Fayette County","0194","Evening School",23,11.1,55.6
2007,"656","Fayette County","0198","Starrs Mill High School",355,4.6,7.1
2007,"656","Fayette County","0398","Fayette County High School",267,10.7,18.2
2007,"656","Fayette County","ALL","All Fayette County High Schools",1677,7.1,12.5
2007,"657","Floyd County","0107","Pepperell High School",167,7.5,30.1
2007,"657","Floyd County","0201","Model High School",115,19.7,34.4
2007,"657","Floyd County","0401","Armuchee High School",119,17.2,42.2
2007,"657","Floyd County","5050","Coosa High School",134,18.3,41.7
2007,"657","Floyd County","ALL","All Floyd County High Schools",535,14.7,36.3
2007,"658","Forsyth County","0190","South Forsyth High School",544,8.1,13
2007,"658","Forsyth County","0195","North Forsyth High School",342,9.1,20.9
2007,"658","Forsyth County","0306","Forsyth County Academy",56,28,48
2007,"658","Forsyth County","5050","Forsyth Central High School",371,13.4,19.8
2007,"658","Forsyth County","ALL","All Forsyth County High Schools",1313,10.4,17.9
2007,"659","Franklin County","3050","Franklin County High School",162,12.9,29
2007,"659","Franklin County","ALL","All Franklin County High Schools",162,12.9,29
2007,"660","Fulton County","0106","Milton High School",429,4.2,8
2007,"660","Fulton County","0176","Banneker High School",216,32.9,46.8
2007,"660","Fulton County","0191","Roswell High School",443,4.8,6.8
2007,"660","Fulton County","0198","Centennial High School",364,4.7,8.8
2007,"660","Fulton County","0203","Northview High School",523,4.4,8.5
2007,"660","Fulton County","0205","Alpharetta High School",343,5.7,12
2007,"660","Fulton County","0291","Creekside High School",268,21.4,35.9
2007,"660","Fulton County","0383","McClarin High School",77,47.1,70.6
2007,"660","Fulton County","0386","Independence High School",102,13.7,31.4
2007,"660","Fulton County","0392","Chattahoochee High School",437,2.6,6.7
2007,"660","Fulton County","0691","Tri-Cities High School",267,20.2,42.6
2007,"660","Fulton County","3066","Riverwood International Charter School",228,1.3,18.2
2007,"660","Fulton County","4062","North Springs High School",317,7.4,11
2007,"660","Fulton County","5069","Westlake High School",245,17.1,31.4
2007,"660","Fulton County","ALL","All Fulton County High Schools",4259,8.2,15.3
2007,"661","Gilmer County","0196","Gilmer High School",172,9.3,28.9
2007,"661","Gilmer County","ALL","All Gilmer County High Schools",172,9.3,28.9
2007,"662","Glascock County","0196","Glascock County Middle/High School",27,4.8,33.3
2007,"662","Glascock County","ALL","All Glascock County High Schools",27,4.8,33.3
2007,"663","Glynn County","3552","Brunswick High School",251,20.5,24
2007,"663","Glynn County","4752","Glynn Academy",314,13.3,20.4
2007,"663","Glynn County","ALL","All Glynn County High Schools",565,16.5,22
2007,"664","Gordon County","0286","Gordon Central High School",290,17.4,34.9
