"GRADUATION_YEAR","SCHOOL_DISTRCT_CD","DISTRICT","INSTN_NUMBER","SCHOOL_NAME","COLLEGE","INSTATE_ENR_RANK"
2007,"611","Bibb County","ALL","All Bibb County High Schools","Valdosta State University",4
2007,"612","Bleckley County","0105","Bleckley County High School","Heart Of Georgia Technical College",2
2007,"612","Bleckley County","0105","Bleckley County High School","Mercer University",5
2007,"612","Bleckley County","0105","Bleckley County High School","Middle Georgia State University",1
2007,"612","Bleckley County","0105","Bleckley County High School","Middle Georgia Technical College",3
2007,"612","Bleckley County","0105","Bleckley County High School","University Of Georgia",4
2007,"612","Bleckley County","ALL","All Bleckley County High Schools","Heart Of Georgia Technical College",2
2007,"612","Bleckley County","ALL","All Bleckley County High Schools","Middle Georgia State University",1
2007,"612","Bleckley County","ALL","All Bleckley County High Schools","Middle Georgia Technical College",3
2007,"612","Bleckley County","ALL","All Bleckley County High Schools","University Of Georgia",4
2007,"612","Bleckley County","ALL","All Bleckley County High Schools","Valdosta State University",5
2007,"613","Brantley County","1050","Brantley County High School","College Of Coastal Georgia",3
2007,"613","Brantley County","1050","Brantley County High School","Okefenokee Technical College",1
2007,"613","Brantley County","1050","Brantley County High School","University Of Georgia",5
2007,"613","Brantley County","1050","Brantley County High School","Valdosta State University",4
2007,"613","Brantley County","1050","Brantley County High School","Waycross College",2
2007,"613","Brantley County","ALL","All Brantley County High Schools","College Of Coastal Georgia",3
2007,"613","Brantley County","ALL","All Brantley County High Schools","Okefenokee Technical College",1
2007,"613","Brantley County","ALL","All Brantley County High Schools","University Of Georgia",5
2007,"613","Brantley County","ALL","All Brantley County High Schools","Valdosta State University",4
2007,"613","Brantley County","ALL","All Brantley County High Schools","Waycross College",2
2007,"614","Brooks County","2050","Brooks County High School","Abraham Baldwin Agricultural College",2
2007,"614","Brooks County","2050","Brooks County High School","Albany State University",5
2007,"614","Brooks County","2050","Brooks County High School","South Georgia State College",2
2007,"614","Brooks County","2050","Brooks County High School","Valdosta State University",2
2007,"614","Brooks County","2050","Brooks County High School","Valdosta Technical College",1
2007,"614","Brooks County","ALL","All Brooks County High Schools","Abraham Baldwin Agricultural College",2
2007,"614","Brooks County","ALL","All Brooks County High Schools","Albany State University",5
2007,"614","Brooks County","ALL","All Brooks County High Schools","South Georgia State College",2
2007,"614","Brooks County","ALL","All Brooks County High Schools","Valdosta State University",2
2007,"614","Brooks County","ALL","All Brooks County High Schools","Valdosta Technical College",1
2007,"615","Bryan County","0182","Richmond Hill High School","Armstrong State University",1
2007,"615","Bryan County","0182","Richmond Hill High School","Georgia College & State University",5
2007,"615","Bryan County","0182","Richmond Hill High School","Georgia Southern University",2
2007,"615","Bryan County","0182","Richmond Hill High School","Savannah Technical College",3
2007,"615","Bryan County","0182","Richmond Hill High School","Valdosta State University",4
2007,"615","Bryan County","0502","Bryan County High School","Armstrong State University",2
2007,"615","Bryan County","0502","Bryan County High School","East Georgia State College",1
2007,"615","Bryan County","0502","Bryan County High School","Georgia Southern University",4
2007,"615","Bryan County","0502","Bryan County High School","Ogeechee Technical College",2
2007,"615","Bryan County","0502","Bryan County High School","Savannah Technical College",4
2007,"615","Bryan County","ALL","All Bryan County High Schools","Armstrong State University",1
2007,"615","Bryan County","ALL","All Bryan County High Schools","East Georgia State College",4
2007,"615","Bryan County","ALL","All Bryan County High Schools","Georgia Southern University",2
2007,"615","Bryan County","ALL","All Bryan County High Schools","Savannah Technical College",3
2007,"615","Bryan County","ALL","All Bryan County High Schools","Valdosta State University",5
2007,"616","Bulloch County","2054","Statesboro High School","East Georgia State College",2
2007,"616","Bulloch County","2054","Statesboro High School","Georgia Southern University",1
2007,"616","Bulloch County","2054","Statesboro High School","Ogeechee Technical College",4
2007,"616","Bulloch County","2054","Statesboro High School","University Of Georgia",3
2007,"616","Bulloch County","2054","Statesboro High School","Valdosta State University",5
2007,"616","Bulloch County","4052","Portal Middle/High School","East Georgia State College",1
2007,"616","Bulloch County","4052","Portal Middle/High School","Georgia Southern University",3
2007,"616","Bulloch County","4052","Portal Middle/High School","Middle Georgia State University",4
2007,"616","Bulloch County","4052","Portal Middle/High School","Ogeechee Technical College",2
2007,"616","Bulloch County","4052","Portal Middle/High School","South Georgia State College",4
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Abraham Baldwin Agricultural College",4
2007,"616","Bulloch County","5052","Southeast Bulloch High School","East Georgia State College",3
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Georgia College & State University",5
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Georgia Southern University",2
2007,"616","Bulloch County","5052","Southeast Bulloch High School","Ogeechee Technical College",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","Abraham Baldwin Agricultural College",5
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","East Georgia State College",2
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","Georgia Southern University",1
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","Ogeechee Technical College",3
2007,"616","Bulloch County","ALL","All Bulloch County High Schools","University Of Georgia",4
2007,"617","Burke County","0288","Burke County High School","Augusta Technical College",1
2007,"617","Burke County","0288","Burke County High School","Augusta University",2
2007,"617","Burke County","0288","Burke County High School","East Georgia State College",3
2007,"617","Burke County","0288","Burke County High School","Middle Georgia State University",4
2007,"617","Burke County","0288","Burke County High School","University Of Georgia",5
2007,"617","Burke County","ALL","All Burke County High Schools","Augusta Technical College",1
2007,"617","Burke County","ALL","All Burke County High Schools","Augusta University",2
2007,"617","Burke County","ALL","All Burke County High Schools","East Georgia State College",3
2007,"617","Burke County","ALL","All Burke County High Schools","Georgia Southern University",5
2007,"617","Burke County","ALL","All Burke County High Schools","Middle Georgia State University",4
2007,"618","Butts County","0190","Jackson High School","Abraham Baldwin Agricultural College",3
2007,"618","Butts County","0190","Jackson High School","Georgia Perimeter College",5
2007,"618","Butts County","0190","Jackson High School","Gordon State College",1
2007,"618","Butts County","0190","Jackson High School","Griffin Technical College",2
2007,"618","Butts County","0190","Jackson High School","Macon State College",4
2007,"618","Butts County","ALL","All Butts County High Schools","Abraham Baldwin Agricultural College",3
2007,"618","Butts County","ALL","All Butts County High Schools","Georgia Perimeter College",5
2007,"618","Butts County","ALL","All Butts County High Schools","Gordon State College",1
2007,"618","Butts County","ALL","All Butts County High Schools","Griffin Technical College",2
2007,"618","Butts County","ALL","All Butts County High Schools","Macon State College",4
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Albany State University",5
2007,"619","Calhoun County","4050","Calhoun County Middle/High School","Albany Technical College",2
