"Job Code","Title","Description","Cert. Required","Report Cert. on CPI","Function","Object"
"634","Social Services Case Manager","Manages and directs the Community Services program.","N","N"
"635","Community School Director/Coordinator","Coordinates the community schools program at the school.","N","Y"
"640","Special Education Director","Manages and directs the school system program for eligible students with disabilities.","Y","Y"
"641","Director of Student Services","Manages and directs the guidance and counseling program, discipline program, and/or other student services for the school system.","Y","Y"
"642","School Improvement Specialist","Directs the School Improvement program for a school system or a group of school systems.","Y","Y"
"643","Technology Director","Manages and directs activities related to information technology and technology specialists.","N","Y"
"644","Enterprise Tech Coordinator","Supervises and directs activities related to technology for an enterprise operation.","N","N"
"645","Kindergarten Director","Manages and directs the school system program provided for kindergarten students.","Y","Y"
"646","Federal Programs Director","Manages and directs various federal programs for the system.","N","N"
"648","Title I Director","Manages and directs the Title I (Elementary and Secondary Education Act of 1995) program.","Y","Y"
"650","Director of GNETS Program","Manages and directs the GNETS program for students with severe emotional and behavioral disorders or autism.","Y","Y"
"651","Even Start Director","Manages and directs the Even Start program for the school district.","N","N"
"652","School Improvement Specialist (School)","Directs the School Improvement programs for a school. ","Y","Y"
"660","Director of Ga. Learning Resources System","Plans and directs activities of GLRS (Georgia Learning Resources System) program including dissemination of information, instructional materials and media, recruitment of qualified personnel, and staff development programs for parents and personnel.","Y","Y"
"665","Special Education Program Specialist","Coordinates activities with community agencies, parents, and the school system in the identification, placement, reporting, and follow-up of pre-school and school age children with disabilities.  Provides assistance in designing and implementing.","Y","Y"
"670","Career, Technical and  Agricultural Education Director (LUA)","Manages and gives direction to the total program of Career, Technical and  Agricultural Education in a school system.","Y","Y"
"671","Career, Technical and Agricultural Education Director (RESA)","Provides technical assistance on Career, Technical and Agricultural Education to systems within a RESA.","Y","Y"
"672","Career, Technical and Agricultural Education  Supervisor (School level)","Supervises the Career, Technical and Agricultural Education instructional programs within a high school or educational center.","Y","Y"
"673","Youth Apprenticeship Coordinator","Coordinates the youth apprenticeship program for the system or RESA.","N","Y"
"674","CTAE Director/Supervisor of Extended Year Program","A Career, Technical and Agricultural Education (CTAE) director or supervisor, with a leadership certificate, who also provides  supervision of the summer CTAE  instructional programs and earns extra pay for this through Fund Code 76 (CTAE Extended Year state grant funds).","Y","Y"
"675","Adult Education Director/Coordinator","Manages and directs the instructional program for adult learners.","N","Y"
"680","Athletics Director","Manages and directs the athletics/sports program for the school system","N","Y"
"691","District Board Member","District School Board Member (Do Not Report on CPI - for CS1 Purposes Only.)","N","N"
