"Subject Matter Code","Subject Matter"
"6T3","Turkish"
"6T8","Turkish"
"6U0","Urdu"
"6U2","Urdu"
"6U3","Urdu"
"6U8","Urdu"
"6W0","Swahili"
"6W2","Swahili"
"6W3","Swahili"
"6W8","Swahili"
"700","Professional/Career Preparation"
"702","Professional/Career Preparation"
"703","Professional/Career Preparation"
"708","Professional/Career Preparation"
"800","Regular Ed - Consultative - Not Teacher of Record"
"808","Spec Ed Service - Consultative Role Only"
"900","Computer Assisted Instruction - No Content Delivery"
"910","Study Skills - Not Subject-Specific"
"911","Study Skills - Not Subject-Specific (Remedial)"
"912","Study Skills - Not Subject-Specific (Gifted)"
"918","Study Skills - Not Subject-Specific (Special Ed)"
"920","Elementary Instruction"
"922","Elementary Instruction"
"923","Elementary Instruction"
"928","Elementary Instruction"
"930","Middle Grades 6, 7, 8"
"932","Middle Grades 6, 7, 8"
"933","Middle Grades 6, 7, 8"
"938","Middle Grades 6, 7, 8"
"950","High School Grades 9, 10, 11, 12"
"952","High School Grades 9, 10, 11, 12"
"953","High School Grades 9, 10, 11, 12"
"958","High School Grades 9, 10, 11, 12"
"962","Gifted"
"970","Grades P through 12"
"972","Grades P through 12"
"973","Grades P through 12"
"978","Grades P through 12"
"999","Not applicable"
