school,loc_code,level,cluster,prin_lgl_nm,prin_beg_dt,year_opened,enrollment_n,k12_enr_n,attendance_pct,mobility,free,eoy_dt,prin_year,prin_since,sys_id,sch_id,sspi,title_i,grade,star_rtg,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma
Lilburn ES,600,ES,Meadowcreek,Guerlene Melissa Merisme,2016-07-01,1972,1340,1264,96.38,0.184328358208955,74.0506329113924,2022-07-01,5.66849315068493,"July 1, 2016",667,5554,-2.15111647831171,Y,B,4,82.9,81.182,71.707,85.608,86.231,95.4,40.3,49.1,44.3,54.5,45.1,38.7
Meadowcreek ES,638,ES,Meadowcreek,Adrienne Leigh Tedesco,2019-01-02,1999,916,866,96.82,0.216157205240175,87.6443418013857,2022-07-01,3.16164383561644,"January 2, 2019",667,0199,-1.45699617794418,Y,D,4,68.5,76.169,72.459,75.009,81.039,94.7,35.2,44.3,25,42.2,23.4,23.3
Hopkins ES,490,ES,Berkmar,Gabriel L. Zaragoza,2019-09-23,1985,1113,1055,96.85,0.170709793351303,82.9383886255924,2022-07-01,2.43835616438356,"September 23, 2019",667,0285,-1.62568063617762,Y,C,4,75.2,77.938,72.166,79.903,81.746,95,29.4,43.9,36.3,41.2,35.1,37.4
Ferguson ES,502,ES,Meadowcreek,Angelique S. Mitchell,2014-06-02,2011,885,822,97.52,0.229378531073446,70.0729927007299,2022-07-01,7.74794520547945,"June 2, 2014",667,1013,-2.2459208147551,Y,C,4,78.3,78.417,70.771,81.386,83.095,95.1,35.9,50.7,34.8,49.6,40.6,38.5
Corley ES,979,ES,Berkmar,Aleshia S. Duckworth,2022-01-04,2004,1179,1061,98.19,0.274809160305344,84.6371347785108,2022-07-01,0.156164383561644,"January 4, 2022",667,0205,-2.11353810329659,Y,B,4,84.9,79.324,73.851,79.339,84.781,95.8,40.5,52.2,39.6,48.3,40.2,35.8
Minor ES,645,ES,Berkmar,Scott H. Frandsen,2016-07-01,1988,947,878,97.61,0.194297782470961,72.6651480637813,2022-07-01,5.66849315068493,"July 1, 2016",667,0288,-0.96419735255975,Y,C,4,74.7,77.16,67.219,77.626,86.635,94,29,35.3,32,43.3,34.4,32.9
Bethesda ES,150,ES,Berkmar,Katrina Lynette M. Larmond,2019-06-04,1958,1218,1149,97.15,0.155172413793103,65.4482158398607,2022-07-01,2.74246575342466,"June 4, 2019",667,2050,-0.839589693124669,Y,C,5,78.9,81.339,70.494,87.892,85.632,97.6,37.1,48.1,39.7,55.9,46.9,52.1
Kanoheda ES,495,ES,Berkmar,Dranita L. Morrow,2021-02-22,1995,916,842,96.61,0.21943231441048,70.9026128266033,2022-07-01,1.02191780821918,"February 22, 2021",667,0495,-1.39939470788017,Y,C,4,73.8,78.473,70.178,82.714,82.526,96.2,39.7,51.3,43.8,57,39.6,41.7
Alford ES,155,ES,Discovery,Sebastian R. Davis,2010-11-01,2004,956,894,97.22,0.178870292887029,68.0089485458613,2022-07-01,11.3315068493151,"November 1, 2010",667,1105,-0.208456869104846,Y,B,4,82.9,80.928,75.449,81.687,85.649,94.5,32.3,52.9,39,48.1,48.8,48.6
Benefield ES,115,ES,Discovery,Shonda G. Stevens,2015-07-01,1983,1241,1175,97.16,0.156325543916197,73.6170212765957,2022-07-01,6.66849315068493,"July 1, 2015",667,0109,-0.30341452050583,Y,C,4,78.7,78.777,71.207,78.298,86.827,96.1,37.8,46.5,40.8,48.6,43.9,48
Baggett ES,535,ES,Discovery,Mitchell E. Green,2020-07-01,2016,1093,1017,97.25,0.231473010064044,82.2025565388397,2022-07-01,1.66849315068493,"July 1, 2020",667,1811,-1.2967768518758,Y,C,4,79.2,79.873,72.444,80.765,86.41,96,32.1,43.8,31.5,39.3,42.7,44.6
Graves ES,541,ES,Meadowcreek,Monica L. Johnson-Ball,2021-07-01,2016,1217,1130,96.95,0.238290879211175,76.5486725663717,2022-07-01,0.668493150684932,"July 1, 2021",667,1812,-3.24188478943012,Y,C,4,74.6,78.03,73.715,82.426,77.948,94.3,31.6,40.9,26.8,42.8,31.5,27.8
Walnut Grove ES,975,ES,Collins Hill,Dale G. Pugh,2016-06-01,1993,796,742,98,0.138190954773869,37.0619946091644,2022-07-01,5.75068493150685,"June 1, 2016",667,0193,0.690930468063371,N,A,4,91.3,84.14,74.796,91.599,86.024,92.8,58.2,67.4,62,66,60.7,68.1
Taylor ES,935,ES,Collins Hill,Paula C. Cobb,2011-06-01,1998,850,798,98.64,0.122352941176471,41.3533834586466,2022-07-01,10.7506849315069,"June 1, 2011",667,0498,0.548667342946976,N,B,4,84.6,80.345,70.738,85.044,85.253,92.3,56.8,64.8,59,64.7,57.3,54.3
McKendree ES,635,ES,Collins Hill,Tyese Michella Scott,2017-01-03,1989,1051,969,98.23,0.245480494766889,51.702786377709,2022-07-01,5.15890410958904,"January 3, 2017",667,0289,0.0314805497427965,Y,B,4,88.7,80.677,70.839,84.948,86.243,96.2,34.7,51.3,42.7,47.4,51.3,57.1
Rock Springs ES,801,ES,Collins Hill,Dennis A. Gee,2018-02-12,2000,810,760,98.03,0.218518518518519,33.1578947368421,2022-07-01,4.04931506849315,"February 12, 2018",667,0100,0.489112708819271,N,B,3,85.2,77.108,69.722,84.608,76.995,90.4,49.7,50.4,51.8,59.8,52.7,48
Arcado ES,095,ES,Parkview,Paula Thompson,2022-01-04,1982,936,878,97.8,0.144230769230769,48.4054669703872,2022-07-01,0.156164383561644,"January 4, 2022",667,0382,0.260391028050756,Y,A,4,91,81.471,76.044,83.694,84.674,95.3,63.4,66.2,58.8,66.2,60.8,64.2
Baldwin ES,547,ES,Norcross,Brenda F. Johnson,2016-07-01,2017,1030,963,96.77,0.198058252427184,73.6240913811007,2022-07-01,5.66849315068493,"July 1, 2016",667,1816,-2.29663438470731,N,C,4,75.2,81.949,77.574,84.495,83.777,92.7,28.8,41.9,44.1,57,33.9,37.7
