obj_id,obj_name,obj_typ,obj_subtcd,obj_subtyp,country,metro,lat,lon,reldate,nces_schid,nces_disid,st,sys_id,sch_id,level,sch_type,sch_type_text,sys_sch,school_district_nm,school_name,mobility,k12_enr_n,k12_fl_n,k12_rpl_n,k12_frpl_n,unmasked_k12_frpl_pct
16018900,BOLTON ACADEMY,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.810835,-84.457186,20211112,130012003028,1300120,GA,761,0303,Elementary,1,Regular School,761303,Atlanta Public Schools,Bolton Academy,8.7,484,152,19,171,35.3305785123967
16018902,USHER-COLLIER HIEGHTS ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.771462,-84.479451,20211112,130012003030,1300120,GA,761,0604,Elementary,1,Regular School,761604,Atlanta Public Schools,Bazoline E. Usher/Collier Heights Elmentary School,11.3,384,384,0,384,100
16018903,WILLIAM FINCH ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.716339,-84.433601,20211112,130012003468,1300120,GA,761,0105,Elementary,1,Regular School,761105,Atlanta Public Schools,Finch Elementary,17.4,330,330,0,330,100
16018904,DEERWOOD ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.685172,-84.526955,20211112,130012003470,1300120,GA,761,0304,Elementary,1,Regular School,761304,Atlanta Public Schools,Deerwood Academy School,13.9,525,525,0,525,100
16018905,BURGESS-PETERSON ACADEMY,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.739492,-84.341867,20211112,130012003471,1300120,GA,761,0305,Elementary,1,Regular School,761305,Atlanta Public Schools,Burgess-Peterson Elementary School,6.9,482,56,12,68,14.1078838174274
16018906,CARVER EARLY COLLEGE HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.712487,-84.406713,20211112,130012003540,1300120,GA,761,0106,High,1,Regular School,761106,Atlanta Public Schools,Early College High School at Carver,8.6,520,520,0,520,100
16018915,SPRINGDALE PARK ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",33.780107,-84.365882,20211112,130012003841,1300120,GA,761,0116,Elementary,1,Regular School,761116,Atlanta Public Schools,Springdale Park Elementary School,9.8,708,20,2,22,3.10734463276836
16018928,BANKS COUNTY HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,,34.354106,-83.496981,20211112,130024000169,1300240,GA,606,0199,High,1,Regular School,606199,Banks County,Banks County High School,9.6,858,295,47,342,39.8601398601399
16018929,BANKS COUNTY PRIMARY SCHOOL,School,SAZ,School Attendance Zone,USA,,34.354106,-83.496981,20211112,130024000170,1300240,GA,606,0205,Elementary,1,Regular School,606205,Banks County,Banks County Primary School,12.8,615,301,64,365,59.349593495935
16018930,BANKS COUNTY MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,,34.354106,-83.496981,20211112,130024002015,1300240,GA,606,0105,Middle,1,Regular School,606105,Banks County,Banks County Middle School,10.7,672,300,73,373,55.5059523809524
16018931,BANKS COUNTY ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,34.354106,-83.496981,20211112,130024003545,1300240,GA,606,0107,Elementary,1,Regular School,606107,Banks County,Banks County Elementary School,10.2,582,278,48,326,56.0137457044674
16018932,BRAMLETT ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",34.055407,-83.790048,20211112,130029000134,1300290,GA,607,0193,Elementary,1,Regular School,607193,Barrow County,Bramlett Elementary School,14.2,606,136,50,186,30.6930693069307
16018933,STATHAM ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,33.990986,-83.598731,20211112,130029000171,1300290,GA,607,5050,Elementary,1,Regular School,6075050,Barrow County,Statham Elementary School,13.4,671,311,74,385,57.3770491803279
16018934,HOLSENBECK ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,34.01718,-83.673983,20211112,130029000172,1300290,GA,607,4050,Elementary,1,Regular School,6074050,Barrow County,Holsenbeck Elementary School,12.5,648,261,45,306,47.2222222222222
16018935,WINDER-BARROW HIGH SCHOOL,School,SAZ,School Attendance Zone,USA,,34.019299,-83.689332,20211112,130029000173,1300290,GA,607,3052,High,1,Regular School,6073052,Barrow County,Winder-Barrow High School,12.4,1911,548,105,653,34.1705913134485
16018936,COUNTY LINE ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",34.015185,-83.734454,20211112,130029000174,1300290,GA,607,0105,Elementary,1,Regular School,607105,Barrow County,County Line Elementary School,19.6,503,185,44,229,45.5268389662028
16018937,BEAR CREEK MIDDLE SCHOOL,School,SAZ,School Attendance Zone,USA,,34.002278,-83.631171,20211112,130029000175,1300290,GA,607,0114,Middle,1,Regular School,607114,Barrow County,Bear Creek Middle School,11.4,686,266,60,326,47.5218658892128
16018938,BETHLEHEM ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,,33.930171,-83.678289,20211112,130029000176,1300290,GA,607,0205,Elementary,1,Regular School,607205,Barrow County,Bethlehem Elementary School,13,671,275,89,364,54.24739195231
16018939,AUBURN ELEMENTARY SCHOOL,School,SAZ,School Attendance Zone,USA,"Atlanta, GA",34.016165,-83.831302,20211112,130029000178,1300290,GA,607,1050,Elementary,1,Regular School,6071050,Barrow County,Auburn Elementary School,17.1,608,292,72,364,59.8684210526316
