"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0106","607","2019-20","Haymon-Morris Middle School","Barrow County","06,07,08",4,0,16,23,5,52,0,52,14.4,15,67,7.3,,,,,132,14.4,36,3.9,0,0,,,10,1.1,120,13.1,53,47
"School","0114","607","2019-20","Bear Creek Middle School","Barrow County","06,07,08",5,1,16,19,4,56,0,57,17.9,12,158,20.8,,,,,136,17.9,28,3.7,0,0,,,17,2.3,92,12.1,51,49
"School","0189","607","2019-20","Kennedy Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,19,25,7,45,0,65,15.8,20,,,124,14.3,,,137,15.8,129,14.9,16,30.8,,,0,0,81,9.3,48,52
"School","0193","607","2019-20","Bramlett Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,0,6,16,6,67,0,38,12.9,16,,,150,24.3,,,80,12.9,76,12.3,4,8.5,,,0,0,54,8.7,53,47
"School","0198","607","2019-20","Westside Middle School","Barrow County","06,07,08",4,0,14,20,6,56,0,61,15.9,12,138,17.6,,,,,124,15.9,33,4.2,0,0,,,18,2.3,69,8.8,49,51
"School","0205","607","2019-20","Bethlehem Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,8,23,4,60,0,54,13.9,16,,,230,32.3,,,99,13.9,89,12.5,21,25.3,,,0,0,37,5.2,50,50
"School","0289","607","2019-20","Russell Middle School","Barrow County","06,07,08",6,0,13,18,5,58,1,50,14.7,12,164,16.6,,,,,145,14.7,35,3.6,0,0,,,16,1.6,136,13.8,51,49
"School","0298","607","2019-20","Yargo Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,17,21,6,53,0,54,13.3,19,,,289,33.1,,,116,13.3,129,14.8,7,14.9,,,0,0,58,6.7,49,51
"School","0299","607","2019-20","Winder Elementary School","Barrow County","PK,KK,01,02,03,04,05",5,0,21,19,8,46,0,69,14.7,15,,,210,34,,,91,14.7,64,10.4,19,51.4,,,0,0,51,8.3,51,49
"School","1050","607","2019-20","Auburn Elementary School","Barrow County","PK,KK,01,02,03,04,05",6,0,7,22,7,58,0,68,16.1,17,,,246,38.2,,,104,16.1,92,14.3,27,42.9,,,0,0,30,4.7,52,48
"School","3052","607","2019-20","Winder-Barrow High School","Barrow County","09,10,11,12",6,0,15,18,4,57,0,45,12.9,6,,,,,31,1.5,274,12.9,66,3.1,0,0,1325,62.4,29,1.8,293,13.8,51,49
"School","4050","607","2019-20","Holsenbeck Elementary School","Barrow County","PK,KK,01,02,03,04,05",5,0,9,20,6,60,0,57,14.7,18,,,185,27.2,,,100,14.7,98,14.4,11,23.4,,,0,0,60,8.8,52,48
"School","5050","607","2019-20","Statham Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,13,19,6,59,0,55,17.3,16,,,311,43.3,,,124,17.3,87,12.1,31,44.3,,,0,0,70,9.7,51,49
"District","ALL","607","2019-20","All Column Values","Barrow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",5,0,14,20,5,56,0,54,14.7,13,527,15.3,1893,30.3,514,12.6,2026,14.7,1111,8.1,147,29.7,2463,60.3,121,0.9,1416,10.3,51,49
"School","0101","608","2019-20","Woodland Middle School at Euharlee","Bartow County","06,07,08",0,1,8,9,5,77,0,53,13.4,3,117,16.1,,,,,97,13.4,7,1,0,0,,,5,0.7,113,15.6,52,48
"School","0104","608","2019-20","Clear Creek Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,3,9,4,83,0,51,11.6,4,,,158,27.4,,,67,11.6,17,3,12,22.6,,,0,0,59,10.2,49,51
"School","0105","608","2019-20","Adairsville High School","Bartow County","09,10,11,12",1,0,6,8,3,82,0,43,12.7,2,,,,,23,2.4,121,12.7,11,1.2,0,0,532,55.8,9,1.2,157,16.5,50,50
"School","0106","608","2019-20","Pine Log Elementary","Bartow County","PK,KK,01,02,03,04,05",0,1,1,6,4,88,0,52,14.6,5,,,112,28.7,,,57,14.6,16,4.1,16,48.5,,,0,0,39,10,53,47
"School","0107","608","2019-20","Euharlee Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,8,8,5,78,0,48,12.2,3,,,55,12.9,,,52,12.2,10,2.3,15,25,,,0,0,29,6.8,50,50
"School","0114","608","2019-20","Cass High School","Bartow County","09,10,11,12",3,0,15,18,5,58,0,51,12.2,4,,,,,27,1.8,182,12.2,36,2.4,0,0,957,64.4,10,0.9,169,11.4,51,49
"School","0115","608","2019-20","Cloverleaf Elementary","Bartow County","PK,KK,01,02,03,04,05",2,0,19,16,7,56,0,66,9.3,11,,,194,29.6,,,61,9.3,55,8.4,10,18.9,,,0,0,53,8.1,51,49
"School","0175","608","2019-20","White Elementary School","Bartow County","PK,KK,01,02,03,04,05",2,0,15,16,6,62,0,60,10,7,,,61,11.7,,,52,10,34,6.5,4,8.7,,,0,0,49,9.4,50,50
"School","0177","608","2019-20","Adairsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,7,8,6,79,0,52,10.9,4,,,55,7.8,,,77,10.9,25,3.5,7,10.1,,,0,0,67,9.5,51,49
"School","0186","608","2019-20","Mission Road Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,8,14,5,72,0,56,13.7,8,,,76,18.9,,,55,13.7,22,5.5,2,8.3,,,0,0,69,17.2,50,50
"School","0190","608","2019-20","Red Top Middle School","Bartow County","06,07,08",1,0,11,25,4,58,0,76,14,18,166,26.7,,,,,87,14,36,5.8,0,0,,,7,1.1,73,11.8,50,50
"School","0195","608","2019-20","Cass Middle School","Bartow County","06,07,08",2,0,15,19,5,58,0,59,13.2,12,152,15.2,,,,,132,13.2,44,4.4,0,0,,,6,0.6,131,13.1,51,49
"School","0196","608","2019-20","Allatoona Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,4,37,6,52,0,73,14.6,29,,,100,25.6,,,57,14.6,90,23.1,0,0,,,0,0,32,8.2,54,46
"School","0198","608","2019-20","Woodland High School","Bartow County","09,10,11,12",0,0,6,15,4,75,0,43,10.1,2,,,,,252,16.9,150,10.1,18,1.2,0,0,618,41.5,16,1.4,190,12.8,51,49
"School","0296","608","2019-20","Kingston Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,16,26,6,51,0,76,10,19,,,115,25.1,,,46,10,71,15.5,6,21.4,,,0,0,30,6.6,51,49
