"DETAIL_LVL_DESC","INSTN_NUMBER","SCHOOL_DSTRCT_CD","LONG_SCHOOL_YEAR","INSTN_NAME","SCHOOL_DSTRCT_NM","GRADES_SERVED_DESC","ENROLL_PERCENT_ASIAN","ENROLL_PERCENT_NATIVE","ENROLL_PERCENT_BLACK","ENROLL_PERCENT_HISPANIC","ENROLL_PERCENT_MULTIRACIAL","ENROLL_PERCENT_WHITE","ENROLL_PERCENT_MIGRANT","ENROLL_PERCENT_ED","ENROLL_PERCENT_SWD","ENROLL_PERCENT_LEP","ENROLL_COUNT_REMEDIAL_GR_6_8","ENROLL_PCT_REMEDIAL_GR_6_8","ENROLL_COUNT_EIP_K_5","ENROLL_PERCENT_EIP_K_5","ENROLL_COUNT_REMEDIAL_GR_9_12","ENROLL_PCT_REMEDIAL_GR_9_12","ENROLL_COUNT_SPECIAL_ED_K12","ENROLL_PCT_SPECIAL_ED_K12","ENROLL_COUNT_ESOL","ENROLL_PCT_ESOL","ENROLL_COUNT_SPECIAL_ED_PK","ENROLL_PCT_SPECIAL_ED_PK","ENROLL_COUNT_VOCATION_9_12","ENROLL_PCT_VOCATION_9_12","ENROLL_COUNT_ALT_PROGRAMS","ENROLL_PCT_ALT_PROGRAMS","ENROLL_COUNT_GIFTED","ENROLL_PCT_GIFTED","ENROLL_PERCENT_MALE","ENROLL_PERCENT_FEMALE"
"School","0299","607","2017-18","Winder Elementary School","Barrow County","PK,KK,01,02,03,04,05",5,0,21,17,10,47,0,78,12.7,15,,,184,30.5,,,77,12.7,64,10.6,13,23.6,,,0,0,52,8.6,50,50
"School","1050","607","2017-18","Auburn Elementary School","Barrow County","PK,KK,01,02,03,04,05",8,0,5,19,7,61,0,75,13.8,17,,,253,36.4,,,96,13.8,89,12.8,26,40.6,,,0,0,32,4.6,51,49
"School","3052","607","2017-18","Winder-Barrow High School","Barrow County","09,10,11,12",6,0,15,17,5,57,0,52,13.8,5,,,,,131,6.5,277,13.8,42,2.1,0,0,1190,59.1,11,0.7,217,10.8,52,48
"School","4050","607","2017-18","Holsenbeck Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,10,19,5,62,0,65,13.9,17,,,201,28.8,,,97,13.9,83,11.9,6,13,,,0,0,57,8.2,49,51
"School","5050","607","2017-18","Statham Elementary School","Barrow County","PK,KK,01,02,03,04,05",4,0,14,17,5,59,0,62,13,16,,,280,36,,,101,13,94,12.1,17,29.3,,,0,0,61,7.9,54,46
"District","ALL","607","2017-18","All Column Values","Barrow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",5,0,13,18,5,58,0,59,13.8,13,494,15.1,1976,31.5,379,9.9,1839,13.8,984,7.4,104,23.1,2232,58.4,73,0.6,1269,9.5,51,49
"School","0101","608","2017-18","Woodland Middle School at Euharlee","Bartow County","06,07,08",0,0,7,9,3,82,0,49,11.2,3,106,14.4,,,,,83,11.2,3,0.4,0,0,,,9,1.2,115,15.6,51,49
"School","0104","608","2017-18","Clear Creek Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,2,8,4,85,0,51,12.1,4,,,31,5.8,,,65,12.1,17,3.2,12,22.2,,,0,0,68,12.6,51,49
"School","0105","608","2017-18","Adairsville High School","Bartow County","09,10,11,12",1,0,5,6,3,85,0,42,11.3,2,,,,,5,0.5,112,11.3,11,1.1,0,0,534,53.7,8,1.1,158,15.9,52,48
"School","0106","608","2017-18","Pine Log Elementary","Bartow County","PK,KK,01,02,03,04,05",0,0,1,6,2,90,0,61,13.2,5,,,153,44,,,46,13.2,10,2.9,12,35.3,,,0,0,41,11.8,55,45
"School","0107","608","2017-18","Euharlee Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,10,7,6,77,0,53,14.2,5,,,27,5.8,,,66,14.2,10,2.2,17,27,,,0,0,35,7.5,50,50
"School","0114","608","2017-18","Cass High School","Bartow County","09,10,11,12",2,0,15,15,4,63,0,52,11.9,4,,,,,23,1.5,182,11.9,38,2.5,0,0,925,60.6,13,1.2,170,11.1,51,49
"School","0115","608","2017-18","Cloverleaf Elementary","Bartow County","PK,KK,01,02,03,04,05",3,0,18,16,6,58,0,64,8.7,13,,,80,11.5,,,60,8.7,64,9.2,14,25.9,,,0,0,50,7.2,51,49
"School","0175","608","2017-18","White Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,15,16,4,63,0,62,10.9,8,,,81,14.4,,,61,10.9,40,7.1,5,17.9,,,0,0,56,10,50,50
"School","0177","608","2017-18","Adairsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,8,5,6,80,0,54,11,4,,,81,12.9,,,69,11,18,2.9,5,10.9,,,0,0,55,8.7,50,50
"School","0186","608","2017-18","Mission Road Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,9,13,4,73,0,56,10.7,8,,,15,3.5,,,46,10.7,28,6.5,2,7.7,,,0,0,67,15.6,52,48
"School","0190","608","2017-18","South Central Middle School","Bartow County","06,07,08",2,0,9,17,5,66,0,72,12,6,162,26.3,,,,,74,12,9,1.5,0,0,,,6,1,72,11.7,50,50
"School","0195","608","2017-18","Cass Middle School","Bartow County","06,07,08",1,0,14,18,3,63,0,60,15.5,6,165,17.6,,,,,146,15.5,25,2.7,0,0,,,5,0.5,126,13.4,54,46
"School","0196","608","2017-18","Allatoona Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,5,30,5,59,0,80,10.5,26,,,92,22.9,,,42,10.5,75,18.7,1,4.2,,,0,0,30,7.5,52,48
"School","0198","608","2017-18","Woodland High School","Bartow County","09,10,11,12",0,0,7,13,4,76,0,45,9.8,2,,,,,144,9.4,151,9.8,13,0.8,0,0,683,44.5,8,0.7,186,12.1,53,47
"School","0296","608","2017-18","Kingston Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,20,22,6,52,0,83,13.8,18,,,87,17.6,,,68,13.8,54,11,4,16,,,0,0,27,5.5,54,46
"School","0301","608","2017-18","Adairsville Middle School","Bartow County","06,07,08",0,0,5,7,4,83,0,51,13.3,3,120,15.8,,,,,101,13.3,7,0.9,0,0,,,3,0.4,128,16.8,49,51
"School","0377","608","2017-18","Hamilton Crossing Elementary School","Bartow County","PK,KK,01,02,03,04,05",2,0,9,20,6,63,0,53,12.3,15,,,0,0,,,68,12.3,66,12,7,21.2,,,0,0,44,8,52,48
"School","0396","608","2017-18","Taylorsville Elementary School","Bartow County","PK,KK,01,02,03,04,05",0,0,4,9,5,82,0,56,11.3,6,,,56,11.7,,,54,11.3,14,2.9,2,6.7,,,0,0,51,10.6,52,48
"School","2052","608","2017-18","Emerson Elementary School","Bartow County","PK,KK,01,02,03,04,05",1,0,5,12,4,78,0,73,13,9,,,101,26.2,,,50,13,25,6.5,10,31.3,,,0,0,34,8.8,52,48
"District","ALL","608","2017-18","All Column Values","Bartow County","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12",1,0,10,13,4,72,0,56,11.8,6,553,18.1,804,13.5,172,4.2,1544,11.8,527,4,91,20.3,2142,52.8,52,0.4,1503,11.5,52,48
"School","0111","609","2017-18","Ben Hill Elementary School","Ben Hill County","03,04,05",1,0,42,13,3,42,1,98,11.4,9,,,255,32.3,,,90,11.4,29,3.7,0,0,,,0,0,40,5.1,52,48
