#RPT_NAME,LONG_SCHOOL_YEAR,DETAIL_LVL_DESC,SCHOOL_DSTRCT_CD,SCHOOL_DSTRCT_NM,INSTN_NUMBER,INSTN_NAME,GRADES_SERVED_DESC,ENROLL_PCT_ASIAN,ENROLL_PCT_NATIVE,ENROLL_PCT_BLACK,ENROLL_PCT_HISPANIC,ENROLL_PCT_MULTIRACIAL,ENROLL_PCT_WHITE,ENROLL_PCT_MIGRANT,ENROLL_PCT_ED,ENROLL_PCT_SWD,ENROLL_PCT_LEP,ENROLL_COUNT_REMEDIAL_GR_6_8,ENROLL_PCT_REMEDIAL_GR_6_8,ENROLL_COUNT_EIP_K_5,ENROLL_PERCENT_EIP_K_5,ENROLL_COUNT_REMEDIAL_GR_9_12,ENROLL_PCT_REMEDIAL_GR_9_12,ENROLL_COUNT_SPECIAL_ED_K12,ENROLL_PCT_SPECIAL_ED_K12,ENROLL_COUNT_ESOL,ENROLL_PCT_ESOL,ENROLL_COUNT_SPECIAL_ED_PK,ENROLL_PCT_SPECIAL_ED_PK,ENROLL_COUNT_VOCATION_9_12,ENROLL_PCT_VOCATION_9_12,ENROLL_COUNT_ALT_PROGRAMS,ENROLL_PCT_ALT_PROGRAMS,ENROLL_COUNT_GIFTED,ENROLL_PCT_GIFTED,ENROLL_PCT_MALE,ENROLL_PCT_FEMALE
"Enrollment_by_Subgroup_Metrics","2022-23","District","626","Chattahoochee County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","29","15","6","47","TFS","62","16.2","2","36.7","36.7","82","34.7","118","24.9","153","16.2","15","1.6","TFS","TFS","205","43.2","20","2.3","36","3.8","53","47"
"Enrollment_by_Subgroup_Metrics","2022-23","District","627","Chattooga County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","9","7","8","76","TFS","74","16.3","2","28.9","28.9","329","28.2","42","5.9","402","16.3","39","1.6","34","30.6","637","89.3","48","2.1","142","5.8","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","628","Cherokee County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","8","22","6","62","TFS","29","12.7","11","19.3","19.3","3964","21.9","1683","12.3","5263","12.7","3446","8.3","222","47.9","7333","53.4","370","1","5314","12.8","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","629","Clarke County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","45","27","5","21","TFS","83","15.7","17","47","47","2761","50.1","394","11.9","1811","15.7","1363","11.8","144","17.5","1261","38.2","233","2.2","2164","18.8","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","630","Clay County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","1","98","1","TFS","1","TFS","100","18.9","TFS","46.8","46.8","34","28.8",,,"34","18.9","TFS","TFS","TFS","TFS",,,"TFS","TFS",,,"52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","631","Clayton County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","3","TFS","68","24","3","2","TFS","90","10.5","15","30.2","30.2","9428","42.3","2371","14.4","5350","10.5","5672","11.2","222","16.6","7120","43.3","463","1","2508","4.9","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","632","Clinch County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","1","34","5","6","53","4","74","12.4","2","43.2","43.2","122","22.4","227","72.1","146","12.4","11",".9","TFS","TFS","246","78.1","21","1.9","69","5.9","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","633","Cobb County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","6","TFS","30","25","5","34","TFS","42","12.9","15","40.7","40.7","14902","33","10323","28.6","13643","12.9","10899","10.3","751","91.9","14996","41.6","440",".4","18845","17.8","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","634","Coffee County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","29","21","4","44","3","86","12.1","12","15.3","15.3","1506","43.6","216","10.9","865","12.1","552","7.8","37","8.7","983","49.5","105","1.6","520","7.3","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","635","Colquitt County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","25","32","3","39","13","86","13.3","22","28.4","28.4","1763","47.3","256","10.4","1104","13.3","1339","16.2","53","9.8","1461","59.3","181","2.3","943","11.4","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","636","Columbia County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","5","TFS","22","12","8","54","TFS","31","11.4","3","17.6","17.6","2455","19.4","1697","18.7","3262","11.4","644","2.3","175","40.5","5276","58","244",".9","3719","13","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","637","Cook County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","33","11","6","50","3","74","12.5","6","26.2","26.2","462","35.5","165","18.2","367","12.5","132","4.5","15","8.8","547","60.2","53","2","248","8.5","52","48"
"Enrollment_by_Subgroup_Metrics","2022-23","District","638","Coweta County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","2","TFS","25","12","5","55","TFS","38","12.1","5",".7",".7","2273","23.5","80","1.1","2716","12.1","544","2.4","137","18.3","2817","37.5","232","1.1","3111","13.8","51","49"
"Enrollment_by_Subgroup_Metrics","2022-23","District","639","Crawford County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","TFS","TFS","21","4","5","69","TFS","64","13.4","1","18.8","18.8","171","27.9","21","4.3","201","13.4","11",".7","14","20.6","304","61.5","TFS","TFS","101","6.8","50","50"
"Enrollment_by_Subgroup_Metrics","2022-23","District","640","Crisp County","ALL","All Column Values","PK,KK,01,02,03,04,05,06,07,08,09,10,11,12","1","TFS","58","7","3","31","TFS","99","14.5","4","37","37","870","58.9","74","6.8","488","14.5","91","2.7","43","20.5","712","65","TFS","TFS","124","3.7","50","50"
