"NATMON_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2020","2020",7,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2021","2021",7,,
"10403","Start month of the academic school year (tertiary education)","SWE","Sweden","2022","2022",7,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2017","2017",8,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2018","2018",8,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2019","2019",8,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2020","2020",8,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","CHE","Switzerland","2022","2022",8,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2021","2021",8,,
"10403","Start month of the academic school year (tertiary education)","TUR","Türkiye","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","GBR","United Kingdom of Great Britain and Northern Ireland","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2017","2017",7,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2018","2018",7,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2019","2019",7,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2020","2020",7,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2021","2021",7,,
"10403","Start month of the academic school year (tertiary education)","USA","United States of America","2022","2022",7,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2017","2017",3,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2018","2018",3,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2019","2019",3,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2020","2020",3,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2021","2021",3,,
"10403","Start month of the academic school year (tertiary education)","AFG","Afghanistan","2022","2022",3,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2017","2017",10,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2018","2018",10,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2019","2019",10,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2020","2020",10,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2021","2021",11,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2022","2022",10,,
"10403","Start month of the academic school year (tertiary education)","ALB","Albania","2023","2023",10,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","DZA","Algeria","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","AND","Andorra","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2017","2017",3,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2018","2018",3,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2019","2019",3,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2020","2020",3,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2021","2021",3,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2022","2022",3,,
"10403","Start month of the academic school year (tertiary education)","AGO","Angola","2023","2023",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2020","2020",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2021","2021",9,,
"10403","Start month of the academic school year (tertiary education)","AIA","Anguilla","2022","2022",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2017","2017",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2018","2018",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2019","2019",9,,
"10403","Start month of the academic school year (tertiary education)","ATG","Antigua and Barbuda","2020","2020",9,,
