object_id,nces_sch_id,nces_sys_id,orig_state_id,sys_id,sch_id,shape_length,shape_area,sspi,sys_name,sch_name,cluster,n_stu_19,title_i,grade,star_rtg,asian,native,black,hisp,multi,white,frpl,swd,lep,mobility,ccrpi,climate,student,staff,parent,overall,grd_3_la,grd_3_ma,grd_4_la,grd_4_ma,grd_5_la,grd_5_ma,fiscal_year,sys_sch,system_id,system_name,school_id,school_name,direct_cert_perc,k12_poverty_student_ct,k12_student_count
1407,130012000130,1300120,GA-761-1664,761,1664,0.188622094154,0.000985759644054,5.58577672527803,Atlanta Public Schools,Morningside Elementary School,E,938,N,A,4,7,0,11,9,7,66,6,3,10,7.5,96.7,84.31,79.202,87.398,86.331,95.4,79.4,83,78.4,82.6,87.1,82.1,2024,7611664,761,Atlanta Public Schools,1664,Morningside Elementary School,9.5,71,750
1202,130012000136,1300120,GA-761-2564,761,2564,0.127090590064,0.000443694090678,4.50244549552784,Atlanta Public Schools,Lin Elementary School,E,662,N,B,3,2,0,12,7,8,71,4.8000002,8,3,5.5,87.3,82.943,76.049,87.241,85.538,91,75.3,83.2,76.7,84.3,85.5,79.2,2024,7612564,761,Atlanta Public Schools,2564,Mary Lin Elementary School,5.90000009536743,30,509
1016,130012000137,1300120,GA-761-2563,761,2563,0.383270123362,0.002954023578,6.48911365867941,Atlanta Public Schools,Jackson Elementary School,E,673,N,A,4,7,0,15,7,5,66,3.7,8,6,6.2,91.6,82.952,71.942,86.985,89.929,95.2,76.7,84,83.9,83.9,81.4,79.6,2024,7612563,761,Atlanta Public Schools,2563,Jackson Elementary School,17.5,78,445
789,130012000139,1300120,GA-761-2560,761,2560,0.0743721532253,0.000297690163169,-4.399363132128,Atlanta Public Schools,Gideons Elementary School,E,357,N,D,2,0,0,96,3,0,1,75.900002,9,0,35.2,61.1,76.477,70.649,72.957,85.824,84.7,12.7,30.2,6.9,25.9,5.4,14.3,2024,7612560,761,Atlanta Public Schools,2560,Charles L. Gideons Elementary School,85.5999984741211,232,271
2030,130012000143,1300120,GA-761-2062,761,2062,0.120020013658,0.000497865230446,-0.466279958920784,Atlanta Public Schools,The John Hope-Charles Walter Hill Elementary Schools,E,405,N,F,3,0,0,91,4,1,3,76,11,2,24.7,59.1,81.225,69.681,79.152,94.841,90,25.4,47.7,18.4,44.7,23.7,25.4,2024,7612062,761,Atlanta Public Schools,2062,The John Hope-Charles Walter Hill Elementary Schools,75.1999969482422,273,363
332,130012002290,1300120,GA-761-0199,761,0199,0.202578412133,0.00100113041961,-0.977356149288,Atlanta Public Schools,Centennial Academy,EM,812,N,C,2,1,0,87,4,4,3,47.700001,7,5,26,75.4,70.775,66.472,73.258,72.595,84.1,37.3,53,41.7,38,47.2,27,2024,761199,761,Atlanta Public Schools,199,Centennial Place Academy (Charter),80.4000015258789,575,715
1582,130012002517,1300120,GA-761-0101,761,0101,0.166873031493,0.00099177537374,3.02014097993116,Atlanta Public Schools,Parkside Elementary School,E,524,N,C,2,1,0,63,7,5,23,50.400002,11,3,22,70.9,73.701,66.481,73.353,81.27,87.1,35.6,25.3,41.9,39.5,28.3,23.4,2024,761101,761,Atlanta Public Schools,101,Parkside Elementary School,47.5,262,551
922,130012002613,1300120,GA-761-0103,761,0103,0.173960052847,0.000919282832189,-1.93281592323339,Atlanta Public Schools,Heritage Academy Elementary School,E,441,N,F,3,0,0,97,3,0,0,76.400002,11,1,34.6,57.6,79.825,68.958,80.418,90.1,89.1,21.7,31.8,21,32.5,21.3,6.4,2024,761103,761,Atlanta Public Schools,103,Heritage Academy Elementary School,91.5999984741211,358,391
557,130012003025,1300120,GA-761-0104,761,0104,0.141458764834,0.000609695202435,-4.13515915592077,Atlanta Public Schools,Dobbs Elementary School,E,438,N,F,2,0,0,95,4,0,1,78.5,15,3,29.9,57.6,71.967,67.344,64.923,83.634,86.7,20,18.7,15,19,17.2,11.4,2024,761104,761,Atlanta Public Schools,104,John Wesley Dobbs Elementary School,87.5,252,288
199,130012003028,1300120,GA-761-0303,761,0303,0.183097525274,0.00102142357769,0.788568945807195,Atlanta Public Schools,Bolton Academy,E,540,N,B,3,1,1,38,32,4,24,33.700001,8,25,13.3,85.3,78.817,67.2,82.743,86.508,89.2,44.7,43.8,46.8,42.4,54.3,45.6,2024,761303,761,Atlanta Public Schools,303,Bolton Academy Elementary,34.2000007629395,168,491
